SRTM	R1	k2	BPnd	MSE	LogLikelihood	AIC	%Cov R1	%Cov k2	%Cov BPnd
highbinding	1.231566e+00	1.149712e-01	2.347928e+00	1.010842e+06	-2.978712e+02	6.037424e+02	1.650836e+00	3.478489e+00	1.579013e+00
left_cerebral_white_matter	5.585561e-01	2.920580e-02	4.013833e-01	6.626472e+04	-2.488509e+02	5.057017e+02	8.248470e-01	3.230298e+00	5.039321e+00
left_cerebellum_white_matter	6.828136e-01	2.897502e-02	1.830111e-01	1.055650e+05	-2.571762e+02	5.223525e+02	8.801919e-01	6.629196e+00	1.071448e+01
left_cerebellum_cortex	8.847850e-01	2.923410e-02	-2.482902e-02	1.939286e+04	-2.266755e+02	4.613509e+02	3.059704e-01	1.541503e+01	-2.492948e+01
left_thalamus	8.653095e-01	6.211981e-02	1.756384e+00	5.855466e+05	-2.880116e+02	5.840231e+02	1.607130e+00	3.784658e+00	3.006777e+00
left_caudate	8.262357e-01	9.193667e-02	1.332312e+00	1.328851e+06	-3.027826e+02	6.135651e+02	2.952816e+00	5.250011e+00	2.687787e+00
left_putamen	1.030289e+00	9.383415e-02	1.917917e+00	1.070116e+06	-2.988617e+02	6.057233e+02	1.990753e+00	4.126117e+00	2.172337e+00
left_pallidum	6.744592e-01	4.530837e-02	1.667701e+00	8.865749e+05	-2.954755e+02	5.989511e+02	2.413643e+00	5.374393e+00	6.316216e+00
brain_stem	6.009794e-01	3.736127e-02	1.509599e+00	1.047802e+05	-2.570375e+02	5.220750e+02	9.139877e-01	2.160491e+00	3.037290e+00
left_hippocampus	6.570788e-01	4.763376e-02	6.095176e-01	7.247231e+05	-2.918537e+02	5.917074e+02	2.509905e+00	7.249959e+00	6.324136e+00
left_amygdala	5.619732e-01	4.138699e-02	1.897219e+00	1.107438e+06	-2.994784e+02	6.069567e+02	3.160707e+00	5.689523e+00	8.469332e+00
csf	3.820963e-01	1.248400e-02	2.059259e-01	1.346524e+05	-2.615565e+02	5.311130e+02	1.565805e+00	9.334695e+00	4.953802e+01
left_accumbens_area	8.994814e-01	6.892374e-02	2.114544e+00	3.844219e+06	-3.218848e+02	6.517696e+02	3.946917e+00	8.258259e+00	6.593614e+00
left_ventraldc	6.712127e-01	4.538098e-02	2.106381e+00	3.322969e+05	-2.778110e+02	5.636221e+02	1.453752e+00	2.996684e+00	4.011540e+00
left_choroid_plexus	6.937936e-01	-1.695457e-02	-3.500177e-01	5.530609e+06	-3.284302e+02	6.648603e+02	4.157471e+00	-8.313587e+01	-2.634671e+01
right_cerebral_white_matter	5.557139e-01	2.869780e-02	3.922500e-01	6.121994e+04	-2.473901e+02	5.027802e+02	7.952469e-01	3.160779e+00	5.049116e+00
right_cerebellum_white_matter	6.773026e-01	3.503167e-02	1.518035e-01	1.092130e+05	-2.577876e+02	5.235752e+02	9.522828e-01	6.023479e+00	9.478573e+00
right_cerebellum_cortex	8.647958e-01	1.806114e-02	-4.499279e-03	1.675209e+04	-2.240414e+02	4.560827e+02	2.614530e-01	1.636063e+01	-2.866021e+02
right_thalamus	9.380593e-01	5.966131e-02	2.000384e+00	5.081575e+05	-2.854562e+02	5.789123e+02	1.348439e+00	3.584590e+00	3.031552e+00
right_caudate	8.263715e-01	8.983347e-02	1.255987e+00	1.452750e+06	-3.043788e+02	6.167575e+02	3.097971e+00	5.785279e+00	2.946007e+00
right_putamen	1.038051e+00	8.936355e-02	1.888634e+00	8.747584e+05	-2.952371e+02	5.984742e+02	1.766801e+00	3.899761e+00	2.104893e+00
right_pallidum	6.620620e-01	4.801812e-02	1.401969e+00	1.753760e+06	-3.077592e+02	6.235183e+02	3.552749e+00	7.640608e+00	7.963081e+00
right_hippocampus	6.908541e-01	4.722987e-02	5.928293e-01	6.343191e+05	-2.894495e+02	5.868990e+02	2.234490e+00	7.240612e+00	6.066368e+00
right_amygdala	5.305051e-01	4.995285e-02	1.678131e+00	1.427081e+06	-3.040441e+02	6.160882e+02	3.951762e+00	5.556194e+00	6.759128e+00
right_accumbens_area	8.788557e-01	4.408874e-02	2.531895e+00	4.476990e+06	-3.246289e+02	6.572578e+02	3.999431e+00	1.233052e+01	1.635609e+01
right_ventraldc	6.749237e-01	4.417583e-02	2.168731e+00	6.596556e+05	-2.901532e+02	5.883064e+02	2.024979e+00	4.302800e+00	5.978619e+00
right_choroid_plexus	6.150055e-01	1.134868e-02	-5.489617e-02	3.581284e+06	-3.206100e+02	6.492199e+02	5.090213e+00	1.394747e+02	-7.255435e+02
aircavity	1.562517e-01	4.265651e-03	-5.147499e-01	6.335789e+04	-2.480881e+02	5.041762e+02	2.591021e+00	1.994301e+01	-1.855894e+01
skull	1.815908e-01	5.078753e-03	-1.371249e-01	7.928117e+04	-2.521506e+02	5.123012e+02	2.432253e+00	1.527896e+01	-1.693006e+02
vermis	8.769299e-01	6.975164e-04	6.226107e+05	1.135690e+06	-2.999348e+02	6.078696e+02	1.344763e+00	4.776796e+01	8.582337e-23
pons	7.162478e-01	4.915516e-02	1.153260e+00	6.016834e+05	-2.885358e+02	5.850716e+02	1.973358e+00	5.058964e+00	4.545511e+00
csf_extracerebral	5.287269e-01	2.178062e-02	-1.112565e-01	1.889946e+04	-2.262057e+02	4.604114e+02	4.810282e-01	3.932386e+00	-7.450346e+00
head_extracerebral	1.713417e-01	5.549942e-03	4.470607e-03	1.775487e+05	-2.666838e+02	5.413677e+02	3.845662e+00	1.857339e+01	8.793849e+03
