SRTM	R1	k2	BPnd	MSE	LogLikelihood	AIC	%Cov R1	%Cov k2	%Cov BPnd
highbinding	1.231566e+00	1.149712e-01	2.347928e+00	1.010842e+06	-2.978712e+02	6.037424e+02	1.650836e+00	3.478489e+00	1.579013e+00
left_cerebral_white_matter	2.619335e-01	1.636725e-02	5.183646e-01	2.975708e+04	-2.343767e+02	4.767534e+02	1.077782e+00	2.247024e+00	8.570912e+00
left_cerebellum_white_matter	5.850774e-01	3.089032e-02	2.086148e-01	1.688905e+05	-2.656344e+02	5.392689e+02	1.311893e+00	6.172822e+00	1.111925e+01
left_cerebellum_cortex	1.015324e+00	-4.176910e-03	5.491830e-02	2.321050e+04	-2.299104e+02	4.678207e+02	2.168277e-01	-5.423268e+02	4.748911e+02
left_thalamus	1.029292e+00	7.578982e-02	2.184905e+00	8.112839e+05	-2.938818e+02	5.957637e+02	1.608548e+00	3.769411e+00	2.605004e+00
left_caudate	1.202825e+00	1.564341e-01	2.256505e+00	3.687871e+06	-3.211478e+02	6.502956e+02	3.645203e+00	6.078696e+00	2.141885e+00
left_putamen	1.410577e+00	1.368301e-01	2.734213e+00	2.170952e+06	-3.115953e+02	6.311906e+02	2.156451e+00	4.520618e+00	1.828745e+00
left_pallidum	5.614414e-01	3.147842e-02	2.564403e+00	2.492369e+06	-3.140836e+02	6.361671e+02	4.524304e+00	1.046969e+01	2.315781e+01
brain_stem	6.935345e-01	4.643397e-02	2.469938e+00	2.492470e+05	-2.726376e+02	5.532751e+02	1.205354e+00	2.437549e+00	3.478730e+00
left_hippocampus	7.833120e-01	7.570497e-02	5.436850e-01	1.260491e+06	-3.018097e+02	6.116194e+02	3.300936e+00	9.923163e+00	5.096925e+00
left_amygdala	6.578508e-01	5.526348e-02	3.453351e+00	3.091865e+06	-3.179592e+02	6.439184e+02	4.437365e+00	6.334114e+00	1.007520e+01
csf	1.252179e-01	-9.365447e-03	-8.749013e-01	6.025687e+05	-2.885240e+02	5.850480e+02	6.043897e+00	-1.067064e+02	-9.031476e-01
left_accumbens_area	1.187765e+00	1.049938e-01	4.768600e+00	1.772728e+07	-3.493998e+02	7.067997e+02	6.195693e+00	9.433458e+00	8.747670e+00
left_ventraldc	7.575883e-01	5.273183e-02	2.844406e+00	6.420962e+05	-2.896666e+02	5.873332e+02	1.776315e+00	3.422067e+00	4.633227e+00
left_choroid_plexus	3.309546e+00	1.080479e-01	1.427684e-01	8.219740e+07	-3.770113e+02	7.620226e+02	8.934774e+00	4.222309e+01	1.091298e+02
right_cerebral_white_matter	2.611512e-01	1.664570e-02	4.573563e-01	3.300841e+04	-2.362432e+02	4.804863e+02	1.144964e+00	2.359836e+00	9.176334e+00
right_cerebellum_white_matter	5.816307e-01	3.700246e-02	1.781251e-01	2.039807e+05	-2.690320e+02	5.460640e+02	1.529197e+00	6.149834e+00	1.055096e+01
right_cerebellum_cortex	9.844204e-01	2.449273e-04	2.853688e+00	2.323632e+04	-2.299302e+02	4.678603e+02	2.312586e-01	9.290560e+03	3.493323e+04
right_thalamus	1.128192e+00	7.192814e-02	2.540138e+00	6.892008e+05	-2.909415e+02	5.898830e+02	1.310826e+00	3.518917e+00	2.680426e+00
right_caudate	1.147771e+00	1.515062e-01	2.072821e+00	3.472428e+06	-3.200578e+02	6.481156e+02	3.747599e+00	6.266339e+00	2.207875e+00
right_putamen	1.391344e+00	1.244886e-01	2.649916e+00	1.720115e+06	-3.074075e+02	6.228151e+02	1.902170e+00	4.289989e+00	1.841516e+00
right_pallidum	5.929483e-01	3.986988e-02	1.609905e+00	3.884079e+06	-3.220703e+02	6.521406e+02	5.659633e+00	1.198541e+01	1.655018e+01
right_hippocampus	8.309520e-01	7.643023e-02	5.817608e-01	1.056264e+06	-2.986264e+02	6.052527e+02	2.830782e+00	9.278743e+00	4.421504e+00
right_amygdala	6.110061e-01	6.645735e-02	2.874957e+00	4.029802e+06	-3.227285e+02	6.534569e+02	5.688709e+00	6.346017e+00	7.677853e+00
right_accumbens_area	1.073506e+00	5.355366e-02	7.528274e+00	1.488874e+07	-3.462573e+02	7.005146e+02	5.657296e+00	1.441624e+01	3.724842e+01
right_ventraldc	7.778100e-01	5.173050e-02	3.084632e+00	1.068910e+06	-2.988404e+02	6.056809e+02	2.211648e+00	4.429466e+00	6.386218e+00
right_choroid_plexus	1.602343e+00	-4.635464e-03	-1.280355e+00	5.545084e+07	-3.699268e+02	7.478537e+02	8.002521e+00	-2.348810e+02	-6.823488e+01
aircavity	1.267134e-01	3.424811e-03	-6.464584e-01	8.954311e+04	-2.542796e+02	5.165592e+02	3.827999e+00	3.175473e+01	-1.459889e+01
skull	9.468317e-02	3.161182e-03	-3.092580e+09	9.581700e+04	-2.555011e+02	5.190022e+02	3.617671e+00	3.061486e+00	-8.893757e-35
vermis	1.110936e+00	1.929765e-01	-9.947271e-02	3.196058e+06	-3.185565e+02	6.451130e+02	6.926959e+00	9.145991e+01	-4.337781e+01
pons	7.657954e-01	5.497253e-02	1.168052e+00	8.837391e+05	-2.954597e+02	5.989194e+02	2.288554e+00	5.873434e+00	4.599534e+00
csf_extracerebral	6.787422e-02	1.301881e-03	-1.176342e+00	2.277179e+05	-2.711275e+02	5.502550e+02	9.885488e+00	6.061819e+01	-1.972844e+01
head_extracerebral	2.070405e-01	6.187949e-03	1.713986e-01	2.787952e+05	-2.748139e+02	5.576278e+02	3.979812e+00	2.170549e+01	3.137983e+02
ctx_lh_bankssts	1.103564e+00	2.196645e-01	1.078297e+00	2.018885e+06	-3.102930e+02	6.285861e+02	4.514439e+00	1.060627e+01	2.246391e+00
ctx_lh_caudalanteriorcingulate	1.524348e+00	1.182511e-01	1.891455e+00	8.688664e+06	-3.365574e+02	6.811148e+02	4.146719e+00	1.545853e+01	4.640082e+00
ctx_lh_caudalmiddlefrontal	1.545126e+00	4.020526e-01	7.833098e-01	2.522620e+06	-3.143685e+02	6.367369e+02	4.179164e+00	6.335114e+01	4.894547e+00
ctx_lh_cuneus	1.405434e+00	4.152120e-01	1.440990e+00	2.530446e+06	-3.143531e+02	6.367061e+02	5.291764e+00	1.480651e+01	2.350105e+00
ctx_lh_entorhinal	5.872307e-01	6.541397e-02	1.197220e+00	2.490562e+06	-3.140711e+02	6.361422e+02	5.214599e+00	7.397531e+00	5.917785e+00
ctx_lh_fusiform	8.275514e-01	1.149733e-01	6.999762e-01	1.054866e+06	-2.986050e+02	6.052100e+02	3.331235e+00	7.638847e+00	2.849063e+00
ctx_lh_inferiorparietal	1.295101e+00	3.641769e-01	8.564563e-01	5.321998e+05	-2.863030e+02	5.806060e+02	2.595939e+00	1.305327e+01	2.001553e+00
ctx_lh_inferiortemporal	9.787504e-01	2.010454e-01	6.588655e-01	8.135729e+05	-2.939272e+02	5.958543e+02	3.545294e+00	1.043853e+01	2.377574e+00
ctx_lh_isthmuscingulate	8.970729e-01	4.488415e-01	7.825673e-01	4.094634e+06	-3.230192e+02	6.540384e+02	7.959109e+00	1.712720e+01	6.060851e+00
ctx_lh_lateraloccipital	1.134628e+00	4.021529e-01	1.020132e+00	1.368507e+06	-3.032918e+02	6.145836e+02	4.712987e+00	1.283375e+01	2.713003e+00
ctx_lh_lateralorbitofrontal	1.313398e+00	2.044051e-01	1.067213e+00	7.652963e+05	-2.928317e+02	5.936635e+02	2.235636e+00	8.353034e+00	1.400999e+00
ctx_lh_lingual	1.072408e+00	3.180324e-01	1.032401e+00	1.116301e+06	-2.996273e+02	6.072547e+02	4.460723e+00	1.006655e+01	2.037001e+00
ctx_lh_medialorbitofrontal	1.335597e+00	1.589507e-01	1.307452e+00	2.097336e+06	-3.109730e+02	6.299460e+02	2.939025e+00	9.853634e+00	2.129087e+00
ctx_lh_middletemporal	1.008017e+00	2.835446e-01	7.305339e-01	6.646461e+05	-2.902925e+02	5.885850e+02	3.736821e+00	1.069595e+01	2.304080e+00
ctx_lh_parahippocampal	7.419131e-01	7.178764e-02	8.575097e-01	1.893311e+06	-3.091308e+02	6.262616e+02	3.898240e+00	8.663299e+00	5.102568e+00
ctx_lh_paracentral	1.230684e+00	2.246013e-01	1.114557e+00	3.604287e+06	-3.207218e+02	6.494436e+02	5.426456e+00	1.578721e+01	2.904124e+00
ctx_lh_parsopercularis	1.668100e+00	4.079981e-01	1.095660e+00	2.627715e+06	-3.150893e+02	6.381787e+02	4.494657e+00	3.892771e+01	3.463467e+00
ctx_lh_parsorbitalis	1.339523e+00	3.723830e-01	7.615880e-01	2.171411e+06	-3.116120e+02	6.312240e+02	4.799206e+00	3.428741e+01	4.661144e+00
