MRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	9.208503e-02	1.236090e+00	2.354343e+00	1.078589e+06	-2.990704e+02	6.061408e+02	4.321195e+00	6.103277e-01	6.712270e-01
left_cerebral_white_matter	9.208503e-02	2.280247e-01	1.989673e-01	2.021077e+05	-2.690814e+02	5.461629e+02	4.321195e+00	1.234425e+00	1.130878e+01
left_cerebellum_white_matter	9.208503e-02	5.217721e-01	1.013492e-01	7.590755e+05	-2.927020e+02	5.934039e+02	4.321195e+00	1.328369e+00	8.778468e+00
left_cerebellum_cortex	9.208503e-02	1.021956e+00	7.051546e-03	4.082079e+04	-2.400675e+02	4.881349e+02	4.321195e+00	2.204197e-01	9.529688e+00
left_thalamus	9.208503e-02	9.603381e-01	2.007647e+00	1.484699e+06	-3.047605e+02	6.175210e+02	4.321195e+00	8.891150e-01	1.189509e+00
left_caudate	9.208503e-02	1.344518e+00	2.408705e+00	5.611530e+06	-3.290540e+02	6.661080e+02	4.321195e+00	1.302469e+00	1.325743e+00
left_putamen	9.208503e-02	1.433416e+00	2.764764e+00	2.242535e+06	-3.121783e+02	6.323567e+02	4.321195e+00	7.649938e-01	7.772795e-01
left_pallidum	9.208503e-02	4.726679e-01	1.530356e+00	3.703145e+06	-3.212065e+02	6.504131e+02	4.321195e+00	2.551720e+00	6.535350e+00
brain_stem	9.208503e-02	6.190819e-01	1.957466e+00	1.063793e+06	-2.987822e+02	6.055643e+02	4.321195e+00	1.059858e+00	2.202949e+00
left_hippocampus	9.208503e-02	7.893887e-01	5.512961e-01	1.383703e+06	-3.034950e+02	6.149900e+02	4.321195e+00	1.209737e+00	1.924583e+00
left_amygdala	9.208503e-02	6.339569e-01	3.197161e+00	3.194245e+06	-3.185487e+02	6.450974e+02	4.321195e+00	1.695760e+00	4.273971e+00
csf	9.208503e-02	1.160296e-01	-8.745110e-01	1.236493e+06	-3.015083e+02	6.110167e+02	4.321195e+00	1.114097e+01	-5.388578e-01
left_accumbens_area	9.208503e-02	1.169666e+00	4.665224e+00	1.781425e+07	-3.494877e+02	7.069754e+02	4.321195e+00	2.270018e+00	3.825421e+00
left_ventraldc	9.208503e-02	6.850690e-01	2.336923e+00	1.392259e+06	-3.035977e+02	6.151954e+02	4.321195e+00	1.093146e+00	2.191000e+00
left_choroid_plexus	9.208503e-02	2.747006e+00	4.086675e-01	8.088756e+08	-4.182502e+02	8.445003e+02	4.321195e+00	2.168227e+01	1.098556e+01
right_cerebral_white_matter	9.208503e-02	2.289315e-01	1.773910e-01	1.878392e+05	-2.677640e+02	5.435280e+02	4.321195e+00	1.189200e+00	1.172613e+01
right_cerebellum_white_matter	9.208503e-02	5.370543e-01	1.163518e-01	4.654098e+05	-2.838773e+02	5.757546e+02	4.321195e+00	1.015135e+00	5.827065e+00
right_cerebellum_cortex	9.208503e-02	9.780711e-01	-6.953161e-03	3.984106e+04	-2.396300e+02	4.872599e+02	4.321195e+00	2.240951e-01	-9.957195e+00
right_thalamus	9.208503e-02	1.011940e+00	2.184301e+00	2.609053e+06	-3.149040e+02	6.378079e+02	4.321195e+00	1.119129e+00	1.467720e+00
right_caudate	9.208503e-02	1.289789e+00	2.211495e+00	5.385601e+06	-3.282453e+02	6.644906e+02	4.321195e+00	1.334955e+00	1.370620e+00
right_putamen	9.208503e-02	1.379649e+00	2.629413e+00	1.762482e+06	-3.078470e+02	6.236939e+02	4.321195e+00	7.063677e-01	7.300408e-01
right_pallidum	9.208503e-02	5.314661e-01	1.288125e+00	4.492023e+06	-3.246831e+02	6.573663e+02	4.321195e+00	2.580316e+00	5.645836e+00
