MRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	9.208503e-02	1.236090e+00	2.354343e+00	1.078589e+06	-2.990704e+02	6.061408e+02	4.321195e+00	6.103277e-01	6.712270e-01
left_cerebral_white_matter	9.208503e-02	4.885302e-01	2.276891e-01	7.712877e+05	-2.929697e+02	5.939394e+02	4.321195e+00	1.354234e+00	5.267175e+00
left_cerebellum_white_matter	9.208503e-02	6.080695e-01	6.769397e-02	9.766735e+05	-2.972469e+02	6.024938e+02	4.321195e+00	1.390628e+00	1.121499e+01
left_cerebellum_cortex	9.208503e-02	8.610947e-01	-4.689630e-02	1.157741e+05	-2.588315e+02	5.256630e+02	4.321195e+00	4.157036e-01	-2.834897e+00
left_thalamus	9.208503e-02	8.008308e-01	1.576110e+00	1.169077e+06	-3.004571e+02	6.089142e+02	4.321195e+00	9.399307e-01	1.409848e+00
left_caudate	9.208503e-02	8.781342e-01	1.404707e+00	1.663175e+06	-3.070632e+02	6.221265e+02	4.321195e+00	1.061486e+00	1.412126e+00
left_putamen	9.208503e-02	1.026647e+00	1.910229e+00	1.083954e+06	-2.990932e+02	6.061863e+02	4.321195e+00	7.265720e-01	8.919194e-01
left_pallidum	9.208503e-02	6.073422e-01	1.368980e+00	1.536720e+06	-3.053753e+02	6.187507e+02	4.321195e+00	1.356376e+00	2.622009e+00
brain_stem	9.208503e-02	5.284078e-01	1.126144e+00	8.784945e+05	-2.953516e+02	5.987032e+02	4.321195e+00	1.171585e+00	2.555397e+00
left_hippocampus	9.208503e-02	6.156642e-01	5.402459e-01	1.017595e+06	-2.979599e+02	6.039198e+02	4.321195e+00	1.228857e+00	2.507640e+00
left_amygdala	9.208503e-02	5.177366e-01	1.591572e+00	1.390449e+06	-3.035807e+02	6.151615e+02	4.321195e+00	1.437848e+00	3.373644e+00
csf	9.208503e-02	3.086215e-01	-1.870756e-01	1.041831e+06	-2.984417e+02	6.048835e+02	4.321195e+00	2.476685e+00	-8.180283e+00
left_accumbens_area	9.208503e-02	8.474066e-01	1.947639e+00	4.220915e+06	-3.235678e+02	6.551355e+02	4.321195e+00	1.654465e+00	2.485929e+00
left_ventraldc	9.208503e-02	6.028062e-01	1.695583e+00	1.002632e+06	-2.976885e+02	6.033769e+02	4.321195e+00	1.072261e+00	2.191798e+00
left_choroid_plexus	9.208503e-02	5.800844e-01	-1.659292e-01	1.221106e+07	-3.426906e+02	6.933811e+02	4.321195e+00	5.821347e+00	-1.261830e+01
right_cerebral_white_matter	9.208503e-02	4.850619e-01	2.153101e-01	7.831197e+05	-2.932475e+02	5.944950e+02	4.321195e+00	1.375844e+00	5.586684e+00
right_cerebellum_white_matter	9.208503e-02	6.176174e-01	7.805208e-02	6.045162e+05	-2.886018e+02	5.852036e+02	4.321195e+00	1.078052e+00	7.560835e+00
right_cerebellum_cortex	9.208503e-02	8.304986e-01	-5.908969e-02	2.514333e+05	-2.727933e+02	5.535866e+02	4.321195e+00	6.282923e-01	-3.430699e+00
right_thalamus	9.208503e-02	8.399215e-01	1.688963e+00	1.881431e+06	-3.090186e+02	6.260373e+02	4.321195e+00	1.139463e+00	1.660746e+00
right_caudate	9.208503e-02	8.707683e-01	1.310494e+00	1.711291e+06	-3.074782e+02	6.229564e+02	4.321195e+00	1.095154e+00	1.456985e+00
right_putamen	9.208503e-02	1.017197e+00	1.849586e+00	9.389751e+05	-2.965145e+02	6.010291e+02	4.321195e+00	6.865588e-01	8.429690e-01
right_pallidum	9.208503e-02	6.113880e-01	1.227308e+00	2.142385e+06	-3.113559e+02	6.307117e+02	4.321195e+00	1.606719e+00	3.028697e+00
right_hippocampus	9.208503e-02	6.408816e-01	5.115217e-01	1.006619e+06	-2.977667e+02	6.035334e+02	4.321195e+00	1.197487e+00	2.393335e+00
right_amygdala	9.208503e-02	5.351252e-01	1.698429e+00	1.444525e+06	-3.042616e+02	6.165232e+02	4.321195e+00	1.402347e+00	3.225959e+00
right_accumbens_area	9.208503e-02	7.371221e-01	1.706156e+00	7.387306e+06	-3.336388e+02	6.752777e+02	4.321195e+00	2.511513e+00	4.187818e+00
right_ventraldc	9.208503e-02	5.998828e-01	1.696954e+00	1.488965e+06	-3.048065e+02	6.176131e+02	4.321195e+00	1.312404e+00	2.696438e+00
right_choroid_plexus	9.208503e-02	5.504339e-01	-2.313734e-01	4.546250e+06	-3.248983e+02	6.577967e+02	4.321195e+00	3.660509e+00	-5.055247e+00
aircavity	9.208503e-02	1.249847e-01	-6.949540e-01	2.474042e+05	-2.729997e+02	5.539993e+02	4.321195e+00	3.056003e+00	-9.447553e-01
skull	9.208503e-02	1.405085e-01	-5.734729e-01	3.829060e+05	-2.809184e+02	5.698368e+02	4.321195e+00	3.178446e+00	-2.070377e+00
vermis	9.208503e-02	8.547959e-01	-8.966303e-02	1.865976e+06	-3.088910e+02	6.257821e+02	4.321195e+00	1.719552e+00	-5.667247e+00
pons	9.208503e-02	6.561231e-01	9.938890e-01	1.137622e+06	-2.999689e+02	6.079377e+02	4.321195e+00	1.150494e+00	2.004707e+00
csf_extracerebral	9.208503e-02	4.727998e-01	-1.968708e-01	4.911797e+05	-2.848581e+02	5.777162e+02	4.321195e+00	1.287913e+00	-2.604775e+00
head_extracerebral	9.208503e-02	1.317453e-01	-5.183850e-01	4.598164e+05	-2.845208e+02	5.770416e+02	4.321195e+00	3.534419e+00	-3.464142e+00
ctx_lh_bankssts	9.208503e-02	8.714993e-01	5.802413e-01	1.055326e+06	-2.986209e+02	6.052418e+02	4.321195e+00	9.854290e-01	1.401789e+00
ctx_lh_caudalanteriorcingulate	9.208503e-02	9.652410e-01	8.643946e-01	2.962406e+06	-3.171919e+02	6.423839e+02	4.321195e+00	1.463493e+00	1.760997e+00
ctx_lh_caudalmiddlefrontal	9.208503e-02	9.793681e-01	2.549813e-01	8.652255e+05	-2.950737e+02	5.981475e+02	4.321195e+00	9.270709e-01	1.739916e+00
ctx_lh_cuneus	9.208503e-02	9.770941e-01	5.869515e-01	1.583329e+06	-3.059566e+02	6.199131e+02	4.321195e+00	1.128642e+00	1.442516e+00
