Logan Ref	Kappa2	BPnd	k2ref	MSE	LogLikelihood	AIC	%Cov Kappa2	%Cov BPnd	%Cov k2ref
highbinding	5.772585e-02	2.255254e+00	1.000000e+06	2.776427e-01	-2.636894e+00	1.327379e+01	4.280065e+00	1.267158e+00	NaN
left_cerebral_white_matter	2.488756e-02	1.322379e-01	1.000000e+06	1.283661e+00	-7.230302e+00	2.246060e+01	6.574457e+00	2.452554e+01	NaN
left_cerebellum_white_matter	7.125151e-02	1.132802e-01	1.000000e+06	3.585643e-02	3.503543e+00	9.929144e-01	1.713659e+00	2.732149e+00	NaN
left_cerebellum_cortex	-1.813121e+00	3.504859e-03	1.000000e+06	5.991236e-03	8.871219e+00	-9.742437e+00	-1.461140e+01	2.194815e+01	NaN
left_thalamus	4.311329e-02	1.970971e+00	1.000000e+06	7.456663e-01	-5.600723e+00	1.920145e+01	6.199632e+00	2.542898e+00	NaN
left_caudate	6.750728e-02	2.280277e+00	1.000000e+06	2.676278e-01	-2.526680e+00	1.305336e+01	4.646032e+00	1.160491e+00	NaN
left_putamen	6.389103e-02	2.621893e+00	1.000000e+06	2.779849e-01	-2.640588e+00	1.328118e+01	4.426341e+00	1.129947e+00	NaN
left_pallidum	2.015324e-02	1.598835e+00	1.000000e+06	4.079722e+00	-1.069924e+01	2.939848e+01	1.123957e+01	8.972854e+00	NaN
brain_stem	2.695835e-02	1.838440e+00	1.000000e+06	8.520182e-01	-6.000712e+00	2.000142e+01	5.435769e+00	3.432816e+00	NaN
left_hippocampus	8.820583e-02	5.450308e-01	1.000000e+06	1.242119e-01	-2.238558e-01	8.447712e+00	3.845784e+00	1.402179e+00	NaN
left_amygdala	2.302683e-02	2.581417e+00	1.000000e+06	9.244672e+00	-1.315330e+01	3.430659e+01	1.853201e+01	1.195490e+01	NaN
csf	8.000238e-02	-8.581145e-01	1.000000e+06	1.882776e+01	-1.528715e+01	3.857430e+01	7.460982e+01	-1.837235e+00	NaN
left_accumbens_area	3.189352e-02	4.057969e+00	1.000000e+06	2.504807e+00	-9.235789e+00	2.647158e+01	9.491597e+00	4.309493e+00	NaN
left_ventraldc	2.715710e-02	2.158351e+00	1.000000e+06	2.620237e+00	-9.370949e+00	2.674190e+01	9.937402e+00	5.943059e+00	NaN
left_choroid_plexus	-1.129980e-01	3.968238e-01	1.000000e+06	8.932614e+02	-2.686579e+01	6.173158e+01	-1.287297e+02	9.961827e+00	NaN
right_cerebral_white_matter	2.514117e-02	1.198404e-01	1.000000e+06	8.135527e-01	-5.862120e+00	1.972424e+01	5.231250e+00	2.109285e+01	NaN
right_cerebellum_white_matter	7.585776e-02	1.202828e-01	1.000000e+06	4.352144e-01	-3.985405e+00	1.597081e+01	6.667292e+00	9.475989e+00	NaN
right_cerebellum_cortex	1.750666e+00	-3.273060e-03	1.000000e+06	4.955165e-03	9.440820e+00	-1.088164e+01	1.320375e+01	-2.228611e+01	NaN
right_thalamus	4.259916e-02	2.156108e+00	1.000000e+06	2.537281e-01	-2.366678e+00	1.273336e+01	3.497855e+00	1.417623e+00	NaN
right_caudate	7.352860e-02	2.065062e+00	1.000000e+06	2.320262e-01	-2.098439e+00	1.219688e+01	4.437979e+00	1.049739e+00	NaN
right_putamen	6.082987e-02	2.522798e+00	1.000000e+06	4.182535e-01	-3.866151e+00	1.573230e+01	5.454409e+00	1.484145e+00	NaN
right_pallidum	3.354051e-02	1.129642e+00	1.000000e+06	2.463868e+00	-9.186352e+00	2.637270e+01	9.028828e+00	5.881599e+00	NaN
right_hippocampus	9.025754e-02	5.804255e-01	1.000000e+06	1.606839e-01	-9.962066e-01	9.992413e+00	4.568274e+00	1.555752e+00	NaN
right_amygdala	2.600945e-02	2.476802e+00	1.000000e+06	4.505303e+00	-1.099692e+01	2.999384e+01	1.267483e+01	7.653223e+00	NaN
right_accumbens_area	2.940327e-02	3.143061e+00	1.000000e+06	3.925089e+01	-1.749108e+01	4.298215e+01	5.178417e+01	2.723413e+01	NaN
right_ventraldc	2.652812e-02	2.258181e+00	1.000000e+06	1.410474e+00	-7.512931e+00	2.302586e+01	7.019557e+00	4.221121e+00	NaN
right_choroid_plexus	-5.075649e-02	-1.776773e-01	1.000000e+06	9.238942e+02	-2.696695e+01	6.193389e+01	-5.852543e+01	-5.250016e+00	NaN
aircavity	5.475579e-02	-7.559098e-01	1.000000e+06	9.072564e-01	-6.189164e+00	2.037833e+01	7.118497e+00	-4.908783e-01	NaN
skull	1.850761e-02	-5.672023e-01	1.000000e+06	2.742051e+00	-9.507273e+00	2.701455e+01	9.147809e+00	-3.669096e+00	NaN
vermis	1.163047e+00	-8.293914e-02	1.000000e+06	3.497684e-01	-3.329702e+00	1.465940e+01	6.331081e+01	-5.359298e+00	NaN
pons	4.655303e-02	1.044390e+00	1.000000e+06	5.097202e-01	-4.459474e+00	1.691895e+01	5.344094e+00	2.638990e+00	NaN
csf_extracerebral	1.422488e-02	-6.339496e-01	1.000000e+06	4.802415e+00	-1.118851e+01	3.037702e+01	1.126949e+01	-3.993035e+00	NaN
head_extracerebral	3.131382e-02	-4.258027e-01	1.000000e+06	8.076813e-01	-5.840391e+00	1.968078e+01	5.805402e+00	-2.809721e+00	NaN
ctx_lh_bankssts	1.856514e-01	1.104801e+00	1.000000e+06	1.339677e-01	-4.506842e-01	8.901368e+00	6.660693e+00	7.033662e-01	NaN
ctx_lh_caudalanteriorcingulate	8.381362e-02	1.854982e+00	1.000000e+06	1.289426e+00	-7.243746e+00	2.248749e+01	1.303419e+01	2.738933e+00	NaN
ctx_lh_caudalmiddlefrontal	-1.121311e+00	7.592510e-01	1.000000e+06	2.040502e-02	5.194769e+00	-2.389538e+00	-1.599264e+01	3.068256e-01	NaN
ctx_lh_cuneus	4.169533e-01	1.466921e+00	1.000000e+06	3.612472e-02	3.481179e+00	1.037642e+00	8.310337e+00	3.406493e-01	NaN
ctx_lh_entorhinal	4.332283e-02	1.126505e+00	1.000000e+06	2.768380e+00	-9.535941e+00	2.707188e+01	1.199788e+01	6.267859e+00	NaN
ctx_lh_fusiform	1.020827e-01	7.291468e-01	1.000000e+06	1.126079e-01	7.037553e-02	7.859249e+00	4.121524e+00	1.070590e+00	NaN
ctx_lh_inferiorparietal	4.237835e-01	9.009083e-01	1.000000e+06	5.853669e-03	8.940906e+00	-9.881811e+00	3.344683e+00	1.653481e-01	NaN
ctx_lh_inferiortemporal	2.325981e-01	6.821396e-01	1.000000e+06	2.006494e-02	5.245189e+00	-2.490378e+00	3.343168e+00	3.631354e-01	NaN
ctx_lh_isthmuscingulate	1.755105e-01	9.492850e-01	1.000000e+06	3.554672e-02	3.529568e+00	9.408636e-01	3.839142e+00	4.718303e-01	NaN
ctx_lh_lateraloccipital	3.577570e-01	1.073051e+00	1.000000e+06	1.677756e-02	5.781985e+00	-3.563969e+00	4.708111e+00	2.528851e-01	NaN
ctx_lh_lateralorbitofrontal	1.969533e-01	1.096978e+00	1.000000e+06	1.174959e-02	6.850656e+00	-5.701313e+00	2.325999e+00	2.364947e-01	NaN
ctx_lh_lingual	1.982435e-01	1.108450e+00	1.000000e+06	4.680469e-02	2.704161e+00	2.591677e+00	4.757279e+00	4.810477e-01	NaN
ctx_lh_medialorbitofrontal	1.338845e-01	1.327524e+00	1.000000e+06	8.487120e-02	9.187072e-01	6.162586e+00	4.147017e+00	5.826869e-01	NaN
ctx_lh_middletemporal	2.440048e-01	7.868266e-01	1.000000e+06	1.186606e-02	6.821064e+00	-5.642128e+00	2.864714e+00	2.751984e-01	NaN
ctx_lh_parahippocampal	6.528186e-02	8.244992e-01	1.000000e+06	5.194368e-01	-4.516124e+00	1.703225e+01	6.286743e+00	2.511776e+00	NaN
ctx_lh_paracentral	1.589727e-01	1.174188e+00	1.000000e+06	7.153304e-02	1.431633e+00	5.136734e+00	4.458092e+00	5.420403e-01	NaN
ctx_lh_parsopercularis	-1.238887e+00	1.068973e+00	1.000000e+06	1.374432e-01	-5.275206e-01	9.055041e+00	-4.242204e+01	6.038483e-01	NaN
ctx_lh_parsorbitalis	1.101657e+00	7.718737e-01	1.000000e+06	6.813609e-02	1.577590e+00	4.844820e+00	2.753859e+01	5.398327e-01	NaN
ctx_lh_parstriangularis	4.381612e-01	1.195654e+00	1.000000e+06	4.506607e-02	2.817722e+00	2.364555e+00	9.254705e+00	3.776725e-01	NaN
ctx_lh_pericalcarine	2.949332e-01	2.030302e+00	1.000000e+06	1.911982e-02	5.389935e+00	-2.779869e+00	4.394696e+00	2.260237e-01	NaN
ctx_lh_postcentral	1.458539e-01	1.358353e+00	1.000000e+06	6.814186e-02	1.577337e+00	4.845327e+00	4.324435e+00	5.549018e-01	NaN
ctx_lh_posteriorcingulate	1.453070e-01	1.365185e+00	1.000000e+06	1.977774e-01	-1.619314e+00	1.123863e+01	7.695621e+00	9.941884e-01	NaN
ctx_lh_precentral	6.693164e-01	9.682566e-01	1.000000e+06	3.887046e-03	1.016916e+01	-1.233833e+01	4.296776e+00	1.274765e-01	NaN
ctx_lh_precuneus	3.502990e-01	9.893274e-01	1.000000e+06	1.934058e-02	5.355495e+00	-2.710991e+00	4.932106e+00	2.819699e-01	NaN
ctx_lh_rostralanteriorcingulate	7.061028e-02	1.509001e+00	1.000000e+06	7.549483e-01	-5.637836e+00	1.927567e+01	8.492049e+00	2.340185e+00	NaN
ctx_lh_rostralmiddlefrontal	1.500471e+00	9.726264e-01	1.000000e+06	2.744114e-02	4.305981e+00	-6.119619e-01	2.473012e+01	3.199054e-01	NaN
ctx_lh_superiorfrontal	2.142298e+00	7.600283e-01	1.000000e+06	1.560704e-02	5.998945e+00	-3.997890e+00	2.703215e+01	2.797503e-01	NaN
ctx_lh_superiorparietal	4.897309e-01	9.471113e-01	1.000000e+06	2.764244e-02	4.284055e+00	-5.681104e-01	8.139089e+00	3.363907e-01	NaN
ctx_lh_superiortemporal	8.749587e-02	1.206023e+00	1.000000e+06	1.079545e-01	1.969829e-01	7.606034e+00	3.547424e+00	8.454529e-01	NaN
ctx_lh_supramarginal	3.239224e-01	9.608848e-01	1.000000e+06	3.368852e-02	3.690640e+00	6.187199e-01	5.893002e+00	3.679479e-01	NaN
