SRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	9.335370e-02	1.231566e+00	2.347928e+00	1.010842e+06	-2.978712e+02	6.037424e+02	4.834700e+00	7.813669e-01	1.002638e+00
left_cerebral_white_matter	9.335370e-02	2.272206e-01	1.938090e-01	1.927661e+05	-2.681751e+02	5.443502e+02	4.834700e+00	1.402939e+00	1.278055e+01
left_cerebellum_white_matter	9.335370e-02	5.262174e-01	9.631313e-02	5.734457e+05	-2.876422e+02	5.832844e+02	4.834700e+00	1.603678e+00	1.444466e+01
left_cerebellum_cortex	9.335370e-02	1.019042e+00	7.873702e-03	2.752853e+04	-2.329762e+02	4.739524e+02	4.834700e+00	3.144959e-01	2.508341e+01
left_thalamus	9.335370e-02	9.590771e-01	1.996559e+00	1.347253e+06	-3.030123e+02	6.140246e+02	4.834700e+00	1.080267e+00	1.586970e+00
left_caudate	9.335370e-02	1.336291e+00	2.402821e+00	4.975229e+06	-3.267674e+02	6.615348e+02	4.834700e+00	1.654631e+00	2.035525e+00
left_putamen	9.335370e-02	1.426706e+00	2.757651e+00	2.195033e+06	-3.117925e+02	6.315849e+02	4.834700e+00	1.010755e+00	1.218023e+00
left_pallidum	9.335370e-02	4.722344e-01	1.506879e+00	3.570864e+06	-3.205524e+02	6.491049e+02	4.834700e+00	2.895723e+00	7.192570e+00
brain_stem	9.335370e-02	6.172284e-01	1.944198e+00	1.000180e+06	-2.976633e+02	6.033267e+02	4.834700e+00	1.215219e+00	2.495370e+00
left_hippocampus	9.335370e-02	7.892421e-01	5.493116e-01	1.262840e+06	-3.018455e+02	6.116909e+02	4.834700e+00	1.647277e+00	3.590099e+00
left_amygdala	9.335370e-02	6.299529e-01	3.172558e+00	3.190711e+06	-3.185296e+02	6.450592e+02	4.834700e+00	1.923192e+00	4.664405e+00
csf	9.335370e-02	1.753683e-01	-8.864009e-01	5.690627e+05	-2.874931e+02	5.829863e+02	4.834700e+00	1.157974e+01	-8.059769e-01
left_accumbens_area	9.335370e-02	1.162763e+00	4.645047e+00	1.780366e+07	-3.494769e+02	7.069539e+02	4.834700e+00	2.705036e+00	4.527508e+00
left_ventraldc	9.335370e-02	6.822377e-01	2.325834e+00	1.360973e+06	-3.031889e+02	6.143777e+02	4.834700e+00	1.272871e+00	2.515943e+00
left_choroid_plexus	9.335370e-02	4.109549e+00	5.577178e-01	8.764703e+07	-3.781611e+02	7.643222e+02	4.834700e+00	7.200487e+00	1.160981e+01
right_cerebral_white_matter	9.335370e-02	2.281487e-01	1.723905e-01	1.788161e+05	-2.668234e+02	5.416468e+02	4.834700e+00	1.355486e+00	1.336018e+01
right_cerebellum_white_matter	9.335370e-02	5.391169e-01	1.132674e-01	3.858734e+05	-2.805015e+02	5.690030e+02	4.834700e+00	1.291120e+00	1.000504e+01
right_cerebellum_cortex	9.335370e-02	9.809641e-01	-7.793492e-03	2.746763e+04	-2.329364e+02	4.738727e+02	4.834700e+00	3.203858e-01	-2.558947e+01
right_thalamus	9.335370e-02	1.012543e+00	2.173136e+00	2.257715e+06	-3.122994e+02	6.325988e+02	4.834700e+00	1.322689e+00	1.894099e+00
right_caudate	9.335370e-02	1.281041e+00	2.211272e+00	4.774061e+06	-3.259808e+02	6.599617e+02	4.834700e+00	1.705430e+00	2.134044e+00
right_putamen	9.335370e-02	1.374524e+00	2.623138e+00	1.746787e+06	-3.076870e+02	6.233739e+02	4.834700e+00	9.354904e-01	1.143208e+00
right_pallidum	9.335370e-02	5.299164e-01	1.274946e+00	4.409194e+06	-3.243474e+02	6.566948e+02	4.834700e+00	3.087963e+00	6.827798e+00
right_hippocampus	9.335370e-02	8.284212e-01	5.793638e-01	1.056701e+06	-2.986337e+02	6.052673e+02	4.834700e+00	1.462923e+00	3.047483e+00
right_amygdala	9.335370e-02	6.536590e-01	3.167940e+00	4.245320e+06	-3.236698e+02	6.553396e+02	4.834700e+00	2.160065e+00	5.049248e+00
right_accumbens_area	9.335370e-02	8.722957e-01	3.925362e+00	2.054240e+07	-3.520532e+02	7.121064e+02	4.834700e+00	3.688251e+00	7.318041e+00
right_ventraldc	9.335370e-02	6.900230e-01	2.417970e+00	2.061657e+06	-3.106651e+02	6.293303e+02	4.834700e+00	1.540550e+00	3.053315e+00
right_choroid_plexus	9.335370e-02	2.419395e+00	-8.658484e-02	8.767168e+07	-3.781657e+02	7.643314e+02	4.834700e+00	1.222306e+01	-7.469760e+01
aircavity	9.335370e-02	1.047889e-01	-7.683876e-01	1.718073e+05	-2.662544e+02	5.405088e+02	4.834700e+00	4.252249e+00	-1.040196e+00
skull	9.335370e-02	6.972315e-02	-5.625116e-01	1.823712e+05	-2.676472e+02	5.432944e+02	4.834700e+00	4.216003e+00	-5.735180e+00
vermis	9.335370e-02	1.057401e+00	-1.198362e-01	3.412128e+06	-3.197329e+02	6.474659e+02	4.834700e+00	3.886441e+00	-1.683775e+01
pons	9.335370e-02	7.119637e-01	1.039722e+00	1.184169e+06	-3.006874e+02	6.093747e+02	4.834700e+00	1.423821e+00	2.590905e+00
csf_extracerebral	9.335370e-02	4.378688e-02	-5.899783e-01	3.368477e+05	-2.787380e+02	5.654760e+02	4.834700e+00	8.300351e+00	-1.509448e+01
head_extracerebral	9.335370e-02	1.603597e-01	-4.632689e-01	6.260465e+05	-2.898132e+02	5.876264e+02	4.834700e+00	4.264977e+00	-5.064486e+00
ctx_lh_bankssts	9.335370e-02	1.312960e+00	1.165387e+00	3.775295e+06	-3.215845e+02	6.511691e+02	4.834700e+00	1.924283e+00	2.597420e+00
ctx_lh_caudalanteriorcingulate	9.335370e-02	1.470721e+00	1.830016e+00	8.903315e+06	-3.369998e+02	6.819995e+02	4.834700e+00	2.377544e+00	2.819475e+00
ctx_lh_caudalmiddlefrontal	9.335370e-02	1.656549e+00	8.017676e-01	3.288956e+06	-3.192077e+02	6.464155e+02	4.834700e+00	1.956370e+00	2.818967e+00
ctx_lh_cuneus	9.335370e-02	1.777334e+00	1.559904e+00	6.859053e+06	-3.323922e+02	6.727843e+02	4.834700e+00	2.113371e+00	2.415040e+00
ctx_lh_entorhinal	9.335370e-02	6.272837e-01	1.291868e+00	2.646936e+06	-3.151623e+02	6.383246e+02	4.834700e+00	2.156840e+00	4.175964e+00
ctx_lh_fusiform	9.335370e-02	9.123396e-01	7.575241e-01	1.425816e+06	-3.040601e+02	6.161202e+02	4.834700e+00	1.532653e+00	2.727960e+00
ctx_lh_inferiorparietal	9.335370e-02	1.499886e+00	9.285664e-01	1.579932e+06	-3.061413e+02	6.202827e+02	4.834700e+00	1.310499e+00	1.832828e+00
ctx_lh_inferiortemporal	9.335370e-02	1.139612e+00	7.216760e-01	1.658588e+06	-3.069298e+02	6.218595e+02	4.834700e+00	1.564668e+00	2.637325e+00
ctx_lh_isthmuscingulate	9.335370e-02	1.307879e+00	9.657572e-01	6.235139e+06	-3.306388e+02	6.692775e+02	4.834700e+00	2.653368e+00	3.809822e+00
ctx_lh_lateraloccipital	9.335370e-02	1.507293e+00	1.131479e+00	5.916865e+06	-3.297623e+02	6.675246e+02	4.834700e+00	2.346528e+00	3.061210e+00
ctx_lh_lateralorbitofrontal	9.335370e-02	1.428594e+00	1.119218e+00	1.252478e+06	-3.017262e+02	6.114525e+02	4.834700e+00	1.099254e+00	1.462386e+00
ctx_lh_lingual	9.335370e-02	1.391828e+00	1.152563e+00	3.453725e+06	-3.200129e+02	6.480259e+02	4.834700e+00	1.817506e+00	2.415776e+00
ctx_lh_medialorbitofrontal	9.335370e-02	1.398320e+00	1.346764e+00	2.300221e+06	-3.126627e+02	6.333254e+02	4.834700e+00	1.393259e+00	1.773845e+00
ctx_lh_middletemporal	9.335370e-02	1.247762e+00	8.196887e-01	1.915246e+06	-3.094930e+02	6.269861e+02	4.834700e+00	1.576056e+00	2.445528e+00
ctx_lh_parahippocampal	9.335370e-02	7.493961e-01	8.677357e-01	1.898011e+06	-3.091759e+02	6.263518e+02	4.834700e+00	1.844092e+00	3.410080e+00
ctx_lh_paracentral	9.335370e-02	1.399971e+00	1.192706e+00	4.378062e+06	-3.242515e+02	6.565029e+02	4.834700e+00	2.015960e+00	2.648153e+00
ctx_lh_parsopercularis	9.335370e-02	1.831256e+00	1.133724e+00	4.017789e+06	-3.228365e+02	6.536731e+02	4.834700e+00	1.850249e+00	2.278508e+00
ctx_lh_parsorbitalis	9.335370e-02	1.514931e+00	8.057852e-01	3.595293e+06	-3.207525e+02	6.495050e+02	4.834700e+00	2.077610e+00	3.066810e+00
ctx_lh_parstriangularis	9.335370e-02	1.749095e+00	1.228250e+00	5.208144e+06	-3.274647e+02	6.629294e+02	4.834700e+00	2.055137e+00	2.503848e+00
ctx_lh_pericalcarine	9.335370e-02	2.344198e+00	2.044644e+00	4.670867e+06	-3.254071e+02	6.588142e+02	4.834700e+00	1.430500e+00	1.438620e+00
ctx_lh_postcentral	9.335370e-02	1.461186e+00	1.384388e+00	2.041912e+06	-3.106724e+02	6.293448e+02	4.834700e+00	1.281148e+00	1.597442e+00
ctx_lh_posteriorcingulate	9.335370e-02	1.454340e+00	1.398349e+00	4.167481e+06	-3.233542e+02	6.547085e+02	4.834700e+00	1.825331e+00	2.274235e+00
ctx_lh_precentral	9.335370e-02	1.649048e+00	9.956717e-01	1.515921e+06	-3.052993e+02	6.185985e+02	4.834700e+00	1.224512e+00	1.623794e+00
ctx_lh_precuneus	9.335370e-02	1.541108e+00	1.011355e+00	1.376919e+06	-3.035072e+02	6.150144e+02	4.834700e+00	1.176977e+00	1.583100e+00
ctx_lh_rostralanteriorcingulate	9.335370e-02	1.145064e+00	1.508638e+00	4.330538e+06	-3.240269e+02	6.560539e+02	4.834700e+00	1.964071e+00	2.640180e+00
ctx_lh_rostralmiddlefrontal	9.335370e-02	1.672682e+00	1.015934e+00	2.178522e+06	-3.118640e+02	6.317279e+02	4.834700e+00	1.451939e+00	1.903846e+00
ctx_lh_superiorfrontal	9.335370e-02	1.552261e+00	7.912733e-01	1.409157e+06	-3.039801e+02	6.159602e+02	4.834700e+00	1.302757e+00	1.924249e+00
ctx_lh_superiorparietal	9.335370e-02	1.500909e+00	9.949693e-01	2.611596e+06	-3.150874e+02	6.381747e+02	4.834700e+00	1.641080e+00	2.237337e+00
ctx_lh_superiortemporal	9.335370e-02	1.089288e+00	1.237342e+00	2.062436e+06	-3.107104e+02	6.294207e+02	4.834700e+00	1.482259e+00	2.108514e+00
ctx_lh_supramarginal	9.335370e-02	1.472114e+00	9.893172e-01	1.462484e+06	-3.046693e+02	6.173385e+02	4.834700e+00	1.236312e+00	1.698568e+00
ctx_lh_frontalpole	9.335370e-02	1.326293e+00	7.659333e-01	4.180888e+06	-3.233940e+02	6.547880e+02	4.834700e+00	2.346639e+00	3.680667e+00
ctx_lh_temporalpole	9.335370e-02	6.547892e-01	1.288013e+00	2.892851e+06	-3.168818e+02	6.417637e+02	4.834700e+00	2.202351e+00	4.132996e+00
ctx_lh_transversetemporal	9.335370e-02	1.840866e+00	1.914291e+00	5.101627e+06	-3.269769e+02	6.619537e+02	4.834700e+00	1.642330e+00	1.792541e+00
ctx_lh_insula	9.335370e-02	1.011385e+00	1.870108e+00	1.477382e+06	-3.046727e+02	6.173454e+02	4.834700e+00	1.124962e+00	1.592483e+00
ctx_rh_bankssts	9.335370e-02	1.289571e+00	1.024411e+00	2.774868e+06	-3.160121e+02	6.400242e+02	4.834700e+00	1.739496e+00	2.457961e+00
ctx_rh_caudalanteriorcingulate	9.335370e-02	1.276178e+00	1.549760e+00	6.469052e+06	-3.312474e+02	6.704949e+02	4.834700e+00	2.279994e+00	2.918608e+00
