SRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
ctx_rh_caudalmiddlefrontal	9.335370e-02	1.593556e+00	7.567623e-01	1.525621e+06	-3.054147e+02	6.188293e+02	4.834700e+00	1.370030e+00	2.047414e+00
ctx_rh_cuneus	9.335370e-02	1.821146e+00	1.553617e+00	5.515332e+06	-3.283868e+02	6.647736e+02	4.834700e+00	1.887043e+00	2.142551e+00
ctx_rh_entorhinal	9.335370e-02	6.564191e-01	1.175156e+00	3.039201e+06	-3.177448e+02	6.434896e+02	4.834700e+00	2.306204e+00	4.345032e+00
ctx_rh_fusiform	9.335370e-02	9.344942e-01	8.422035e-01	1.416855e+06	-3.039936e+02	6.159872e+02	4.834700e+00	1.469661e+00	2.488100e+00
ctx_rh_inferiorparietal	9.335370e-02	1.454253e+00	8.913670e-01	9.265893e+05	-2.964624e+02	6.009247e+02	4.834700e+00	1.025953e+00	1.470816e+00
ctx_rh_inferiortemporal	9.335370e-02	1.011136e+00	6.460913e-01	1.460625e+06	-3.045508e+02	6.171016e+02	4.834700e+00	1.568448e+00	2.890706e+00
ctx_rh_isthmuscingulate	9.335370e-02	1.232328e+00	1.120778e+00	5.267680e+06	-3.275643e+02	6.631286e+02	4.834700e+00	2.351270e+00	3.278255e+00
ctx_rh_lateraloccipital	9.335370e-02	1.382079e+00	8.982201e-01	4.269594e+06	-3.238806e+02	6.557613e+02	4.834700e+00	2.222335e+00	3.224345e+00
ctx_rh_lateralorbitofrontal	9.335370e-02	1.411363e+00	1.184387e+00	9.491685e+05	-2.967415e+02	6.014829e+02	4.834700e+00	9.391134e-01	1.232949e+00
ctx_rh_lingual	9.335370e-02	1.339549e+00	1.208669e+00	4.885858e+06	-3.262796e+02	6.605593e+02	4.834700e+00	2.146027e+00	2.848589e+00
ctx_rh_medialorbitofrontal	9.335370e-02	1.452043e+00	1.287063e+00	3.024213e+06	-3.176177e+02	6.432354e+02	4.834700e+00	1.608933e+00	2.046442e+00
ctx_rh_middletemporal	9.335370e-02	1.177587e+00	8.448422e-01	1.442863e+06	-3.043661e+02	6.167322e+02	4.834700e+00	1.375640e+00	2.146517e+00
ctx_rh_parahippocampal	9.335370e-02	7.837451e-01	1.010601e+00	4.283578e+06	-3.238337e+02	6.556673e+02	4.834700e+00	2.607165e+00	4.523265e+00
ctx_rh_paracentral	9.335370e-02	1.526603e+00	1.318228e+00	2.176636e+06	-3.116704e+02	6.313409e+02	4.834700e+00	1.333046e+00	1.658954e+00
ctx_rh_parsopercularis	9.335370e-02	1.741527e+00	1.053274e+00	2.283891e+06	-3.125089e+02	6.330179e+02	4.834700e+00	1.453088e+00	1.859876e+00
ctx_rh_parsorbitalis	9.335370e-02	1.459534e+00	8.211859e-01	2.717501e+06	-3.156720e+02	6.393440e+02	4.834700e+00	1.808176e+00	2.676811e+00
ctx_rh_parstriangularis	9.335370e-02	1.746325e+00	1.106245e+00	2.575313e+06	-3.147720e+02	6.375440e+02	4.834700e+00	1.511179e+00	1.901690e+00
ctx_rh_pericalcarine	9.335370e-02	2.222250e+00	2.027194e+00	8.000767e+06	-3.351263e+02	6.782527e+02	4.834700e+00	1.903865e+00	1.947133e+00
ctx_rh_postcentral	9.335370e-02	1.551356e+00	1.496323e+00	1.209458e+06	-3.011116e+02	6.102231e+02	4.834700e+00	9.379312e-01	1.127690e+00
ctx_rh_posteriorcingulate	9.335370e-02	1.555683e+00	1.535026e+00	3.208348e+06	-3.186275e+02	6.452550e+02	4.834700e+00	1.509859e+00	1.804310e+00
ctx_rh_precentral	9.335370e-02	1.636095e+00	8.934506e-01	1.032556e+06	-2.982703e+02	6.045407e+02	4.834700e+00	1.055589e+00	1.460851e+00
ctx_rh_precuneus	9.335370e-02	1.603445e+00	1.096974e+00	1.622867e+06	-3.064353e+02	6.208706e+02	4.834700e+00	1.226169e+00	1.586212e+00
ctx_rh_rostralanteriorcingulate	9.335370e-02	1.144286e+00	1.557173e+00	6.247675e+06	-3.306274e+02	6.692548e+02	4.834700e+00	2.332880e+00	3.124301e+00
ctx_rh_rostralmiddlefrontal	9.335370e-02	1.592300e+00	9.508780e-01	1.550523e+06	-3.057335e+02	6.194670e+02	4.834700e+00	1.270099e+00	1.730198e+00
ctx_rh_superiorfrontal	9.335370e-02	1.563272e+00	8.171687e-01	1.258240e+06	-3.019645e+02	6.119290e+02	4.834700e+00	1.215227e+00	1.766970e+00
ctx_rh_superiorparietal	9.335370e-02	1.446337e+00	9.685541e-01	1.992335e+06	-3.102571e+02	6.285141e+02	4.834700e+00	1.460686e+00	2.032757e+00
ctx_rh_superiortemporal	9.335370e-02	1.098938e+00	1.225751e+00	8.131006e+05	-2.939167e+02	5.958334e+02	4.834700e+00	9.306543e-01	1.321961e+00
ctx_rh_supramarginal	9.335370e-02	1.428749e+00	1.024875e+00	8.514476e+05	-2.948870e+02	5.977739e+02	4.834700e+00	9.375210e-01	1.283592e+00
ctx_rh_frontalpole	9.335370e-02	1.333213e+00	7.668268e-01	4.673341e+06	-3.253948e+02	6.587895e+02	4.834700e+00	2.477050e+00	3.877315e+00
ctx_rh_temporalpole	9.335370e-02	6.494021e-01	1.291891e+00	3.256862e+06	-3.189712e+02	6.459425e+02	4.834700e+00	2.345901e+00	4.428170e+00
ctx_rh_transversetemporal	9.335370e-02	2.157804e+00	1.880174e+00	9.902280e+06	-3.389143e+02	6.858286e+02	4.834700e+00	2.215557e+00	2.310556e+00
ctx_rh_insula	9.335370e-02	1.018861e+00	1.780777e+00	1.750605e+06	-3.077231e+02	6.234462e+02	4.834700e+00	1.240341e+00	1.746905e+00
