SRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	9.335370e-02	1.231566e+00	2.347928e+00	1.010842e+06	-2.978712e+02	6.037424e+02	4.834700e+00	7.813669e-01	1.002638e+00
left_cerebral_white_matter	9.335370e-02	4.919496e-01	2.214247e-01	5.674273e+05	-2.874428e+02	5.828855e+02	4.834700e+00	1.539220e+00	7.280400e+00
left_cerebellum_white_matter	9.335370e-02	6.173192e-01	6.070271e-02	6.260265e+05	-2.892330e+02	5.864660e+02	4.834700e+00	1.619861e+00	2.084456e+01
left_cerebellum_cortex	9.335370e-02	8.665983e-01	-4.959416e-02	5.392874e+04	-2.450829e+02	4.981659e+02	4.834700e+00	4.756596e-01	-5.859077e+00
left_thalamus	9.335370e-02	7.998058e-01	1.566337e+00	1.061684e+06	-2.987233e+02	6.054466e+02	4.834700e+00	1.135529e+00	1.853122e+00
left_caudate	9.335370e-02	8.736628e-01	1.399470e+00	1.516958e+06	-3.053109e+02	6.186217e+02	4.834700e+00	1.342096e+00	2.082775e+00
left_putamen	9.335370e-02	1.022555e+00	1.904200e+00	1.075981e+06	-2.989616e+02	6.059232e+02	4.834700e+00	9.491635e-01	1.335890e+00
left_pallidum	9.335370e-02	6.064958e-01	1.357757e+00	1.443998e+06	-3.042559e+02	6.165118e+02	4.834700e+00	1.605488e+00	3.189649e+00
brain_stem	9.335370e-02	5.277258e-01	1.118334e+00	7.859795e+05	-2.933345e+02	5.946690e+02	4.834700e+00	1.343802e+00	2.986512e+00
left_hippocampus	9.335370e-02	6.170542e-01	5.351184e-01	8.749690e+05	-2.952414e+02	5.984829e+02	4.834700e+00	1.522135e+00	3.748026e+00
left_amygdala	9.335370e-02	5.152067e-01	1.580777e+00	1.380015e+06	-3.034451e+02	6.148902e+02	4.834700e+00	1.681714e+00	3.888400e+00
csf	9.335370e-02	3.132171e-01	-1.932381e-01	8.151529e+05	-2.939978e+02	5.959957e+02	4.834700e+00	2.839625e+00	-1.036032e+01
left_accumbens_area	9.335370e-02	8.442386e-01	1.940846e+00	4.183466e+06	-3.234074e+02	6.548148e+02	4.834700e+00	2.056959e+00	3.285321e+00
left_ventraldc	9.335370e-02	6.009359e-01	1.685823e+00	9.508682e+05	-2.967340e+02	6.014681e+02	4.834700e+00	1.245696e+00	2.543859e+00
left_choroid_plexus	9.335370e-02	6.445911e-01	-1.971335e-01	8.441198e+06	-3.360372e+02	6.800744e+02	4.834700e+00	7.225958e+00	-1.963474e+01
right_cerebral_white_matter	9.335370e-02	4.885907e-01	2.091585e-01	5.733564e+05	-2.876324e+02	5.832649e+02	4.834700e+00	1.560694e+00	7.723763e+00
right_cerebellum_white_matter	9.335370e-02	6.238548e-01	7.301161e-02	4.035725e+05	-2.813247e+02	5.706494e+02	4.834700e+00	1.286078e+00	1.392384e+01
right_cerebellum_cortex	9.335370e-02	8.398141e-01	-6.294927e-02	9.951594e+04	-2.561215e+02	5.202431e+02	4.834700e+00	6.575013e-01	-6.323195e+00
right_thalamus	9.335370e-02	8.404135e-01	1.679477e+00	1.635078e+06	-3.064914e+02	6.209828e+02	4.834700e+00	1.345131e+00	2.128550e+00
right_caudate	9.335370e-02	8.663071e-01	1.310294e+00	1.588139e+06	-3.060697e+02	6.201394e+02	4.834700e+00	1.406506e+00	2.208121e+00
right_putamen	9.335370e-02	1.013480e+00	1.843311e+00	9.346705e+05	-2.964317e+02	6.008634e+02	4.834700e+00	8.981934e-01	1.269403e+00
right_pallidum	9.335370e-02	6.096734e-01	1.218386e+00	2.090314e+06	-3.109125e+02	6.298251e+02	4.834700e+00	1.975528e+00	3.913618e+00
right_hippocampus	9.335370e-02	6.429232e-01	5.074952e-01	8.535898e+05	-2.947985e+02	5.975969e+02	4.834700e+00	1.492160e+00	3.695619e+00
right_amygdala	9.335370e-02	5.323321e-01	1.687414e+00	1.427473e+06	-3.040487e+02	6.160974e+02	4.834700e+00	1.651056e+00	3.750224e+00
right_accumbens_area	9.335370e-02	7.395075e-01	1.678298e+00	6.912418e+06	-3.324411e+02	6.728823e+02	4.834700e+00	2.967677e+00	5.135139e+00
right_ventraldc	9.335370e-02	5.982475e-01	1.685177e+00	1.405945e+06	-3.037737e+02	6.155473e+02	4.834700e+00	1.519175e+00	3.114001e+00
right_choroid_plexus	9.335370e-02	5.682127e-01	-2.388007e-01	4.015705e+06	-3.226660e+02	6.533320e+02	4.834700e+00	5.342971e+00	-1.160712e+01
aircavity	9.335370e-02	1.277156e-01	-6.986766e-01	1.948882e+05	-2.685558e+02	5.451116e+02	4.834700e+00	3.576418e+00	-1.289829e+00
skull	9.335370e-02	1.425904e-01	-5.778749e-01	3.184394e+05	-2.774340e+02	5.628680e+02	4.834700e+00	3.626495e+00	-2.506269e+00
vermis	9.335370e-02	8.815309e-01	-1.020056e-01	1.270588e+06	-3.019596e+02	6.119192e+02	4.834700e+00	2.410727e+00	-1.334292e+01
pons	9.335370e-02	6.564248e-01	9.876729e-01	9.915667e+05	-2.974954e+02	6.029908e+02	4.834700e+00	1.374712e+00	2.654394e+00
csf_extracerebral	9.335370e-02	4.799578e-01	-2.021835e-01	2.801715e+05	-2.747552e+02	5.575104e+02	4.834700e+00	1.426142e+00	-4.098739e+00
head_extracerebral	9.335370e-02	1.328213e-01	-5.226788e-01	4.095809e+05	-2.821836e+02	5.723673e+02	4.834700e+00	4.035549e+00	-3.973196e+00
ctx_lh_bankssts	9.335370e-02	8.681020e-01	5.784700e-01	9.514884e+05	-2.967496e+02	6.014993e+02	4.834700e+00	1.366712e+00	2.800941e+00
ctx_lh_caudalanteriorcingulate	9.335370e-02	9.668878e-01	8.631145e-01	2.799488e+06	-3.161744e+02	6.403489e+02	4.834700e+00	2.026071e+00	3.355527e+00
ctx_lh_caudalmiddlefrontal	9.335370e-02	9.783807e-01	2.548882e-01	7.198500e+05	-2.917447e+02	5.914894e+02	4.834700e+00	1.358716e+00	4.501246e+00
ctx_lh_cuneus	9.335370e-02	9.726556e-01	5.897137e-01	1.360730e+06	-3.032053e+02	6.144105e+02	4.834700e+00	1.569381e+00	3.064332e+00
ctx_lh_entorhinal	9.335370e-02	4.765094e-01	6.810507e-01	7.038849e+05	-2.913207e+02	5.906415e+02	4.834700e+00	1.486544e+00	3.903035e+00
ctx_lh_fusiform	9.335370e-02	7.061252e-01	4.038767e-01	5.792410e+05	-2.878133e+02	5.836267e+02	4.834700e+00	1.236890e+00	3.338704e+00
ctx_lh_inferiorparietal	9.335370e-02	8.853406e-01	3.155852e-01	3.355597e+05	-2.780091e+02	5.640182e+02	4.834700e+00	9.169611e-01	2.687089e+00
ctx_lh_inferiortemporal	9.335370e-02	7.575896e-01	3.243455e-01	4.728848e+05	-2.842080e+02	5.764160e+02	4.834700e+00	1.133746e+00	3.429198e+00
ctx_lh_isthmuscingulate	9.335370e-02	8.839609e-01	4.696236e-01	1.489287e+06	-3.048195e+02	6.176390e+02	4.834700e+00	1.785087e+00	4.068827e+00
ctx_lh_lateraloccipital	9.335370e-02	8.704180e-01	4.068180e-01	1.056013e+06	-2.986658e+02	6.053315e+02	4.834700e+00	1.557157e+00	3.886254e+00
ctx_lh_lateralorbitofrontal	9.335370e-02	9.150955e-01	5.359081e-01	4.586058e+05	-2.836088e+02	5.752175e+02	4.834700e+00	9.505649e-01	1.990558e+00
ctx_lh_lingual	9.335370e-02	8.722459e-01	4.992026e-01	7.994300e+05	-2.936182e+02	5.952363e+02	4.834700e+00	1.295232e+00	2.864890e+00
ctx_lh_medialorbitofrontal	9.335370e-02	8.689897e-01	6.094227e-01	7.409563e+05	-2.922444e+02	5.924889e+02	4.834700e+00	1.190206e+00	2.376423e+00
ctx_lh_middletemporal	9.335370e-02	8.332290e-01	4.013339e-01	5.413305e+05	-2.866511e+02	5.813022e+02	4.834700e+00	1.132623e+00	2.891547e+00
ctx_lh_parahippocampal	9.335370e-02	5.702896e-01	4.483678e-01	8.607318e+05	-2.949484e+02	5.978969e+02	4.834700e+00	1.614978e+00	4.525532e+00
ctx_lh_paracentral	9.335370e-02	8.498458e-01	5.142828e-01	1.010115e+06	-2.978245e+02	6.036490e+02	4.834700e+00	1.458118e+00	3.201551e+00
ctx_lh_parsopercularis	9.335370e-02	1.064812e+00	4.870795e-01	6.220985e+05	-2.891498e+02	5.862997e+02	4.834700e+00	1.087219e+00	2.290172e+00
ctx_lh_parsorbitalis	9.335370e-02	9.501927e-01	3.023252e-01	1.108566e+06	-2.995022e+02	6.070043e+02	4.834700e+00	1.649708e+00	4.875869e+00
ctx_lh_parstriangularis	9.335370e-02	1.043341e+00	5.315871e-01	1.432167e+06	-3.041296e+02	6.162592e+02	4.834700e+00	1.622000e+00	3.272920e+00
ctx_lh_pericalcarine	9.335370e-02	1.054905e+00	6.612292e-01	1.425933e+06	-3.040331e+02	6.160662e+02	4.834700e+00	1.520922e+00	2.734898e+00
ctx_lh_postcentral	9.335370e-02	8.098076e-01	4.784493e-01	4.181169e+05	-2.819450e+02	5.718900e+02	4.834700e+00	9.685917e-01	2.251187e+00
ctx_lh_posteriorcingulate	9.335370e-02	9.734480e-01	7.178907e-01	1.337495e+06	-3.028757e+02	6.137514e+02	4.834700e+00	1.474380e+00	2.622111e+00
ctx_lh_precentral	9.335370e-02	9.652809e-01	3.874205e-01	3.654784e+05	-2.795273e+02	5.670545e+02	4.834700e+00	8.996260e-01	2.242013e+00
ctx_lh_precuneus	9.335370e-02	9.589454e-01	4.712729e-01	5.112210e+05	-2.855641e+02	5.791283e+02	4.834700e+00	1.020797e+00	2.262403e+00
ctx_lh_rostralanteriorcingulate	9.335370e-02	8.210106e-01	8.359958e-01	1.419690e+06	-3.039556e+02	6.159111e+02	4.834700e+00	1.549314e+00	2.775726e+00
ctx_lh_rostralmiddlefrontal	9.335370e-02	1.018736e+00	4.033094e-01	4.564530e+05	-2.835763e+02	5.751527e+02	4.834700e+00	9.835927e-01	2.351668e+00
ctx_lh_superiorfrontal	9.335370e-02	9.567414e-01	3.057979e-01	3.385104e+05	-2.781537e+02	5.643074e+02	4.834700e+00	9.082800e-01	2.657791e+00
ctx_lh_superiorparietal	9.335370e-02	8.224916e-01	2.897001e-01	4.072208e+05	-2.814934e+02	5.709869e+02	4.834700e+00	1.045654e+00	3.327340e+00
ctx_lh_superiortemporal	9.335370e-02	7.435972e-01	6.333862e-01	7.176355e+05	-2.916739e+02	5.913477e+02	4.834700e+00	1.229262e+00	2.565594e+00
ctx_lh_supramarginal	9.335370e-02	9.002148e-01	4.112396e-01	3.695800e+05	-2.797319e+02	5.674639e+02	4.834700e+00	9.103016e-01	2.232696e+00
ctx_lh_frontalpole	9.335370e-02	8.007532e-01	2.118567e-01	9.114209e+05	-2.959714e+02	5.999428e+02	4.834700e+00	1.648604e+00	6.666424e+00
ctx_lh_temporalpole	9.335370e-02	5.100886e-01	6.505305e-01	8.505645e+05	-2.947712e+02	5.975424e+02	4.834700e+00	1.587399e+00	4.034147e+00
ctx_lh_transversetemporal	9.335370e-02	9.775456e-01	8.441095e-01	2.336208e+06	-3.129212e+02	6.338425e+02	4.834700e+00	1.856110e+00	3.086559e+00
ctx_lh_insula	9.335370e-02	7.677998e-01	1.008170e+00	7.082174e+05	-2.914379e+02	5.908757e+02	4.834700e+00	1.070835e+00	1.879269e+00
ctx_rh_bankssts	9.335370e-02	9.238820e-01	6.321673e-01	1.282228e+06	-3.021166e+02	6.122332e+02	4.834700e+00	1.519941e+00	2.917603e+00
ctx_rh_caudalanteriorcingulate	9.335370e-02	8.907294e-01	7.802236e-01	1.660996e+06	-3.067783e+02	6.215566e+02	4.834700e+00	1.654908e+00	2.938274e+00
ctx_rh_caudalmiddlefrontal	9.335370e-02	9.503490e-01	2.367697e-01	4.756678e+05	-2.842685e+02	5.765371e+02	4.834700e+00	1.124303e+00	3.968593e+00
ctx_rh_cuneus	9.335370e-02	1.019905e+00	5.959212e-01	1.274736e+06	-3.020129e+02	6.120259e+02	4.834700e+00	1.494187e+00	2.858330e+00
