Logan Ref	Kappa2	BPnd	k2ref	MSE	LogLikelihood	AIC	%Cov Kappa2	%Cov BPnd	%Cov k2ref
right_amygdala	2.984030e-02	1.419859e+00	1.000000e+06	1.291406e+00	-7.248349e+00	2.249670e+01	6.832867e+00	4.473303e+00	NaN
right_accumbens_area	3.175581e-02	1.743256e+00	1.000000e+06	1.346160e+01	-1.428068e+01	3.656136e+01	2.756078e+01	1.536806e+01	NaN
right_ventraldc	2.900887e-02	1.595555e+00	1.000000e+06	1.018581e+00	-6.536386e+00	2.107277e+01	6.099142e+00	3.854952e+00	NaN
right_choroid_plexus	1.281796e-01	-2.054911e-01	1.000000e+06	7.556808e-01	-5.640745e+00	1.928149e+01	1.287295e+01	-4.231907e+00	NaN
aircavity	4.639180e-02	-6.764998e-01	1.000000e+06	1.768531e-01	-1.283846e+00	1.056769e+01	3.082171e+00	-3.685278e-01	NaN
skull	3.413739e-02	-5.410938e-01	1.000000e+06	1.140381e+00	-6.875243e+00	2.175049e+01	7.315573e+00	-2.057683e+00	NaN
vermis	3.013705e-01	-6.510183e-02	1.000000e+06	8.899743e-02	7.762892e-01	6.447422e+00	9.385445e+00	-4.396373e+00	NaN
pons	4.322613e-02	9.915044e-01	1.000000e+06	6.634105e-01	-5.250071e+00	1.850014e+01	5.889986e+00	3.209078e+00	NaN
csf_extracerebral	8.835476e-02	-1.709330e-01	1.000000e+06	3.054876e-01	-2.923617e+00	1.384723e+01	6.534557e+00	-4.041268e+00	NaN
head_extracerebral	2.963721e-02	-4.939733e-01	1.000000e+06	9.379068e-01	-6.288840e+00	2.057768e+01	6.125893e+00	-2.359873e+00	NaN
ctx_lh_bankssts	1.112313e-01	5.626146e-01	1.000000e+06	1.625953e-01	-1.031681e+00	1.006336e+01	5.076268e+00	1.394615e+00	NaN
ctx_lh_caudalanteriorcingulate	9.364327e-02	8.494331e-01	1.000000e+06	1.374785e+00	-7.436046e+00	2.287209e+01	1.450579e+01	3.910048e+00	NaN
ctx_lh_caudalmiddlefrontal	2.361818e-01	2.623459e-01	1.000000e+06	6.967988e-02	1.510377e+00	4.979247e+00	7.151000e+00	1.498933e+00	NaN
ctx_lh_cuneus	1.404244e-01	5.732129e-01	1.000000e+06	3.342683e-01	-3.193720e+00	1.438744e+01	9.871565e+00	2.119846e+00	NaN
ctx_lh_entorhinal	4.218717e-02	5.974848e-01	1.000000e+06	7.965789e-01	-5.798867e+00	1.959773e+01	6.072212e+00	4.552639e+00	NaN
ctx_lh_fusiform	8.397032e-02	4.038975e-01	1.000000e+06	3.743731e-01	-3.533648e+00	1.506730e+01	6.843208e+00	3.226889e+00	NaN
ctx_lh_inferiorparietal	1.529436e-01	3.229736e-01	1.000000e+06	8.045120e-02	1.079159e+00	5.841682e+00	5.008991e+00	1.436449e+00	NaN
ctx_lh_inferiortemporal	1.173750e-01	3.151115e-01	1.000000e+06	5.730519e-02	2.096938e+00	3.806124e+00	3.243957e+00	1.267411e+00	NaN
ctx_lh_isthmuscingulate	1.166760e-01	4.744904e-01	1.000000e+06	2.231364e-01	-1.981238e+00	1.196248e+01	6.839411e+00	2.008634e+00	NaN
ctx_lh_lateraloccipital	1.331081e-01	4.045423e-01	1.000000e+06	5.731643e-02	2.096349e+00	3.807301e+00	3.705329e+00	1.042555e+00	NaN
ctx_lh_lateralorbitofrontal	1.177943e-01	5.398845e-01	1.000000e+06	9.273200e-02	6.529706e-01	6.694059e+00	4.260615e+00	1.133171e+00	NaN
ctx_lh_lingual	1.170879e-01	4.935130e-01	1.000000e+06	3.936484e-01	-3.684263e+00	1.536853e+01	9.151606e+00	2.640210e+00	NaN
ctx_lh_medialorbitofrontal	9.282184e-02	6.196174e-01	1.000000e+06	1.758239e-01	-1.266337e+00	1.053267e+01	4.784734e+00	1.513500e+00	NaN
ctx_lh_middletemporal	1.255035e-01	3.948405e-01	1.000000e+06	1.716665e-01	-1.194550e+00	1.038910e+01	6.267447e+00	1.937859e+00	NaN
ctx_lh_parahippocampal	5.605652e-02	4.508713e-01	1.000000e+06	6.287390e-01	-5.089037e+00	1.817807e+01	6.352299e+00	4.281279e+00	NaN
ctx_lh_paracentral	9.773807e-02	5.268992e-01	1.000000e+06	7.955920e-02	1.112607e+00	5.774785e+00	3.292650e+00	1.080680e+00	NaN
ctx_lh_parsopercularis	2.132229e-01	4.822525e-01	1.000000e+06	6.090276e-02	1.914276e+00	4.171448e+00	5.993624e+00	9.028215e-01	NaN
ctx_lh_parsorbitalis	1.811932e-01	3.126773e-01	1.000000e+06	8.160920e-02	1.036285e+00	5.927429e+00	5.809897e+00	1.401025e+00	NaN
ctx_lh_parstriangularis	1.527937e-01	5.416042e-01	1.000000e+06	1.164381e-01	-2.996858e-02	8.059937e+00	6.013974e+00	1.190180e+00	NaN
ctx_lh_pericalcarine	1.088808e-01	7.013935e-01	1.000000e+06	3.763128e-01	-3.549151e+00	1.509830e+01	8.784358e+00	2.170311e+00	NaN
ctx_lh_postcentral	9.243727e-02	4.925062e-01	1.000000e+06	2.380256e-01	-2.175023e+00	1.235005e+01	5.788893e+00	2.133501e+00	NaN
ctx_lh_posteriorcingulate	1.071960e-01	7.159945e-01	1.000000e+06	6.237707e-01	-5.065237e+00	1.813047e+01	1.106341e+01	2.774095e+00	NaN
ctx_lh_precentral	1.537649e-01	4.033782e-01	1.000000e+06	1.267544e-01	-2.846418e-01	8.569284e+00	6.518934e+00	1.574948e+00	NaN
ctx_lh_precuneus	1.337234e-01	4.860167e-01	1.000000e+06	1.738739e-01	-1.232880e+00	1.046576e+01	6.569312e+00	1.627701e+00	NaN
ctx_lh_rostralanteriorcingulate	6.659605e-02	8.452815e-01	1.000000e+06	5.761432e-01	-4.826957e+00	1.765391e+01	7.051550e+00	2.702859e+00	NaN
ctx_lh_rostralmiddlefrontal	2.016348e-01	4.060629e-01	1.000000e+06	5.486725e-02	2.227362e+00	3.545277e+00	5.404838e+00	9.693523e-01	NaN
ctx_lh_superiorfrontal	1.859116e-01	3.166473e-01	1.000000e+06	8.644822e-02	8.634748e-01	6.273050e+00	6.383622e+00	1.504812e+00	NaN
ctx_lh_superiorparietal	1.385481e-01	2.914488e-01	1.000000e+06	9.611916e-02	5.453456e-01	6.909309e+00	5.036775e+00	1.745735e+00	NaN
ctx_lh_superiortemporal	7.361664e-02	6.219239e-01	1.000000e+06	1.674736e-01	-1.120365e+00	1.024073e+01	3.930882e+00	1.610083e+00	NaN
ctx_lh_supramarginal	1.344925e-01	4.183310e-01	1.000000e+06	9.656406e-02	5.314917e-01	6.937017e+00	4.799564e+00	1.304003e+00	NaN
ctx_lh_frontalpole	1.645419e-01	2.065502e-01	1.000000e+06	6.871310e-01	-5.355463e+00	1.871093e+01	1.725865e+01	6.700876e+00	NaN
ctx_lh_temporalpole	5.031512e-02	5.510356e-01	1.000000e+06	9.042039e-01	-6.179053e+00	2.035811e+01	7.153994e+00	4.777315e+00	NaN
ctx_lh_transversetemporal	8.358935e-02	8.711864e-01	1.000000e+06	3.302497e-02	3.750320e+00	4.993601e-01	1.880260e+00	5.475535e-01	NaN
ctx_lh_insula	5.378428e-02	1.006208e+00	1.000000e+06	6.235441e-01	-5.064147e+00	1.812829e+01	6.493138e+00	2.822874e+00	NaN
ctx_rh_bankssts	1.005888e-01	6.425415e-01	1.000000e+06	2.039570e-01	-1.711616e+00	1.142323e+01	5.617054e+00	1.592266e+00	NaN
ctx_rh_caudalanteriorcingulate	7.914351e-02	7.967473e-01	1.000000e+06	6.437652e-01	-5.159891e+00	1.831978e+01	7.879966e+00	2.545005e+00	NaN
ctx_rh_caudalmiddlefrontal	1.831458e-01	2.595914e-01	1.000000e+06	2.477656e-01	-2.295337e+00	1.259067e+01	1.127586e+01	3.177535e+00	NaN
ctx_rh_cuneus	1.358242e-01	6.018246e-01	1.000000e+06	2.044056e-02	5.189548e+00	-2.379096e+00	2.200713e+00	4.658395e-01	NaN
ctx_rh_entorhinal	4.776969e-02	5.667116e-01	1.000000e+06	5.379955e-01	-4.621439e+00	1.724288e+01	5.347396e+00	3.677898e+00	NaN
ctx_rh_fusiform	8.516143e-02	4.421011e-01	1.000000e+06	1.063968e-01	2.405842e-01	7.518832e+00	3.500120e+00	1.523727e+00	NaN
ctx_rh_inferiorparietal	1.511344e-01	3.403468e-01	1.000000e+06	8.229554e-02	1.011161e+00	5.977678e+00	5.089378e+00	1.426634e+00	NaN
ctx_rh_inferiortemporal	1.111529e-01	2.973112e-01	1.000000e+06	1.111335e-01	1.099150e-01	7.780170e+00	4.328440e+00	1.882702e+00	NaN
ctx_rh_isthmuscingulate	1.082510e-01	5.102824e-01	1.000000e+06	2.765467e-01	-2.625028e+00	1.325006e+01	7.070949e+00	2.158159e+00	NaN
ctx_rh_lateraloccipital	1.303194e-01	3.399029e-01	1.000000e+06	8.332435e-02	9.738892e-01	6.052222e+00	4.421938e+00	1.451587e+00	NaN
ctx_rh_lateralorbitofrontal	1.121686e-01	5.671831e-01	1.000000e+06	1.068541e-01	2.277175e-01	7.544565e+00	4.412553e+00	1.199337e+00	NaN
ctx_rh_lingual	1.005326e-01	5.480662e-01	1.000000e+06	3.302576e-01	-3.157508e+00	1.431502e+01	7.435120e+00	2.339098e+00	NaN
ctx_rh_medialorbitofrontal	9.538619e-02	6.099962e-01	1.000000e+06	2.096448e-01	-1.794132e+00	1.158826e+01	5.596656e+00	1.740389e+00	NaN
ctx_rh_middletemporal	1.057725e-01	4.337246e-01	1.000000e+06	1.417255e-01	-6.195644e-01	9.239129e+00	4.892966e+00	1.700666e+00	NaN
ctx_rh_parahippocampal	5.600064e-02	5.551792e-01	1.000000e+06	1.167548e+00	-6.945872e+00	2.189174e+01	8.310989e+00	4.856663e+00	NaN
ctx_rh_paracentral	1.037506e-01	5.731239e-01	1.000000e+06	2.120794e-01	-1.828771e+00	1.165754e+01	5.929209e+00	1.751889e+00	NaN
ctx_rh_parsopercularis	1.825735e-01	4.925274e-01	1.000000e+06	2.165234e-01	-1.890985e+00	1.178197e+01	1.026738e+01	1.825289e+00	NaN
ctx_rh_parsorbitalis	1.656443e-01	3.423568e-01	1.000000e+06	3.301659e-02	3.751081e+00	4.978381e-01	3.320072e+00	8.269007e-01	NaN
ctx_rh_parstriangularis	1.808722e-01	4.752665e-01	1.000000e+06	2.131123e-01	-1.843346e+00	1.168669e+01	1.013912e+01	1.861250e+00	NaN
ctx_rh_pericalcarine	1.447609e-01	7.128951e-01	1.000000e+06	2.680824e-01	-2.531772e+00	1.306354e+01	8.669018e+00	1.560556e+00	NaN
ctx_rh_postcentral	9.588586e-02	5.655305e-01	1.000000e+06	1.035812e-01	3.210438e-01	7.357912e+00	3.769214e+00	1.218554e+00	NaN
ctx_rh_posteriorcingulate	1.037956e-01	7.974710e-01	1.000000e+06	2.142643e-01	-1.859519e+00	1.171904e+01	6.013724e+00	1.451816e+00	NaN
ctx_rh_precentral	1.669027e-01	3.819872e-01	1.000000e+06	6.037501e-02	1.940386e+00	4.119228e+00	4.722331e+00	1.089718e+00	NaN
ctx_rh_precuneus	1.376447e-01	5.260852e-01	1.000000e+06	1.546134e-01	-8.806724e-01	9.761345e+00	6.343411e+00	1.438915e+00	NaN
ctx_rh_rostralanteriorcingulate	6.320548e-02	8.040363e-01	1.000000e+06	2.992268e-01	-2.861494e+00	1.372299e+01	5.001030e+00	2.021657e+00	NaN
ctx_rh_rostralmiddlefrontal	1.849061e-01	3.699582e-01	1.000000e+06	1.016423e-01	3.777329e-01	7.244534e+00	6.813369e+00	1.440693e+00	NaN
ctx_rh_superiorfrontal	1.892926e-01	3.090185e-01	1.000000e+06	6.087788e-02	1.915502e+00	4.168997e+00	5.323784e+00	1.252771e+00	NaN
ctx_rh_superiorparietal	1.205660e-01	2.968178e-01	1.000000e+06	9.133079e-02	6.986477e-01	6.602705e+00	4.397862e+00	1.745381e+00	NaN
ctx_rh_superiortemporal	7.563286e-02	6.545046e-01	1.000000e+06	2.405429e-01	-2.206583e+00	1.241317e+01	4.836981e+00	1.873178e+00	NaN
ctx_rh_supramarginal	1.189391e-01	4.738586e-01	1.000000e+06	1.351669e-01	-4.774201e-01	8.954840e+00	5.220158e+00	1.498857e+00	NaN
ctx_rh_frontalpole	1.624898e-01	2.982879e-01	1.000000e+06	3.355665e-01	-3.205349e+00	1.441070e+01	1.145256e+01	3.323650e+00	NaN
ctx_rh_temporalpole	4.317521e-02	6.162793e-01	1.000000e+06	6.288587e-01	-5.089608e+00	1.817922e+01	5.415042e+00	3.840623e+00	NaN
ctx_rh_transversetemporal	1.055047e-01	8.652719e-01	1.000000e+06	6.263510e-01	-5.077621e+00	1.815524e+01	1.133474e+01	2.568761e+00	NaN
ctx_rh_insula	5.249546e-02	1.004654e+00	1.000000e+06	6.536814e-01	-5.205749e+00	1.841150e+01	6.617680e+00	2.941449e+00	NaN
