Logan Ref	Kappa2	BPnd	k2ref	MSE	LogLikelihood	AIC	%Cov Kappa2	%Cov BPnd	%Cov k2ref
highbinding	5.772585e-02	2.255254e+00	1.000000e+06	2.776427e-01	-2.636894e+00	1.327379e+01	4.280065e+00	1.267158e+00	NaN
left_cerebral_white_matter	4.950906e-02	2.655795e-01	1.000000e+06	6.895796e-01	-5.366135e+00	1.873227e+01	6.666608e+00	7.478653e+00	NaN
left_cerebellum_white_matter	8.827850e-02	9.505081e-02	1.000000e+06	7.214284e-02	1.406168e+00	5.187665e+00	2.959767e+00	4.351113e+00	NaN
left_cerebellum_cortex	4.572587e-01	-3.897073e-02	1.000000e+06	1.988092e-02	5.272830e+00	-2.545660e+00	7.109236e+00	-3.842445e+00	NaN
left_thalamus	4.153486e-02	1.545442e+00	1.000000e+06	6.679695e-01	-5.270616e+00	1.854123e+01	5.761223e+00	2.676984e+00	NaN
left_caudate	5.828043e-02	1.319567e+00	1.000000e+06	2.202896e-01	-1.942717e+00	1.188543e+01	3.821992e+00	1.359338e+00	NaN
left_putamen	5.611750e-02	1.799356e+00	1.000000e+06	3.213479e-01	-3.075462e+00	1.415092e+01	4.439904e+00	1.465336e+00	NaN
left_pallidum	3.184493e-02	1.347452e+00	1.000000e+06	1.626465e+00	-7.940382e+00	2.388076e+01	8.122206e+00	5.026166e+00	NaN
brain_stem	3.169400e-02	1.085551e+00	1.000000e+06	6.015971e-01	-4.956652e+00	1.791330e+01	4.833790e+00	3.341306e+00	NaN
left_hippocampus	5.396393e-02	5.571876e-01	1.000000e+06	4.813428e-01	-4.287628e+00	1.657526e+01	5.752762e+00	3.475951e+00	NaN
left_amygdala	2.708483e-02	1.419881e+00	1.000000e+06	3.969044e+00	-1.061673e+01	2.923346e+01	1.231720e+01	8.609266e+00	NaN
csf	4.194893e-02	-1.375431e-01	1.000000e+06	1.274223e+00	-7.208164e+00	2.241633e+01	8.525304e+00	-1.474945e+01	NaN
left_accumbens_area	4.169465e-02	1.816831e+00	1.000000e+06	2.894405e+00	-9.669493e+00	2.733899e+01	1.241145e+01	5.517133e+00	NaN
left_ventraldc	2.849138e-02	1.613527e+00	1.000000e+06	1.435219e+00	-7.565106e+00	2.313021e+01	7.399057e+00	4.693347e+00	NaN
left_choroid_plexus	8.101533e-02	-9.428931e-02	1.000000e+06	4.360748e+00	-1.089909e+01	2.979817e+01	2.523203e+01	-3.569876e+01	NaN
right_cerebral_white_matter	4.926866e-02	2.553933e-01	1.000000e+06	5.991134e-01	-4.944241e+00	1.788848e+01	6.196831e+00	7.195008e+00	NaN
right_cerebellum_white_matter	9.384208e-02	9.755696e-02	1.000000e+06	2.879906e-01	-2.746672e+00	1.349334e+01	6.464261e+00	8.729260e+00	NaN
right_cerebellum_cortex	3.206838e-01	-4.527398e-02	1.000000e+06	5.552682e-02	2.191513e+00	3.616974e+00	8.607351e+00	-5.760996e+00	NaN
right_thalamus	4.174207e-02	1.662667e+00	1.000000e+06	2.108880e-01	-1.811870e+00	1.162374e+01	3.147819e+00	1.422879e+00	NaN
right_caudate	6.351523e-02	1.215682e+00	1.000000e+06	4.023308e-01	-3.749712e+00	1.549942e+01	5.395982e+00	1.834230e+00	NaN
right_putamen	5.540721e-02	1.759645e+00	1.000000e+06	4.986991e-01	-4.393897e+00	1.678779e+01	5.643097e+00	1.901076e+00	NaN
right_pallidum	4.107251e-02	1.100143e+00	1.000000e+06	1.147375e+00	-6.893584e+00	2.178717e+01	6.766718e+00	3.734890e+00	NaN
right_hippocampus	5.894015e-02	5.282665e-01	1.000000e+06	4.360479e-01	-3.991145e+00	1.598229e+01	5.769008e+00	3.305389e+00	NaN
