SRTM	R1	k2	BPnd	MSE	LogLikelihood	AIC	%Cov R1	%Cov k2	%Cov BPnd
highbinding	1.236757e+00	8.419106e-02	2.240293e+00	9.595896e+05	-2.969398e+02	6.018796e+02	1.399549e+00	3.944255e+00	2.188159e+00
left_cerebral_white_matter	6.229426e-01	2.368998e-02	3.638539e-01	4.370252e+04	-2.412984e+02	4.905968e+02	5.478768e-01	3.436605e+00	5.673155e+00
left_cerebellum_white_matter	7.824579e-01	2.902796e-02	1.382958e-01	1.411825e+05	-2.624070e+02	5.328139e+02	8.447541e-01	1.016024e+01	1.400504e+01
left_cerebellum_cortex	9.178635e-01	2.388647e-02	-2.196999e-02	1.608179e+04	-2.233059e+02	4.546119e+02	2.406417e-01	2.384943e+01	-3.188800e+01
left_thalamus	8.751313e-01	4.575345e-02	1.892971e+00	5.410901e+05	-2.865877e+02	5.811754e+02	1.352993e+00	4.293204e+00	4.539186e+00
left_caudate	7.609469e-01	7.505112e-02	9.655432e-01	8.500506e+05	-2.947174e+02	5.974347e+02	2.395784e+00	4.970554e+00	2.759197e+00
left_putamen	1.065115e+00	6.478267e-02	1.936567e+00	1.180987e+06	-3.006358e+02	6.092717e+02	1.738847e+00	5.264234e+00	3.665280e+00
left_pallidum	7.119828e-01	4.154948e-02	1.658324e+00	1.898474e+06	-3.091856e+02	6.263711e+02	3.109823e+00	8.160611e+00	9.914767e+00
brain_stem	6.228865e-01	3.066486e-02	1.700143e+00	1.746934e+05	-2.662405e+02	5.404810e+02	1.037490e+00	3.117415e+00	5.297504e+00
left_hippocampus	7.634434e-01	3.707872e-02	5.428334e-01	5.356584e+05	-2.864045e+02	5.808089e+02	1.663745e+00	8.587856e+00	7.645613e+00
left_amygdala	6.701032e-01	4.810106e-02	1.858712e+00	1.317302e+06	-3.026020e+02	6.132040e+02	2.782448e+00	5.457358e+00	6.452794e+00
