SRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
aircavity	6.807404e-02	1.865341e-01	-6.893655e-01	2.026848e+05	-2.691713e+02	5.463427e+02	5.078757e+00	2.710375e+00	-1.007096e+00
skull	6.807404e-02	1.457316e-01	-8.080297e-01	3.854129e+05	-2.805486e+02	5.690971e+02	5.078757e+00	5.526347e+00	-9.847269e-01
vermis	6.807404e-02	7.218112e-01	-2.467025e-01	3.284091e+06	-3.190575e+02	6.461149e+02	5.078757e+00	3.822847e+00	-8.120547e+00
pons	6.807404e-02	7.146315e-01	8.566724e-01	3.625467e+05	-2.793787e+02	5.667574e+02	5.078757e+00	7.564394e-01	1.760770e+00
csf_extracerebral	6.807404e-02	1.149130e-01	-7.597455e-01	7.207034e+05	-2.920969e+02	5.921938e+02	5.078757e+00	7.339174e+00	-2.157719e+00
head_extracerebral	6.807404e-02	1.593287e-01	-5.347307e-01	6.302244e+05	-2.897993e+02	5.875987e+02	5.078757e+00	4.262098e+00	-4.355007e+00
ctx_lh_bankssts	6.807404e-02	1.582634e+00	1.027464e+00	3.204624e+06	-3.186210e+02	6.452420e+02	5.078757e+00	1.494524e+00	2.190354e+00
ctx_lh_caudalanteriorcingulate	6.807404e-02	1.459246e+00	1.811679e+00	6.712413e+06	-3.319338e+02	6.718676e+02	5.078757e+00	1.839497e+00	2.533196e+00
ctx_lh_caudalmiddlefrontal	6.807404e-02	1.724187e+00	6.494675e-01	1.956808e+06	-3.098000e+02	6.276000e+02	5.078757e+00	1.316313e+00	2.266789e+00
ctx_lh_cuneus	6.807404e-02	2.044909e+00	1.498127e+00	8.610593e+06	-3.364234e+02	6.808467e+02	5.078757e+00	1.957254e+00	2.385369e+00
ctx_lh_entorhinal	6.807404e-02	9.776814e-01	1.473256e+00	3.131011e+06	-3.182523e+02	6.445047e+02	5.078757e+00	1.643865e+00	2.907326e+00
ctx_lh_fusiform	6.807404e-02	1.159096e+00	8.693281e-01	1.156660e+06	-3.002789e+02	6.085579e+02	5.078757e+00	1.061608e+00	1.855281e+00
ctx_lh_inferiorparietal	6.807404e-02	1.591607e+00	7.863314e-01	2.101897e+06	-3.111257e+02	6.302514e+02	5.078757e+00	1.317150e+00	2.128263e+00
ctx_lh_inferiortemporal	6.807404e-02	1.332322e+00	7.232435e-01	1.154383e+06	-3.002930e+02	6.085859e+02	5.078757e+00	1.058789e+00	1.879935e+00
ctx_lh_isthmuscingulate	6.807404e-02	1.494997e+00	8.189665e-01	4.796001e+06	-3.259528e+02	6.599057e+02	5.078757e+00	2.003518e+00	3.247978e+00
ctx_lh_lateraloccipital	6.807404e-02	1.831639e+00	9.856196e-01	3.923316e+06	-3.222852e+02	6.525705e+02	5.078757e+00	1.602448e+00	2.271764e+00
ctx_lh_lateralorbitofrontal	6.807404e-02	1.627061e+00	1.075436e+00	1.418540e+06	-3.040252e+02	6.160505e+02	5.078757e+00	9.699497e-01	1.388208e+00
ctx_lh_lingual	6.807404e-02	1.887712e+00	1.201374e+00	3.418559e+06	-3.197787e+02	6.475575e+02	5.078757e+00	1.379059e+00	1.819180e+00
ctx_lh_medialorbitofrontal	6.807404e-02	1.459719e+00	1.273432e+00	3.940601e+06	-3.223505e+02	6.527010e+02	5.078757e+00	1.588479e+00	2.270054e+00
ctx_lh_middletemporal	6.807404e-02	1.417633e+00	7.797865e-01	2.127863e+06	-3.114281e+02	6.308561e+02	5.078757e+00	1.377956e+00	2.319791e+00
ctx_lh_parahippocampal	6.807404e-02	9.308992e-01	1.050704e+00	2.908887e+06	-3.168608e+02	6.417217e+02	5.078757e+00	1.773879e+00	3.323464e+00
ctx_lh_paracentral	6.807404e-02	1.531875e+00	1.115398e+00	3.326656e+06	-3.192823e+02	6.465646e+02	5.078757e+00	1.498229e+00	2.168018e+00
ctx_lh_parsopercularis	6.807404e-02	1.855321e+00	1.056893e+00	3.381749e+06	-3.196575e+02	6.473150e+02	5.078757e+00	1.445653e+00	1.993538e+00
ctx_lh_parsorbitalis	6.807404e-02	1.718539e+00	9.576712e-01	5.672520e+06	-3.289612e+02	6.659224e+02	5.078757e+00	1.983278e+00	2.897071e+00
ctx_lh_parstriangularis	6.807404e-02	1.898320e+00	1.262212e+00	2.770592e+06	-3.160748e+02	6.401496e+02	5.078757e+00	1.216332e+00	1.580374e+00
ctx_lh_pericalcarine	6.807404e-02	3.174969e+00	2.017072e+00	1.239145e+07	-3.429484e+02	6.938968e+02	5.078757e+00	1.807778e+00	1.829898e+00
ctx_lh_postcentral	6.807404e-02	1.590935e+00	1.166540e+00	4.264749e+06	-3.239120e+02	6.558240e+02	5.078757e+00	1.648050e+00	2.323376e+00
ctx_lh_posteriorcingulate	6.807404e-02	1.496388e+00	1.130007e+00	4.723187e+06	-3.256567e+02	6.593135e+02	5.078757e+00	1.792789e+00	2.608202e+00
ctx_lh_precentral	6.807404e-02	1.769161e+00	8.397112e-01	3.834956e+06	-3.219359e+02	6.518719e+02	5.078757e+00	1.689818e+00	2.572752e+00
ctx_lh_precuneus	6.807404e-02	1.578590e+00	7.892379e-01	1.691250e+06	-3.071659e+02	6.223317e+02	5.078757e+00	1.183072e+00	1.913545e+00
ctx_lh_rostralanteriorcingulate	6.807404e-02	1.392314e+00	1.367029e+00	2.988714e+06	-3.173482e+02	6.426964e+02	5.078757e+00	1.377958e+00	1.986541e+00
ctx_lh_rostralmiddlefrontal	6.807404e-02	1.691960e+00	1.063645e+00	2.138960e+06	-3.114937e+02	6.309874e+02	5.078757e+00	1.180285e+00	1.672773e+00
ctx_lh_superiorfrontal	6.807404e-02	1.625386e+00	8.162023e-01	7.756873e+05	-2.931231e+02	5.942463e+02	5.078757e+00	7.859560e-01	1.242228e+00
ctx_lh_superiorparietal	6.807404e-02	1.543651e+00	7.694433e-01	2.632708e+06	-3.152038e+02	6.384077e+02	5.078757e+00	1.497695e+00	2.465972e+00
ctx_lh_superiortemporal	6.807404e-02	1.287857e+00	1.092397e+00	1.688770e+06	-3.071541e+02	6.223082e+02	5.078757e+00	1.149520e+00	1.795377e+00
ctx_lh_supramarginal	6.807404e-02	1.604724e+00	8.342169e-01	1.466947e+06	-3.046408e+02	6.172817e+02	5.078757e+00	1.077553e+00	1.694824e+00
ctx_lh_frontalpole	6.807404e-02	1.726062e+00	1.362835e+00	5.520311e+06	-3.284127e+02	6.648254e+02	5.078757e+00	1.722458e+00	2.271196e+00
ctx_lh_temporalpole	6.807404e-02	9.940243e-01	1.569632e+00	2.671084e+06	-3.154241e+02	6.388482e+02	5.078757e+00	1.479324e+00	2.591524e+00
ctx_lh_transversetemporal	6.807404e-02	2.001676e+00	1.556324e+00	7.751417e+06	-3.345061e+02	6.770122e+02	5.078757e+00	1.841560e+00	2.244200e+00
ctx_lh_insula	6.807404e-02	1.218321e+00	1.737864e+00	1.371139e+06	-3.033235e+02	6.146471e+02	5.078757e+00	9.216873e-01	1.411634e+00
ctx_rh_bankssts	6.807404e-02	1.436344e+00	8.775963e-01	5.491405e+06	-3.282983e+02	6.645965e+02	5.078757e+00	2.127154e+00	3.404024e+00
ctx_rh_caudalanteriorcingulate	6.807404e-02	1.532996e+00	1.283618e+00	4.073497e+06	-3.229223e+02	6.538446e+02	5.078757e+00	1.579915e+00	2.208683e+00
ctx_rh_caudalmiddlefrontal	6.807404e-02	1.678169e+00	5.627460e-01	1.892809e+06	-3.092118e+02	6.264236e+02	5.078757e+00	1.356953e+00	2.535146e+00
ctx_rh_cuneus	6.807404e-02	1.979258e+00	1.382851e+00	6.110593e+06	-3.302249e+02	6.684498e+02	5.078757e+00	1.720486e+00	2.156377e+00
ctx_rh_entorhinal	6.807404e-02	1.036835e+00	1.526242e+00	4.393942e+06	-3.242850e+02	6.565701e+02	5.078757e+00	1.867276e+00	3.171200e+00
ctx_rh_fusiform	6.807404e-02	1.126432e+00	7.975289e-01	1.323221e+06	-3.027195e+02	6.134390e+02	5.078757e+00	1.175707e+00	2.143600e+00
ctx_rh_inferiorparietal	6.807404e-02	1.527110e+00	6.630194e-01	1.407877e+06	-3.039107e+02	6.158214e+02	5.078757e+00	1.147654e+00	2.028505e+00
ctx_rh_inferiortemporal	6.807404e-02	1.234507e+00	6.986019e-01	1.029167e+06	-2.982779e+02	6.045559e+02	5.078757e+00	1.036455e+00	1.920218e+00
ctx_rh_isthmuscingulate	6.807404e-02	1.371764e+00	7.509677e-01	5.596609e+06	-3.286993e+02	6.653986e+02	5.078757e+00	2.284133e+00	3.950561e+00
ctx_rh_lateraloccipital	6.807404e-02	1.651927e+00	8.695558e-01	3.515732e+06	-3.203017e+02	6.486034e+02	5.078757e+00	1.631729e+00	2.501804e+00
ctx_rh_lateralorbitofrontal	6.807404e-02	1.530945e+00	9.948812e-01	1.482196e+06	-3.047367e+02	6.174734e+02	5.078757e+00	1.039005e+00	1.556552e+00
ctx_rh_lingual	6.807404e-02	1.846372e+00	1.236888e+00	3.979745e+06	-3.225138e+02	6.530276e+02	5.078757e+00	1.482053e+00	1.953556e+00
ctx_rh_medialorbitofrontal	6.807404e-02	1.487726e+00	1.135258e+00	2.190199e+06	-3.117548e+02	6.315097e+02	5.078757e+00	1.221583e+00	1.779014e+00
ctx_rh_middletemporal	6.807404e-02	1.381761e+00	7.738355e-01	1.503900e+06	-3.051583e+02	6.183166e+02	5.078757e+00	1.171037e+00	1.995145e+00
ctx_rh_parahippocampal	6.807404e-02	8.758477e-01	1.176180e+00	2.803336e+06	-3.161981e+02	6.403961e+02	5.078757e+00	1.750194e+00	3.368257e+00
ctx_rh_paracentral	6.807404e-02	1.617129e+00	1.091288e+00	3.076930e+06	-3.179016e+02	6.438032e+02	5.078757e+00	1.424304e+00	2.033878e+00
ctx_rh_parsopercularis	6.807404e-02	1.956551e+00	8.855172e-01	3.090953e+06	-3.179750e+02	6.439501e+02	5.078757e+00	1.450032e+00	2.097993e+00
ctx_rh_parsorbitalis	6.807404e-02	1.733351e+00	9.888346e-01	3.357711e+06	-3.195098e+02	6.470195e+02	5.078757e+00	1.505259e+00	2.168329e+00
ctx_rh_parstriangularis	6.807404e-02	1.822992e+00	1.036061e+00	2.207494e+06	-3.120017e+02	6.320035e+02	5.078757e+00	1.182545e+00	1.650432e+00
ctx_rh_pericalcarine	6.807404e-02	3.137632e+00	2.095194e+00	8.546819e+06	-3.362615e+02	6.805230e+02	5.078757e+00	1.477971e+00	1.493794e+00
ctx_rh_postcentral	6.807404e-02	1.650687e+00	1.123382e+00	3.901802e+06	-3.222629e+02	6.525259e+02	5.078757e+00	1.576805e+00	2.216790e+00
ctx_rh_posteriorcingulate	6.807404e-02	1.579445e+00	1.118621e+00	3.735895e+06	-3.214134e+02	6.508268e+02	5.078757e+00	1.568934e+00	2.243182e+00
ctx_rh_precentral	6.807404e-02	1.825857e+00	7.492045e-01	3.478199e+06	-3.201693e+02	6.483386e+02	5.078757e+00	1.655486e+00	2.621871e+00
ctx_rh_precuneus	6.807404e-02	1.602176e+00	8.001854e-01	2.490530e+06	-3.141544e+02	6.363088e+02	5.078757e+00	1.423194e+00	2.278106e+00
ctx_rh_rostralanteriorcingulate	6.807404e-02	1.506889e+00	1.261044e+00	4.706032e+06	-3.255392e+02	6.590784e+02	5.078757e+00	1.719927e+00	2.430423e+00
ctx_rh_rostralmiddlefrontal	6.807404e-02	1.715463e+00	9.865811e-01	1.501136e+06	-3.050918e+02	6.181837e+02	5.078757e+00	1.010467e+00	1.461523e+00
ctx_rh_superiorfrontal	6.807404e-02	1.636732e+00	7.649180e-01	1.545979e+06	-3.056396e+02	6.192792e+02	5.078757e+00	1.129960e+00	1.831730e+00
ctx_rh_superiorparietal	6.807404e-02	1.495112e+00	7.127160e-01	1.873497e+06	-3.090488e+02	6.260977e+02	5.078757e+00	1.305015e+00	2.244927e+00
ctx_rh_superiortemporal	6.807404e-02	1.276678e+00	1.092446e+00	1.053400e+06	-2.986291e+02	6.052583e+02	5.078757e+00	9.111695e-01	1.428693e+00
ctx_rh_supramarginal	6.807404e-02	1.516354e+00	6.737418e-01	9.457413e+05	-2.967475e+02	6.014950e+02	5.078757e+00	9.382972e-01	1.649406e+00
ctx_rh_frontalpole	6.807404e-02	1.598317e+00	1.128587e+00	3.775660e+06	-3.215577e+02	6.511154e+02	5.078757e+00	1.565925e+00	2.223771e+00
ctx_rh_temporalpole	6.807404e-02	8.603481e-01	1.532345e+00	1.589713e+06	-3.060319e+02	6.200639e+02	5.078757e+00	1.249667e+00	2.440698e+00
ctx_rh_transversetemporal	6.807404e-02	2.762182e+00	1.896471e+00	1.477775e+07	-3.461231e+02	7.002461e+02	5.078757e+00	2.111857e+00	2.247051e+00
ctx_rh_insula	6.807404e-02	1.228054e+00	1.514196e+00	8.066267e+05	-2.937765e+02	5.955529e+02	5.078757e+00	7.342804e-01	1.119526e+00
