SRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	6.807404e-02	1.236757e+00	2.240293e+00	9.595896e+05	-2.969398e+02	6.018796e+02	5.078757e+00	7.085379e-01	1.107452e+00
left_cerebral_white_matter	6.807404e-02	2.463250e-01	2.046985e-01	1.945472e+05	-2.684681e+02	5.449362e+02	5.078757e+00	1.294462e+00	1.427487e+01
left_cerebellum_white_matter	6.807404e-02	6.826229e-01	8.457926e-02	3.737218e+05	-2.799330e+02	5.678660e+02	5.078757e+00	1.033712e+00	1.070250e+01
left_cerebellum_cortex	6.807404e-02	1.025092e+00	8.690426e-03	2.644651e+04	-2.322537e+02	4.725074e+02	5.078757e+00	2.521079e-01	2.000524e+01
left_thalamus	6.807404e-02	9.828275e-01	2.003083e+00	1.399690e+06	-3.036977e+02	6.153953e+02	5.078757e+00	1.011666e+00	1.847690e+00
left_caudate	6.807404e-02	1.343734e+00	2.133083e+00	5.671833e+06	-3.290547e+02	6.661094e+02	5.078757e+00	1.670333e+00	2.443256e+00
left_putamen	6.807404e-02	1.433896e+00	2.651001e+00	2.536675e+06	-3.143964e+02	6.367929e+02	5.078757e+00	1.005998e+00	1.466423e+00
left_pallidum	6.807404e-02	6.325209e-01	1.783501e+00	4.866216e+06	-3.261276e+02	6.602551e+02	5.078757e+00	2.595374e+00	6.847956e+00
brain_stem	6.807404e-02	6.623035e-01	2.345510e+00	6.803956e+05	-2.907171e+02	5.894343e+02	5.078757e+00	8.928352e-01	2.463820e+00
left_hippocampus	6.807404e-02	9.309627e-01	4.599066e-01	1.088634e+06	-2.991702e+02	6.063404e+02	5.078757e+00	1.303758e+00	3.322581e+00
left_amygdala	6.807404e-02	8.458021e-01	3.659020e+00	4.172599e+06	-3.233792e+02	6.547584e+02	5.078757e+00	1.694774e+00	4.552912e+00
csf	6.807404e-02	1.053805e-01	-9.222743e-01	4.767364e+05	-2.843163e+02	5.766325e+02	5.078757e+00	1.293434e+01	-6.851214e-01
left_accumbens_area	6.807404e-02	1.490292e+00	4.828864e+00	3.201109e+07	-3.600334e+02	7.280667e+02	5.078757e+00	2.927393e+00	5.344633e+00
left_ventraldc	6.807404e-02	7.531365e-01	2.179845e+00	1.289157e+06	-3.022165e+02	6.124331e+02	5.078757e+00	1.135552e+00	2.691803e+00
left_choroid_plexus	6.807404e-02	1.308323e+00	-4.985849e-02	2.548408e+07	-3.559294e+02	7.198588e+02	5.078757e+00	7.707183e+00	-9.188403e+01
right_cerebral_white_matter	6.807404e-02	2.490373e-01	1.420301e-01	1.810323e+05	-2.672316e+02	5.424632e+02	5.078757e+00	1.256739e+00	1.777807e+01
right_cerebellum_white_matter	6.807404e-02	6.947978e-01	9.852112e-02	3.820912e+05	-2.803267e+02	5.686533e+02	5.078757e+00	1.029903e+00	9.251945e+00
right_cerebellum_cortex	6.807404e-02	9.749826e-01	-8.536650e-03	2.630620e+04	-2.321580e+02	4.723160e+02	5.078757e+00	2.580934e-01	-2.069265e+01
right_thalamus	6.807404e-02	1.064270e+00	2.346302e+00	3.399217e+06	-3.196659e+02	6.473318e+02	5.078757e+00	1.440218e+00	2.562202e+00
right_caudate	6.807404e-02	1.306932e+00	2.039806e+00	4.094322e+06	-3.232104e+02	6.544209e+02	5.078757e+00	1.460796e+00	2.164413e+00
right_putamen	6.807404e-02	1.290201e+00	2.413729e+00	1.805038e+06	-3.082750e+02	6.245499e+02	5.078757e+00	9.276072e-01	1.428047e+00
right_pallidum	6.807404e-02	5.580454e-01	1.851507e+00	2.231719e+06	-3.120975e+02	6.321950e+02	5.078757e+00	1.913489e+00	5.767092e+00
right_hippocampus	6.807404e-02	9.055340e-01	5.412173e-01	1.218433e+06	-3.012006e+02	6.104013e+02	5.078757e+00	1.351906e+00	3.207059e+00
right_amygdala	6.807404e-02	7.783634e-01	4.282499e+00	4.324374e+06	-3.240908e+02	6.561817e+02	5.078757e+00	1.791756e+00	5.769262e+00
right_accumbens_area	6.807404e-02	1.014450e+00	5.596738e+00	2.656983e+07	-3.566786e+02	7.213571e+02	5.078757e+00	3.437203e+00	1.012078e+01
right_ventraldc	6.807404e-02	7.981754e-01	2.457092e+00	2.224434e+06	-3.120361e+02	6.320722e+02	5.078757e+00	1.396961e+00	3.272610e+00
right_choroid_plexus	6.807404e-02	1.588834e+00	-2.189744e-01	2.528060e+07	-3.557828e+02	7.195656e+02	5.078757e+00	8.260697e+00	-1.646798e+01
