MRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	6.776418e-02	1.238090e+00	2.243427e+00	9.951895e+05	-2.976145e+02	6.032290e+02	4.672814e+00	5.764628e-01	8.469124e-01
left_cerebral_white_matter	6.776418e-02	2.465384e-01	2.056235e-01	2.013630e+05	-2.691678e+02	5.463355e+02	4.672814e+00	1.162701e+00	1.322252e+01
left_cerebellum_white_matter	6.776418e-02	6.789723e-01	8.722855e-02	4.637164e+05	-2.838254e+02	5.756507e+02	4.672814e+00	8.360929e-01	6.526024e+00
left_cerebellum_cortex	6.776418e-02	1.026295e+00	8.215062e-03	3.079256e+04	-2.349922e+02	4.779844e+02	4.672814e+00	1.732636e-01	8.423111e+00
left_thalamus	6.776418e-02	9.822469e-01	2.004908e+00	1.491778e+06	-3.048432e+02	6.176863e+02	4.672814e+00	8.604889e-01	1.540772e+00
left_caudate	6.776418e-02	1.350220e+00	2.136780e+00	6.512666e+06	-3.316018e+02	6.712035e+02	4.672814e+00	1.384484e+00	1.817060e+00
left_putamen	6.776418e-02	1.434515e+00	2.652673e+00	2.570172e+06	-3.146324e+02	6.372648e+02	4.672814e+00	8.067763e-01	1.098718e+00
left_pallidum	6.776418e-02	6.317732e-01	1.796931e+00	4.928921e+06	-3.263574e+02	6.607147e+02	4.672814e+00	2.266534e+00	6.159876e+00
brain_stem	6.776418e-02	6.633422e-01	2.348935e+00	6.831967e+05	-2.907943e+02	5.895885e+02	4.672814e+00	7.909657e-01	2.256058e+00
left_hippocampus	6.776418e-02	9.295844e-01	4.618275e-01	1.139565e+06	-2.999929e+02	6.079858e+02	4.672814e+00	9.583446e-01	1.860984e+00
left_amygdala	6.776418e-02	8.481258e-01	3.671507e+00	4.321549e+06	-3.240218e+02	6.560437e+02	4.672814e+00	1.522659e+00	4.213245e+00
csf	6.776418e-02	6.556957e-02	-9.060808e-01	7.714416e+05	-2.931499e+02	5.942998e+02	4.672814e+00	1.285775e+01	-7.865461e-01
left_accumbens_area	6.776418e-02	1.493583e+00	4.837983e+00	3.298675e+07	-3.605731e+02	7.291463e+02	4.672814e+00	2.489620e+00	4.575642e+00
left_ventraldc	6.776418e-02	7.533580e-01	2.184021e+00	1.313605e+06	-3.025539e+02	6.131078e+02	4.672814e+00	9.892512e-01	2.402092e+00
left_choroid_plexus	6.776418e-02	1.163384e+00	-2.480552e-02	4.170618e+07	-3.647928e+02	7.375856e+02	4.672814e+00	6.366310e+00	-8.811561e+01
right_cerebral_white_matter	6.776418e-02	2.491791e-01	1.434128e-01	1.891832e+05	-2.681236e+02	5.442473e+02	4.672814e+00	1.124827e+00	1.627904e+01
right_cerebellum_white_matter	6.776418e-02	6.915412e-01	1.010465e-01	4.640987e+05	-2.838324e+02	5.756648e+02	4.672814e+00	8.231622e-01	5.584531e+00
right_cerebellum_cortex	6.776418e-02	9.738512e-01	-8.069462e-03	3.020379e+04	-2.346447e+02	4.772894e+02	4.672814e+00	1.780898e-01	-8.965361e+00
right_thalamus	6.776418e-02	1.061425e+00	2.353753e+00	3.804723e+06	-3.216934e+02	6.513868e+02	4.672814e+00	1.270532e+00	2.241560e+00
right_caudate	6.776418e-02	1.311373e+00	2.044975e+00	4.555954e+06	-3.252152e+02	6.584304e+02	4.672814e+00	1.195666e+00	1.593763e+00
right_putamen	6.776418e-02	1.292060e+00	2.418234e+00	1.821337e+06	-3.084362e+02	6.248724e+02	4.672814e+00	7.452073e-01	1.080207e+00
right_pallidum	6.776418e-02	5.592609e-01	1.849778e+00	2.237306e+06	-3.121424e+02	6.322847e+02	4.672814e+00	1.689694e+00	5.255823e+00
right_hippocampus	6.776418e-02	9.048385e-01	5.415900e-01	1.272787e+06	-3.019901e+02	6.119803e+02	4.672814e+00	1.013818e+00	1.915258e+00
right_amygdala	6.776418e-02	7.800497e-01	4.306665e+00	4.579349e+06	-3.251428e+02	6.582856e+02	4.672814e+00	1.653008e+00	5.504553e+00
right_accumbens_area	6.776418e-02	1.015344e+00	5.622989e+00	2.677330e+07	-3.568170e+02	7.216339e+02	4.672814e+00	3.078255e+00	9.417872e+00
right_ventraldc	6.776418e-02	7.980627e-01	2.460241e+00	2.302878e+06	-3.126589e+02	6.333177e+02	4.672814e+00	1.235063e+00	2.976956e+00
right_choroid_plexus	6.776418e-02	1.669940e+00	-2.558446e-01	3.019564e+07	-3.589794e+02	7.259589e+02	4.672814e+00	5.161070e+00	-3.052865e+00
aircavity	6.776418e-02	1.834125e-01	-6.872637e-01	2.562063e+05	-2.734978e+02	5.549957e+02	4.672814e+00	2.275522e+00	-6.935999e-01
skull	6.776418e-02	1.335665e-01	-8.016247e-01	5.889218e+05	-2.882714e+02	5.845427e+02	4.672814e+00	5.110558e+00	-7.549565e-01
vermis	6.776418e-02	7.136009e-01	-2.404861e-01	3.611593e+06	-3.207970e+02	6.495941e+02	4.672814e+00	2.605507e+00	-3.497600e+00
pons	6.776418e-02	7.150582e-01	8.572035e-01	3.735627e+05	-2.799181e+02	5.678363e+02	4.672814e+00	6.117491e-01	1.336293e+00
csf_extracerebral	6.776418e-02	1.085898e-01	-7.523029e-01	8.695278e+05	-2.957849e+02	5.995698e+02	4.672814e+00	6.691597e+00	-2.004336e+00
