Logan Ref	Kappa2	BPnd	k2ref	MSE	LogLikelihood	AIC	%Cov Kappa2	%Cov BPnd	%Cov k2ref
highbinding	5.618383e-02	2.000598e+00	1.000000e+06	2.663388e-01	-2.512197e+00	1.302439e+01	4.503457e+00	1.556575e+00	NaN
left_cerebral_white_matter	2.798161e-02	-1.508998e-03	1.000000e+06	1.287871e+00	-7.240126e+00	2.248025e+01	7.471089e+00	-2.084561e+03	NaN
left_cerebellum_white_matter	1.078458e-01	8.173256e-02	1.000000e+06	1.338176e-01	-4.473223e-01	8.894645e+00	5.188516e+00	7.991193e+00	NaN
left_cerebellum_cortex	-2.387614e+00	7.190371e-03	1.000000e+06	1.711579e-03	1.262986e+01	-1.725972e+01	-1.035230e+01	6.748143e+00	NaN
left_thalamus	4.444790e-02	1.748854e+00	1.000000e+06	1.205179e-01	-1.332831e-01	8.266566e+00	2.638347e+00	1.192703e+00	NaN
left_caudate	7.875238e-02	1.859492e+00	1.000000e+06	1.134082e-01	4.913071e-02	7.901739e+00	3.501802e+00	8.863125e-01	NaN
left_putamen	5.824417e-02	2.391245e+00	1.000000e+06	1.036859e+00	-6.589743e+00	2.117949e+01	9.405273e+00	2.980948e+00	NaN
left_pallidum	2.823257e-02	1.442088e+00	1.000000e+06	2.856473e+00	-9.629917e+00	2.725983e+01	1.071942e+01	7.469384e+00	NaN
brain_stem	2.768157e-02	1.729648e+00	1.000000e+06	1.526898e+00	-7.750870e+00	2.350174e+01	8.163642e+00	5.471706e+00	NaN
left_hippocampus	1.230666e-01	4.409901e-01	1.000000e+06	1.637171e-01	-1.052309e+00	1.010462e+01	6.275615e+00	2.058108e+00	NaN
left_amygdala	3.085920e-02	2.451272e+00	1.000000e+06	1.447545e+00	-7.590761e+00	2.318152e+01	7.928477e+00	4.441797e+00	NaN
csf	3.475975e-02	-8.770052e-01	1.000000e+06	1.509838e+01	-1.462492e+01	3.724983e+01	3.756598e+01	-1.799682e+00	NaN
left_accumbens_area	4.859017e-02	3.579870e+00	1.000000e+06	2.411513e+00	-9.121917e+00	2.624383e+01	1.158609e+01	4.059412e+00	NaN
left_ventraldc	3.351254e-02	1.684195e+00	1.000000e+06	2.239515e+00	-8.899932e+00	2.579986e+01	1.025580e+01	6.034908e+00	NaN
left_choroid_plexus	-1.483911e+01	-1.161137e-02	1.000000e+06	6.418696e+00	-1.205880e+01	3.211760e+01	-5.795936e+03	-4.320647e+02	NaN
right_cerebral_white_matter	2.897015e-02	-2.952693e-02	1.000000e+06	6.847066e-01	-5.344860e+00	1.868972e+01	5.463200e+00	-7.352056e+01	NaN
right_cerebellum_white_matter	1.137919e-01	9.091867e-02	1.000000e+06	2.388788e-01	-2.185757e+00	1.237151e+01	7.260454e+00	9.632575e+00	NaN
right_cerebellum_cortex	2.303777e+00	-7.025382e-03	1.000000e+06	1.738136e-03	1.258367e+01	-1.716734e+01	1.044683e+01	-7.267895e+00	NaN
right_thalamus	3.824456e-02	2.159251e+00	1.000000e+06	1.618919e-01	-1.018674e+00	1.003735e+01	2.942802e+00	1.400102e+00	NaN
right_caudate	7.335512e-02	1.809042e+00	1.000000e+06	3.787850e-01	-3.568794e+00	1.513759e+01	6.286594e+00	1.723001e+00	NaN
right_putamen	5.572623e-02	2.155117e+00	1.000000e+06	1.322443e-01	-4.118412e-01	8.823682e+00	3.098907e+00	1.051548e+00	NaN
right_pallidum	3.069264e-02	1.208856e+00	1.000000e+06	5.045085e+00	-1.133640e+01	3.067280e+01	1.586091e+01	1.152329e+01	NaN
right_hippocampus	1.076652e-01	5.040831e-01	1.000000e+06	3.075086e-01	-2.943398e+00	1.388680e+01	7.891465e+00	2.774647e+00	NaN
right_amygdala	2.825977e-02	2.515836e+00	1.000000e+06	1.661780e+00	-8.004822e+00	2.400964e+01	8.234560e+00	4.908714e+00	NaN
right_accumbens_area	2.580274e-02	3.685147e+00	1.000000e+06	3.083833e+00	-9.859674e+00	2.771935e+01	1.065895e+01	6.073178e+00	NaN
right_ventraldc	3.123061e-02	1.950171e+00	1.000000e+06	1.477688e+00	-7.652591e+00	2.330518e+01	8.187811e+00	4.816954e+00	NaN
right_choroid_plexus	-1.192954e-01	-2.379363e-01	1.000000e+06	1.681697e+01	-1.494832e+01	3.789664e+01	-5.923643e+01	-1.504614e+01	NaN
aircavity	7.752575e-02	-6.803314e-01	1.000000e+06	2.800902e-01	-2.663223e+00	1.332645e+01	6.054473e+00	-4.670064e-01	NaN
skull	5.501342e-02	-7.739716e-01	1.000000e+06	9.692418e-01	-6.387431e+00	2.077486e+01	1.030467e+01	-6.803313e-01	NaN
vermis	9.631747e-01	-2.386946e-01	1.000000e+06	1.700640e-01	-1.166412e+00	1.033282e+01	3.796478e+01	-1.361444e+00	NaN
pons	5.779552e-02	7.146271e-01	1.000000e+06	1.115624e-01	9.835853e-02	7.803283e+00	2.866159e+00	1.544146e+00	NaN
csf_extracerebral	3.623978e-02	-7.247805e-01	1.000000e+06	1.040504e+00	-6.600269e+00	2.120054e+01	7.776937e+00	-9.894852e-01	NaN
head_extracerebral	3.167192e-02	-5.148302e-01	1.000000e+06	1.223224e+00	-7.085624e+00	2.217125e+01	8.087894e+00	-2.859528e+00	NaN
ctx_lh_bankssts	3.405168e-01	9.867027e-01	1.000000e+06	2.635328e-02	4.427334e+00	-8.546675e-01	6.154180e+00	4.284646e-01	NaN
ctx_lh_caudalanteriorcingulate	8.885071e-02	1.703552e+00	1.000000e+06	8.726153e-01	-6.072373e+00	2.014475e+01	1.164411e+01	2.669133e+00	NaN
ctx_lh_caudalmiddlefrontal	-4.801696e-01	6.237291e-01	1.000000e+06	4.604459e-02	2.753281e+00	2.493438e+00	-1.026477e+01	5.954408e-01	NaN
ctx_lh_cuneus	1.536912e+00	1.417525e+00	1.000000e+06	1.476428e-02	6.165479e+00	-4.330958e+00	1.917939e+01	2.394557e-01	NaN
