Logan Ref	Kappa2	BPnd	k2ref	MSE	LogLikelihood	AIC	%Cov Kappa2	%Cov BPnd	%Cov k2ref
highbinding	3.906419e-02	2.675954e+00	1.000000e+06	-1.716561e-27	5.412481e+01	-1.002496e+02	NaN	NaN	NaN
left_cerebral_white_matter	1.780537e-02	5.912541e-01	1.000000e+06	-1.072851e-27	5.977089e+01	-1.115418e+02	NaN	NaN	NaN
left_cerebellum_white_matter	2.562905e-02	5.394772e-01	1.000000e+06	-2.019484e-27	5.873852e+01	-1.094770e+02	NaN	NaN	NaN
left_cerebellum_cortex	-2.750203e+00	8.555046e-03	1.000000e+06	-0.000000e+00	NaN	NaN	NaN	NaN	NaN
left_thalamus	2.631472e-02	2.749253e+00	1.000000e+06	-1.009742e-27	5.762481e+01	-1.072496e+02	NaN	NaN	NaN
left_caudate	4.343784e-02	2.643680e+00	1.000000e+06	-2.524355e-28	5.901111e+01	-1.100222e+02	NaN	NaN	NaN
left_putamen	4.426797e-02	2.986421e+00	1.000000e+06	-5.048710e-29	6.301111e+01	-1.180222e+02	NaN	NaN	NaN
left_pallidum	1.588171e-02	2.685711e+00	1.000000e+06	-5.048710e-28	6.061352e+01	-1.132270e+02	NaN	NaN	NaN
brain_stem	1.893592e-02	2.786031e+00	1.000000e+06	-5.048710e-27	3.762481e+01	-6.724962e+01	NaN	NaN	NaN
left_hippocampus	2.646925e-02	1.133377e+00	1.000000e+06	-2.524355e-28	5.901111e+01	-1.100222e+02	NaN	NaN	NaN
left_amygdala	4.462661e-02	2.019228e+00	1.000000e+06	-1.009742e-28	NaN	NaN	NaN	NaN	NaN
csf	-4.745637e-02	-9.159267e-01	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
left_accumbens_area	3.230446e-02	4.478193e+00	1.000000e+06	-6.563323e-28	5.101111e+01	-9.402221e+01	NaN	NaN	NaN
left_ventraldc	3.378159e-02	2.125664e+00	1.000000e+06	-2.524355e-28	5.901111e+01	-1.100222e+02	NaN	NaN	NaN
left_choroid_plexus	6.820354e-02	5.660663e-01	1.000000e+06	-1.460491e-24	-5.453407e+01	1.170681e+02	NaN	NaN	NaN
right_cerebral_white_matter	2.419201e-02	3.106171e-01	1.000000e+06	-7.699282e-28	4.397399e+00	-7.947989e-01	NaN	NaN	NaN
right_cerebellum_white_matter	7.606967e-02	1.159401e-01	1.000000e+06	-1.009742e-28	NaN	NaN	NaN	NaN	NaN
right_cerebellum_cortex	2.854496e+00	-8.749564e-03	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
right_thalamus	2.738077e-02	2.962694e+00	1.000000e+06	-8.582807e-28	5.992499e+01	-1.118500e+02	NaN	NaN	NaN
right_caudate	6.132289e-02	2.144530e+00	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
right_putamen	4.115512e-02	2.929477e+00	1.000000e+06	-5.048710e-28	6.012481e+01	-1.122496e+02	NaN	NaN	NaN
right_pallidum	3.884053e-02	1.123447e+00	1.000000e+06	-5.048710e-29	6.301111e+01	-1.180222e+02	NaN	NaN	NaN
right_hippocampus	6.612432e-02	7.209385e-01	1.000000e+06	-1.009742e-27	5.762481e+01	-1.072496e+02	NaN	NaN	NaN
right_amygdala	-1.687698e-03	-3.017156e+01	1.000000e+06	-6.563323e-26	5.583382e+01	-1.036676e+02	NaN	NaN	NaN
right_accumbens_area	3.282134e-02	3.831182e+00	1.000000e+06	-6.563323e-28	5.101111e+01	-9.402221e+01	NaN	NaN	NaN
right_ventraldc	3.372351e-02	2.280593e+00	1.000000e+06	-3.155444e-28	4.039740e+01	-7.279480e+01	NaN	NaN	NaN
