MRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	1.035791e-01	1.285867e+00	2.248921e+00	9.269939e+05	-2.631559e+02	5.343119e+02	7.588045e+00	6.941948e-01	1.024296e+00
left_cerebral_white_matter	1.035791e-01	5.017768e-01	2.092095e-01	6.844039e+05	-2.582600e+02	5.245200e+02	7.588045e+00	1.587148e+00	8.982481e+00
left_cerebellum_white_matter	1.035791e-01	6.025403e-01	3.987473e-02	4.593352e+05	-2.518879e+02	5.117757e+02	7.588045e+00	1.184782e+00	2.148061e+01
left_cerebellum_cortex	1.035791e-01	8.700460e-01	-5.195659e-02	6.439268e+04	-2.204489e+02	4.488978e+02	7.588045e+00	3.647505e-01	-2.931324e+00
left_thalamus	1.035791e-01	7.849769e-01	1.661979e+00	1.433417e+06	-2.700796e+02	5.481591e+02	7.588045e+00	1.351890e+00	3.022461e+00
left_caudate	1.035791e-01	9.084945e-01	1.362696e+00	1.114474e+06	-2.661283e+02	5.402567e+02	7.588045e+00	1.068551e+00	1.949105e+00
left_putamen	1.035791e-01	1.101861e+00	1.822457e+00	1.078121e+06	-2.655257e+02	5.390514e+02	7.588045e+00	8.729963e-01	1.401526e+00
left_pallidum	1.035791e-01	5.967545e-01	1.457565e+00	2.196438e+06	-2.769130e+02	5.618260e+02	7.588045e+00	2.154603e+00	6.211106e+00
brain_stem	1.035791e-01	4.838246e-01	1.505777e+00	1.736976e+06	-2.731878e+02	5.543757e+02	7.588045e+00	2.296343e+00	8.329399e+00
left_hippocampus	1.035791e-01	6.758863e-01	5.014971e-01	4.770335e+05	-2.524830e+02	5.129659e+02	7.588045e+00	9.870223e-01	2.647122e+00
left_amygdala	1.035791e-01	5.008524e-01	2.502929e+00	1.101465e+06	-2.658660e+02	5.397320e+02	7.588045e+00	1.678509e+00	6.979878e+00
csf	1.035791e-01	3.205324e-01	-9.832995e-02	1.077046e+06	-2.655470e+02	5.390941e+02	7.588045e+00	3.075805e+00	-3.259651e+01
left_accumbens_area	1.035791e-01	8.827334e-01	1.957169e+00	5.194539e+06	-2.906814e+02	5.893628e+02	7.588045e+00	2.266966e+00	4.693105e+00
left_ventraldc	1.035791e-01	5.664633e-01	2.186614e+00	2.195199e+06	-2.768994e+02	5.617987e+02	7.588045e+00	2.167344e+00	7.494543e+00
left_choroid_plexus	1.035791e-01	5.849557e-01	-1.889853e-01	5.608350e+06	-2.919116e+02	5.918233e+02	7.588045e+00	4.757967e+00	-1.156474e+01
right_cerebral_white_matter	1.035791e-01	4.971951e-01	1.940979e-01	7.023191e+05	-2.586855e+02	5.253709e+02	7.588045e+00	1.625116e+00	9.757857e+00
right_cerebellum_white_matter	1.035791e-01	6.110318e-01	4.993537e-02	4.336105e+05	-2.509632e+02	5.099265e+02	7.588045e+00	1.134641e+00	1.648978e+01
right_cerebellum_cortex	1.035791e-01	8.382057e-01	-7.391947e-02	4.719820e+04	-2.155047e+02	4.390093e+02	7.588045e+00	3.218351e-01	-1.799582e+00
right_thalamus	1.035791e-01	8.290366e-01	1.855861e+00	1.376553e+06	-2.694329e+02	5.468658e+02	7.588045e+00	1.249217e+00	2.725472e+00
right_caudate	1.035791e-01	9.472490e-01	1.210868e+00	1.007688e+06	-2.646307e+02	5.372614e+02	7.588045e+00	9.941883e-01	1.702494e+00
right_putamen	1.035791e-01	1.079090e+00	1.733049e+00	6.720919e+05	-2.579631e+02	5.239262e+02	7.588045e+00	7.071514e-01	1.143585e+00
right_pallidum	1.035791e-01	6.330090e-01	1.206121e+00	1.518501e+06	-2.710019e+02	5.500038e+02	7.588045e+00	1.723760e+00	4.536349e+00
right_hippocampus	1.035791e-01	6.810975e-01	5.172027e-01	5.236723e+05	-2.539744e+02	5.159488e+02	7.588045e+00	1.025502e+00	2.705557e+00
right_amygdala	1.035791e-01	5.009664e-01	2.422528e+00	2.007041e+06	-2.754670e+02	5.589340e+02	7.588045e+00	2.263282e+00	9.223415e+00
right_accumbens_area	1.035791e-01	8.184681e-01	1.775595e+00	3.458951e+06	-2.841793e+02	5.763586e+02	7.588045e+00	2.005239e+00	4.376341e+00
right_ventraldc	1.035791e-01	5.571723e-01	2.475971e+00	2.273557e+06	-2.774675e+02	5.629350e+02	7.588045e+00	2.224101e+00	8.253121e+00
right_choroid_plexus	1.035791e-01	4.514263e-01	3.167761e-02	7.742164e+06	-2.970682e+02	6.021364e+02	7.588045e+00	6.385837e+00	1.957497e+02
aircavity	1.035791e-01	1.327528e-01	-7.028879e-01	2.838787e+05	-2.445147e+02	4.970293e+02	7.588045e+00	4.102993e+00	-1.584021e+00
skull	1.035791e-01	1.396935e-01	-6.326536e-01	3.605005e+05	-2.482881e+02	5.045762e+02	7.588045e+00	4.225695e+00	-2.650657e+00
vermis	1.035791e-01	8.045519e-01	-1.130933e-01	1.105664e+06	-2.659278e+02	5.398555e+02	7.588045e+00	1.640693e+00	-5.751162e+00
pons	1.035791e-01	5.922084e-01	9.952585e-01	5.133525e+05	-2.536511e+02	5.153023e+02	7.588045e+00	1.071057e+00	2.974339e+00
csf_extracerebral	1.035791e-01	5.086809e-01	-2.338349e-01	2.769232e+05	-2.438409e+02	4.956817e+02	7.588045e+00	1.144434e+00	-2.271427e+00
head_extracerebral	1.035791e-01	1.271561e-01	-5.667999e-01	3.910918e+05	-2.497461e+02	5.074921e+02	7.588045e+00	4.590391e+00	-4.959041e+00
ctx_lh_bankssts	1.035791e-01	8.997049e-01	5.227717e-01	6.564896e+05	-2.575853e+02	5.231706e+02	7.588045e+00	9.363383e-01	1.845247e+00
ctx_lh_caudalanteriorcingulate	1.035791e-01	1.093971e+00	7.858213e-01	1.691499e+06	-2.727307e+02	5.534614e+02	7.588045e+00	1.259476e+00	1.873613e+00
ctx_lh_caudalmiddlefrontal	1.035791e-01	1.062656e+00	2.607113e-01	4.902155e+05	-2.530177e+02	5.140355e+02	7.588045e+00	7.873274e-01	1.817852e+00
ctx_lh_cuneus	1.035791e-01	9.197315e-01	5.006433e-01	7.697534e+05	-2.602146e+02	5.284293e+02	7.588045e+00	9.958038e-01	1.943142e+00
ctx_lh_entorhinal	1.035791e-01	5.117043e-01	6.129477e-01	5.394651e+05	-2.544505e+02	5.169011e+02	7.588045e+00	1.265432e+00	4.271691e+00
ctx_lh_fusiform	1.035791e-01	7.084596e-01	3.404862e-01	2.651671e+05	-2.431226e+02	4.942452e+02	7.588045e+00	7.234634e-01	2.152173e+00
ctx_lh_inferiorparietal	1.035791e-01	9.415640e-01	2.718176e-01	2.387205e+05	-2.415139e+02	4.910279e+02	7.588045e+00	5.869226e-01	1.487684e+00
ctx_lh_inferiortemporal	1.035791e-01	8.243930e-01	2.563451e-01	5.358766e+05	-2.544147e+02	5.168294e+02	7.588045e+00	9.534009e-01	2.846573e+00
ctx_lh_isthmuscingulate	1.035791e-01	9.981304e-01	4.626720e-01	6.165925e+05	-2.566146e+02	5.212292e+02	7.588045e+00	8.609963e-01	1.597141e+00
ctx_lh_lateraloccipital	1.035791e-01	8.549783e-01	3.495675e-01	8.420228e+05	-2.616343e+02	5.312686e+02	7.588045e+00	1.136635e+00	2.766553e+00
ctx_lh_lateralorbitofrontal	1.035791e-01	1.036533e+00	4.988313e-01	4.961280e+05	-2.531626e+02	5.143251e+02	7.588045e+00	7.468148e-01	1.299442e+00
ctx_lh_lingual	1.035791e-01	8.667317e-01	4.556706e-01	4.669927e+05	-2.522368e+02	5.124736e+02	7.588045e+00	8.164520e-01	1.748608e+00
ctx_lh_medialorbitofrontal	1.035791e-01	9.102020e-01	5.652561e-01	3.815974e+05	-2.489534e+02	5.059068e+02	7.588045e+00	7.002670e-01	1.332469e+00
ctx_lh_middletemporal	1.035791e-01	8.888593e-01	3.409601e-01	7.450908e+05	-2.597666e+02	5.275331e+02	7.588045e+00	1.043224e+00	2.471220e+00
ctx_lh_parahippocampal	1.035791e-01	6.280104e-01	3.925343e-01	6.133623e+05	-2.565028e+02	5.210056e+02	7.588045e+00	1.199284e+00	3.790363e+00
ctx_lh_paracentral	1.035791e-01	9.232590e-01	4.859736e-01	7.450273e+05	-2.596309e+02	5.272618e+02	7.588045e+00	9.866815e-01	1.942968e+00
ctx_lh_parsopercularis	1.035791e-01	1.120713e+00	4.246123e-01	1.043557e+06	-2.650238e+02	5.380476e+02	7.588045e+00	1.059066e+00	1.815977e+00
ctx_lh_parsorbitalis	1.035791e-01	1.035659e+00	2.546940e-01	1.178138e+06	-2.669987e+02	5.419974e+02	7.588045e+00	1.225275e+00	2.931253e+00
ctx_lh_parstriangularis	1.035791e-01	1.100222e+00	4.693810e-01	1.266884e+06	-2.682555e+02	5.445110e+02	7.588045e+00	1.154837e+00	1.933251e+00
ctx_lh_pericalcarine	1.035791e-01	1.040794e+00	6.704057e-01	7.070555e+05	-2.587726e+02	5.255453e+02	7.588045e+00	8.608416e-01	1.379557e+00
ctx_lh_postcentral	1.035791e-01	8.505692e-01	3.911198e-01	3.534639e+05	-2.477890e+02	5.035780e+02	7.588045e+00	7.317546e-01	1.701081e+00
ctx_lh_posteriorcingulate	1.035791e-01	1.080600e+00	6.962776e-01	1.276343e+06	-2.682264e+02	5.444529e+02	7.588045e+00	1.122707e+00	1.718879e+00
ctx_lh_precentral	1.035791e-01	1.036799e+00	3.736526e-01	4.686470e+05	-2.523091e+02	5.126182e+02	7.588045e+00	7.522516e-01	1.469932e+00
ctx_lh_precuneus	1.035791e-01	1.034259e+00	4.371508e-01	5.544677e+05	-2.550033e+02	5.180065e+02	7.588045e+00	8.035757e-01	1.470844e+00
ctx_lh_rostralanteriorcingulate	1.035791e-01	9.018641e-01	7.895970e-01	9.561041e+05	-2.636072e+02	5.352144e+02	7.588045e+00	1.082097e+00	1.960374e+00
ctx_lh_rostralmiddlefrontal	1.035791e-01	1.097015e+00	3.848397e-01	3.653246e+05	-2.483396e+02	5.046793e+02	7.588045e+00	6.403872e-01	1.168368e+00
ctx_lh_superiorfrontal	1.035791e-01	1.045114e+00	3.027630e-01	2.122144e+05	-2.395229e+02	4.870457e+02	7.588045e+00	5.173906e-01	1.116499e+00
ctx_lh_superiorparietal	1.035791e-01	8.072088e-01	2.483554e-01	2.327470e+05	-2.411750e+02	4.903499e+02	7.588045e+00	6.396243e-01	1.985636e+00
ctx_lh_superiortemporal	1.035791e-01	7.818069e-01	5.233112e-01	3.551843e+05	-2.478356e+02	5.036712e+02	7.588045e+00	7.546606e-01	1.713369e+00
ctx_lh_supramarginal	1.035791e-01	9.727648e-01	3.883381e-01	3.897116e+05	-2.493325e+02	5.066649e+02	7.588045e+00	7.101859e-01	1.451908e+00
ctx_lh_frontalpole	1.035791e-01	8.789011e-01	2.655337e-01	9.790548e+05	-2.640453e+02	5.360907e+02	7.588045e+00	1.229982e+00	3.367553e+00
ctx_lh_temporalpole	1.035791e-01	5.281208e-01	6.261512e-01	4.684561e+05	-2.521852e+02	5.123704e+02	7.588045e+00	1.139715e+00	3.702492e+00
ctx_lh_transversetemporal	1.035791e-01	1.057766e+00	7.979962e-01	3.386107e+06	-2.838329e+02	5.756658e+02	7.588045e+00	1.797149e+00	2.745727e+00
ctx_lh_insula	1.035791e-01	8.517215e-01	9.438121e-01	5.046643e+05	-2.533839e+02	5.147677e+02	7.588045e+00	8.001452e-01	1.518316e+00
ctx_rh_bankssts	1.035791e-01	9.121396e-01	5.410658e-01	8.490779e+05	-2.617236e+02	5.314473e+02	7.588045e+00	1.051033e+00	2.022444e+00
ctx_rh_caudalanteriorcingulate	1.035791e-01	9.972126e-01	7.217530e-01	1.251253e+06	-2.679118e+02	5.438236e+02	7.588045e+00	1.165498e+00	1.925444e+00
ctx_rh_caudalmiddlefrontal	1.035791e-01	1.006131e+00	2.201572e-01	3.752360e+05	-2.486360e+02	5.052720e+02	7.588045e+00	7.248687e-01	1.963568e+00
ctx_rh_cuneus	1.035791e-01	9.205726e-01	5.151516e-01	1.099757e+06	-2.658732e+02	5.397465e+02	7.588045e+00	1.183604e+00	2.283251e+00
