Logan Ref	Kappa2	BPnd	k2ref	MSE	LogLikelihood	AIC	%Cov Kappa2	%Cov BPnd	%Cov k2ref
highbinding	3.906419e-02	2.675954e+00	1.000000e+06	-1.716561e-27	5.412481e+01	-1.002496e+02	NaN	NaN	NaN
left_cerebral_white_matter	3.402741e-02	4.936002e-01	1.000000e+06	-5.048710e-29	6.301111e+01	-1.180222e+02	NaN	NaN	NaN
left_cerebellum_white_matter	2.619646e-02	5.182175e-01	1.000000e+06	-5.048710e-28	6.012481e+01	-1.122496e+02	NaN	NaN	NaN
left_cerebellum_cortex	2.290799e-01	-1.473447e-02	1.000000e+06	-0.000000e+00	NaN	NaN	NaN	NaN	NaN
left_thalamus	1.948547e-02	2.756283e+00	1.000000e+06	-5.048710e-28	6.012481e+01	-1.122496e+02	NaN	NaN	NaN
left_caudate	3.080233e-02	1.897830e+00	1.000000e+06	-4.038968e-28	NaN	NaN	NaN	NaN	NaN
left_putamen	3.180057e-02	2.424082e+00	1.000000e+06	-2.524355e-28	6.125832e+01	-1.145166e+02	NaN	NaN	NaN
left_pallidum	2.427215e-02	1.844653e+00	1.000000e+06	-5.048710e-29	6.301111e+01	-1.180222e+02	NaN	NaN	NaN
brain_stem	1.364809e-02	2.604637e+00	1.000000e+06	-3.281661e-27	5.879275e+01	-1.095855e+02	NaN	NaN	NaN
left_hippocampus	3.737066e-02	8.025195e-01	1.000000e+06	-2.524355e-28	5.901111e+01	-1.100222e+02	NaN	NaN	NaN
left_amygdala	2.868854e-02	1.685078e+00	1.000000e+06	-2.524355e-28	5.901111e+01	-1.100222e+02	NaN	NaN	NaN
csf	4.665123e-03	2.861646e+00	1.000000e+06	-8.279884e-27	2.162481e+01	-3.524962e+01	NaN	NaN	NaN
left_accumbens_area	1.290459e-03	3.469887e+01	1.000000e+06	-1.236934e-26	5.511928e+01	-1.022386e+02	NaN	NaN	NaN
left_ventraldc	3.583536e-02	1.572075e+00	1.000000e+06	-6.563323e-28	5.101111e+01	-9.402221e+01	NaN	NaN	NaN
left_choroid_plexus	-2.042025e-01	-3.257709e-01	1.000000e+06	-8.582807e-28	5.992499e+01	-1.118500e+02	NaN	NaN	NaN
right_cerebral_white_matter	3.527910e-02	4.568384e-01	1.000000e+06	-2.524355e-28	5.901111e+01	-1.100222e+02	NaN	NaN	NaN
right_cerebellum_white_matter	9.209280e-02	9.148315e-02	1.000000e+06	-1.009742e-28	6.212481e+01	-1.162496e+02	NaN	NaN	NaN
right_cerebellum_cortex	2.250476e-01	-3.901098e-02	1.000000e+06	-0.000000e+00	NaN	NaN	NaN	NaN	NaN
right_thalamus	3.109441e-02	2.173734e+00	1.000000e+06	-5.048710e-28	6.012481e+01	-1.122496e+02	NaN	NaN	NaN
right_caudate	4.256331e-02	1.477394e+00	1.000000e+06	-5.048710e-29	6.301111e+01	-1.180222e+02	NaN	NaN	NaN
right_putamen	4.125585e-02	2.047526e+00	1.000000e+06	-5.048710e-29	6.301111e+01	-1.180222e+02	NaN	NaN	NaN
right_pallidum	2.379554e-02	1.786188e+00	1.000000e+06	-1.262177e-27	5.979223e+01	-1.115845e+02	NaN	NaN	NaN
right_hippocampus	3.474118e-02	8.724660e-01	1.000000e+06	-2.524355e-28	5.901111e+01	-1.100222e+02	NaN	NaN	NaN
right_amygdala	-2.305157e-03	-1.564814e+01	1.000000e+06	-1.680715e-25	5.285290e+01	-9.770580e+01	NaN	NaN	NaN
right_accumbens_area	-1.768703e-03	-2.261025e+01	1.000000e+06	-7.764916e-26	5.498486e+01	-1.019697e+02	NaN	NaN	NaN
right_ventraldc	4.191129e-02	1.464471e+00	1.000000e+06	-1.135960e-28	6.220017e+01	-1.164003e+02	NaN	NaN	NaN
right_choroid_plexus	-1.224430e-01	-3.589115e-01	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
aircavity	1.239751e-02	-3.475863e-01	1.000000e+06	-1.262177e-27	3.901111e+01	-7.002221e+01	NaN	NaN	NaN
skull	2.310074e-02	-4.605082e-01	1.000000e+06	-1.262177e-27	3.901111e+01	-7.002221e+01	NaN	NaN	NaN
vermis	-1.492207e-01	-2.166081e-01	1.000000e+06	-8.077936e-28	6.023852e+01	-1.124770e+02	NaN	NaN	NaN
pons	3.550323e-02	1.118107e+00	1.000000e+06	-1.009742e-28	6.212481e+01	-1.162496e+02	NaN	NaN	NaN
csf_extracerebral	6.346307e-02	-1.210824e-01	1.000000e+06	-1.009742e-28	NaN	NaN	NaN	NaN	NaN
head_extracerebral	2.651967e-02	-4.641295e-01	1.000000e+06	-1.312665e-27	5.961352e+01	-1.112270e+02	NaN	NaN	NaN
ctx_lh_bankssts	1.048435e-01	5.477007e-01	1.000000e+06	-5.048710e-29	6.301111e+01	-1.180222e+02	NaN	NaN	NaN
ctx_lh_caudalanteriorcingulate	-8.160696e-05	-3.198198e+02	1.000000e+06	-2.735719e-23	4.980774e+01	-9.161548e+01	NaN	NaN	NaN
ctx_lh_caudalmiddlefrontal	1.728760e-01	3.111778e-01	1.000000e+06	-4.038968e-28	6.073852e+01	-1.134770e+02	NaN	NaN	NaN
ctx_lh_cuneus	3.914288e-02	8.484449e-01	1.000000e+06	-2.524355e-28	6.125832e+01	-1.145166e+02	NaN	NaN	NaN
ctx_lh_entorhinal	9.852692e-02	3.141026e-01	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
ctx_lh_fusiform	8.480212e-02	3.544550e-01	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
ctx_lh_inferiorparietal	1.242374e-01	3.301848e-01	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
ctx_lh_inferiortemporal	6.196974e-02	4.170234e-01	1.000000e+06	-4.038968e-28	NaN	NaN	NaN	NaN	NaN
ctx_lh_isthmuscingulate	1.463091e-01	4.802461e-01	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
ctx_lh_lateraloccipital	5.025537e-02	5.844673e-01	1.000000e+06	-4.543839e-28	6.081388e+01	-1.136278e+02	NaN	NaN	NaN
ctx_lh_lateralorbitofrontal	9.805461e-02	5.897463e-01	1.000000e+06	-0.000000e+00	NaN	NaN	NaN	NaN	NaN
ctx_lh_lingual	1.465058e-01	4.215269e-01	1.000000e+06	-2.524355e-28	5.901111e+01	-1.100222e+02	NaN	NaN	NaN
ctx_lh_medialorbitofrontal	1.159040e-01	5.612591e-01	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
ctx_lh_middletemporal	7.142016e-02	4.709795e-01	1.000000e+06	-0.000000e+00	NaN	NaN	NaN	NaN	NaN
ctx_lh_parahippocampal	1.424632e-01	2.523751e-01	1.000000e+06	-6.563323e-28	5.101111e+01	-9.402221e+01	NaN	NaN	NaN
ctx_lh_paracentral	2.878868e-02	1.050735e+00	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
ctx_lh_parsopercularis	8.799769e-02	5.759467e-01	1.000000e+06	-0.000000e+00	NaN	NaN	NaN	NaN	NaN
ctx_lh_parsorbitalis	3.493612e-01	2.492046e-01	1.000000e+06	-8.077936e-28	6.023852e+01	-1.124770e+02	NaN	NaN	NaN
ctx_lh_parstriangularis	1.838855e-01	4.847391e-01	1.000000e+06	-1.009742e-27	5.762481e+01	-1.072496e+02	NaN	NaN	NaN
ctx_lh_pericalcarine	6.331710e-02	8.769833e-01	1.000000e+06	-2.524355e-28	5.901111e+01	-1.100222e+02	NaN	NaN	NaN
ctx_lh_postcentral	9.885450e-02	4.316276e-01	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
ctx_lh_posteriorcingulate	1.181740e-01	7.351016e-01	1.000000e+06	-1.464126e-27	5.859166e+01	-1.091833e+02	NaN	NaN	NaN
ctx_lh_precentral	1.431379e-01	4.222587e-01	1.000000e+06	-8.077936e-28	6.023852e+01	-1.124770e+02	NaN	NaN	NaN
ctx_lh_precuneus	1.173301e-01	5.025710e-01	1.000000e+06	-2.019484e-28	6.162481e+01	-1.152496e+02	NaN	NaN	NaN
ctx_lh_rostralanteriorcingulate	2.918738e-02	1.418300e+00	1.000000e+06	-6.563323e-28	5.101111e+01	-9.402221e+01	NaN	NaN	NaN
