SRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	1.025462e-01	1.288858e+00	2.263005e+00	8.874407e+05	-2.624386e+02	5.328771e+02	7.779637e+00	8.446793e-01	1.296640e+00
left_cerebral_white_matter	1.025462e-01	4.997398e-01	2.234002e-01	5.840332e+05	-2.557220e+02	5.194440e+02	7.779637e+00	1.793965e+00	1.018869e+01
left_cerebellum_white_matter	1.025462e-01	6.012817e-01	4.673773e-02	3.699025e+05	-2.484230e+02	5.048460e+02	7.779637e+00	1.420488e+00	2.623289e+01
left_cerebellum_cortex	1.025462e-01	8.705435e-01	-5.212313e-02	4.415404e+04	-2.144207e+02	4.368415e+02	7.779637e+00	4.768070e-01	-5.656084e+00
left_thalamus	1.025462e-01	7.841455e-01	1.696617e+00	1.320049e+06	-2.687617e+02	5.455233e+02	7.779637e+00	1.505232e+00	3.321957e+00
left_caudate	1.025462e-01	9.114289e-01	1.371008e+00	1.049100e+06	-2.651327e+02	5.382654e+02	7.779637e+00	1.283474e+00	2.414782e+00
left_putamen	1.025462e-01	1.103332e+00	1.837960e+00	1.067466e+06	-2.653673e+02	5.387345e+02	7.779637e+00	1.074708e+00	1.789054e+00
left_pallidum	1.025462e-01	5.948947e-01	1.499055e+00	2.060366e+06	-2.758877e+02	5.597754e+02	7.779637e+00	2.332180e+00	6.553397e+00
brain_stem	1.025462e-01	4.827641e-01	1.561420e+00	1.624021e+06	-2.721051e+02	5.522103e+02	7.779637e+00	2.407069e+00	8.445983e+00
left_hippocampus	1.025462e-01	6.755044e-01	5.106685e-01	4.585793e+05	-2.518517e+02	5.117033e+02	7.779637e+00	1.227303e+00	3.520144e+00
left_amygdala	1.025462e-01	5.012388e-01	2.575537e+00	1.073109e+06	-2.654476e+02	5.388952e+02	7.779637e+00	1.778782e+00	7.208104e+00
csf	1.025462e-01	3.186577e-01	-8.288130e-02	9.439059e+05	-2.634265e+02	5.348530e+02	7.779637e+00	3.340660e+00	-4.374097e+01
left_accumbens_area	1.025462e-01	8.837275e-01	1.976774e+00	5.123691e+06	-2.904626e+02	5.889251e+02	7.779637e+00	2.649756e+00	5.434618e+00
left_ventraldc	1.025462e-01	5.659528e-01	2.252640e+00	2.097301e+06	-2.761688e+02	5.603376e+02	7.779637e+00	2.293536e+00	7.699036e+00
left_choroid_plexus	1.025462e-01	5.861805e-01	-1.807596e-01	5.039051e+06	-2.901989e+02	5.883978e+02	7.779637e+00	6.222153e+00	-2.068685e+01
right_cerebral_white_matter	1.025462e-01	4.951606e-01	2.082699e-01	5.957460e+05	-2.560506e+02	5.201013e+02	7.779637e+00	1.831312e+00	1.099096e+01
right_cerebellum_white_matter	1.025462e-01	6.096571e-01	5.597385e-02	3.537628e+05	-2.477053e+02	5.034105e+02	7.779637e+00	1.374288e+00	2.131654e+01
right_cerebellum_cortex	1.025462e-01	8.384187e-01	-7.370688e-02	3.249308e+04	-2.095564e+02	4.271129e+02	7.779637e+00	4.195525e-01	-3.462391e+00
right_thalamus	1.025462e-01	8.280044e-01	1.892895e+00	1.267793e+06	-2.681163e+02	5.442327e+02	7.779637e+00	1.389697e+00	2.993212e+00
right_caudate	1.025462e-01	9.520775e-01	1.210940e+00	9.166067e+05	-2.630733e+02	5.341466e+02	7.779637e+00	1.208904e+00	2.199650e+00
