SRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	1.025462e-01	1.288858e+00	2.263005e+00	8.874407e+05	-2.624386e+02	5.328771e+02	7.779637e+00	8.446793e-01	1.296640e+00
left_cerebral_white_matter	1.025462e-01	2.161911e-01	7.348284e-01	6.614486e+05	-2.577538e+02	5.235076e+02	7.779637e+00	3.177384e+00	2.480259e+01
left_cerebellum_white_matter	1.025462e-01	5.028333e-01	1.005629e-01	3.512781e+05	-2.475869e+02	5.031737e+02	7.779637e+00	1.458500e+00	1.524089e+01
left_cerebellum_cortex	1.025462e-01	1.023214e+00	1.056976e-02	8.265589e+03	-1.875930e+02	3.831860e+02	7.779637e+00	1.908522e-01	1.138263e+01
left_thalamus	1.025462e-01	9.338473e-01	2.100226e+00	1.618279e+06	-2.720227e+02	5.520454e+02	7.779637e+00	1.416256e+00	2.809364e+00
left_caudate	1.025462e-01	1.396752e+00	2.280935e+00	3.052748e+06	-2.823374e+02	5.726748e+02	7.779637e+00	1.495716e+00	2.162408e+00
left_putamen	1.025462e-01	1.554530e+00	2.606473e+00	2.137050e+06	-2.764699e+02	5.609397e+02	7.779637e+00	1.131047e+00	1.558499e+00
left_pallidum	1.025462e-01	4.402345e-01	2.900819e+00	6.087242e+06	-2.932274e+02	5.944547e+02	7.779637e+00	4.666228e+00	2.304543e+01
brain_stem	1.025462e-01	5.544296e-01	3.049410e+00	2.531148e+06	-2.791900e+02	5.663799e+02	7.779637e+00	2.460043e+00	9.776590e+00
left_hippocampus	1.025462e-01	8.885472e-01	5.209683e-01	1.147124e+06	-2.665171e+02	5.410341e+02	7.779637e+00	1.710316e+00	4.077695e+00
left_amygdala	1.025462e-01	5.888981e-01	7.384377e+00	3.550226e+06	-2.845950e+02	5.771900e+02	7.779637e+00	2.527685e+00	1.738419e+01
csf	1.025462e-01	1.233925e-01	-7.433173e-01	1.122272e+06	-2.662157e+02	5.404314e+02	7.779637e+00	1.090320e+01	-3.471112e+00
left_accumbens_area	1.025462e-01	1.171985e+00	5.863653e+00	2.341534e+07	-3.147742e+02	6.375484e+02	7.779637e+00	3.686404e+00	1.023153e+01
left_ventraldc	1.025462e-01	6.418717e-01	3.205119e+00	3.176468e+06	-2.828101e+02	5.736203e+02	7.779637e+00	2.425955e+00	8.491476e+00
left_choroid_plexus	1.025462e-01	3.268332e+00	6.662791e-01	1.189789e+08	-3.407842e+02	6.895683e+02	7.779637e+00	1.250085e+01	1.453954e+01
right_cerebral_white_matter	1.025462e-01	2.154854e-01	6.795319e-01	5.788033e+05	-2.556474e+02	5.192949e+02	7.779637e+00	2.995356e+00	2.373452e+01
right_cerebellum_white_matter	1.025462e-01	5.202561e-01	1.096906e-01	3.150755e+05	-2.458393e+02	4.996786e+02	7.779637e+00	1.352585e+00	1.283219e+01
right_cerebellum_cortex	1.025462e-01	9.769099e-01	-1.051176e-02	8.271914e+03	-1.876054e+02	3.832108e+02	7.779637e+00	1.956255e-01	-1.162071e+01
right_thalamus	1.025462e-01	1.000538e+00	2.360771e+00	1.799023e+06	-2.737188e+02	5.554375e+02	7.779637e+00	1.388140e+00	2.684477e+00
right_caudate	1.025462e-01	1.393848e+00	2.049267e+00	3.312442e+06	-2.837372e+02	5.754744e+02	7.779637e+00	1.616105e+00	2.295321e+00
right_putamen	1.025462e-01	1.468870e+00	2.466657e+00	1.028343e+06	-2.647650e+02	5.375300e+02	7.779637e+00	8.236584e-01	1.167580e+00
right_pallidum	1.025462e-01	5.407988e-01	1.341933e+00	2.569410e+06	-2.794193e+02	5.668385e+02	7.779637e+00	2.841179e+00	8.615946e+00
right_hippocampus	1.025462e-01	9.095082e-01	5.893122e-01	9.827306e+05	-2.640561e+02	5.361122e+02	7.779637e+00	1.527163e+00	3.403623e+00
right_amygdala	1.025462e-01	5.769443e-01	7.668640e+00	4.975727e+06	-2.899987e+02	5.879974e+02	7.779637e+00	3.040454e+00	2.202694e+01
right_accumbens_area	1.025462e-01	8.928990e-01	7.026043e+00	1.225468e+07	-3.044194e+02	6.168389e+02	7.779637e+00	3.257887e+00	1.387759e+01
right_ventraldc	1.025462e-01	6.321076e-01	4.041563e+00	3.262922e+06	-2.832449e+02	5.744898e+02	7.779637e+00	2.415866e+00	9.900313e+00
right_choroid_plexus	1.025462e-01	1.583152e+00	-4.256802e-02	3.460704e+07	-3.210264e+02	6.500528e+02	7.779637e+00	1.231022e+01	-1.371780e+02
aircavity	1.025462e-01	1.130366e-01	-7.417682e-01	2.174948e+05	-2.402566e+02	4.885132e+02	7.779637e+00	4.998959e+00	-1.713560e+00
skull	1.025462e-01	5.968751e-02	-4.783338e-01	2.687990e+05	-2.436062e+02	4.952123e+02	7.779637e+00	7.246050e+00	-2.859976e+01
vermis	1.025462e-01	8.936169e-01	-1.408252e-01	2.118649e+06	-2.763308e+02	5.606617e+02	7.779637e+00	3.582353e+00	-1.346627e+01
pons	1.025462e-01	6.411645e-01	1.011990e+00	3.786823e+05	-2.487829e+02	5.055658e+02	7.779637e+00	1.017891e+00	2.583594e+00
csf_extracerebral	1.025462e-01	4.896256e-02	-5.487506e-01	6.455125e+05	-2.579787e+02	5.239574e+02	7.779637e+00	1.359015e+01	-4.278108e+01
head_extracerebral	1.025462e-01	1.509518e-01	-5.079138e-01	4.579486e+05	-2.522016e+02	5.124033e+02	7.779637e+00	4.690402e+00	-6.005173e+00
ctx_lh_bankssts	1.025462e-01	1.380318e+00	1.029459e+00	2.670471e+06	-2.800725e+02	5.681450e+02	7.779637e+00	1.855792e+00	2.752866e+00
ctx_lh_caudalanteriorcingulate	1.025462e-01	1.672097e+00	1.700106e+00	5.809088e+06	-2.924685e+02	5.929371e+02	7.779637e+00	2.121888e+00	2.664013e+00
ctx_lh_caudalmiddlefrontal	1.025462e-01	1.797932e+00	8.320913e-01	2.135385e+06	-2.766570e+02	5.613139e+02	7.779637e+00	1.698920e+00	2.367132e+00
ctx_lh_cuneus	1.025462e-01	1.655962e+00	1.374955e+00	5.525051e+06	-2.917361e+02	5.914721e+02	7.779637e+00	2.264113e+00	2.906012e+00
ctx_lh_entorhinal	1.025462e-01	6.965592e-01	1.173014e+00	1.092879e+06	-2.657425e+02	5.394849e+02	7.779637e+00	1.595102e+00	3.752604e+00
ctx_lh_fusiform	1.025462e-01	9.163320e-01	6.480317e-01	9.872638e+05	-2.641829e+02	5.363658e+02	7.779637e+00	1.493301e+00	3.192047e+00
ctx_lh_inferiorparietal	1.025462e-01	1.613466e+00	8.609151e-01	1.685508e+06	-2.728918e+02	5.537837e+02	7.779637e+00	1.515478e+00	2.194038e+00
ctx_lh_inferiortemporal	1.025462e-01	1.265462e+00	6.267085e-01	2.305846e+06	-2.778115e+02	5.636231e+02	7.779637e+00	2.074507e+00	3.793616e+00
ctx_lh_isthmuscingulate	1.025462e-01	1.531200e+00	9.904355e-01	3.247571e+06	-2.831900e+02	5.743800e+02	7.779637e+00	2.017456e+00	2.871623e+00
ctx_lh_lateraloccipital	1.025462e-01	1.479224e+00	1.009525e+00	4.799715e+06	-2.895097e+02	5.870194e+02	7.779637e+00	2.456620e+00	3.537765e+00
ctx_lh_lateralorbitofrontal	1.025462e-01	1.660344e+00	1.076674e+00	2.028792e+06	-2.757746e+02	5.595492e+02	7.779637e+00	1.514704e+00	2.031861e+00
ctx_lh_lingual	1.025462e-01	1.368443e+00	1.094137e+00	3.710443e+06	-2.853930e+02	5.787859e+02	7.779637e+00	2.146913e+00	3.156455e+00
ctx_lh_medialorbitofrontal	1.025462e-01	1.458212e+00	1.307396e+00	1.871899e+06	-2.744422e+02	5.568845e+02	7.779637e+00	1.399560e+00	1.931303e+00
ctx_lh_middletemporal	1.025462e-01	1.341177e+00	7.649390e-01	2.714571e+06	-2.804427e+02	5.688855e+02	7.779637e+00	2.086413e+00	3.429657e+00
ctx_lh_parahippocampal	1.025462e-01	8.433455e-01	8.120722e-01	2.012338e+06	-2.755083e+02	5.590166e+02	7.779637e+00	2.100848e+00	4.418617e+00
ctx_lh_paracentral	1.025462e-01	1.531565e+00	1.187777e+00	3.455127e+06	-2.841909e+02	5.763817e+02	7.779637e+00	1.941368e+00	2.651784e+00
ctx_lh_parsopercularis	1.025462e-01	1.911660e+00	1.027280e+00	3.774033e+06	-2.856758e+02	5.793517e+02	7.779637e+00	2.052715e+00	2.610722e+00
ctx_lh_parsorbitalis	1.025462e-01	1.641440e+00	7.634231e-01	4.569027e+06	-2.886930e+02	5.853861e+02	7.779637e+00	2.601650e+00	3.896043e+00
ctx_lh_parstriangularis	1.025462e-01	1.785083e+00	1.105645e+00	4.891527e+06	-2.898976e+02	5.877952e+02	7.779637e+00	2.291393e+00	2.953261e+00
ctx_lh_pericalcarine	1.025462e-01	2.332422e+00	1.992849e+00	3.919259e+06	-2.862562e+02	5.805123e+02	7.779637e+00	1.469407e+00	1.553371e+00
ctx_lh_postcentral	1.025462e-01	1.512445e+00	1.219023e+00	3.136589e+06	-2.827723e+02	5.735446e+02	7.779637e+00	1.838240e+00	2.515181e+00
ctx_lh_posteriorcingulate	1.025462e-01	1.657979e+00	1.347899e+00	3.786182e+06	-2.856198e+02	5.792396e+02	7.779637e+00	1.888922e+00	2.429515e+00
ctx_lh_precentral	1.025462e-01	1.766602e+00	9.876131e-01	1.878125e+06	-2.746513e+02	5.573026e+02	7.779637e+00	1.491116e+00	1.987155e+00
ctx_lh_precuneus	1.025462e-01	1.677395e+00	9.808127e-01	2.306549e+06	-2.778376e+02	5.636753e+02	7.779637e+00	1.672996e+00	2.287739e+00
ctx_lh_rostralanteriorcingulate	1.025462e-01	1.247816e+00	1.431368e+00	2.022501e+06	-2.755950e+02	5.591899e+02	7.779637e+00	1.499242e+00	2.248952e+00
