MRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	1.035791e-01	1.285867e+00	2.248921e+00	9.269939e+05	-2.631559e+02	5.343119e+02	7.588045e+00	6.941948e-01	1.024296e+00
left_cerebral_white_matter	1.035791e-01	2.162980e-01	6.873868e-01	6.942150e+05	-2.585386e+02	5.250771e+02	7.588045e+00	3.144137e+00	2.582648e+01
left_cerebellum_white_matter	1.035791e-01	5.040388e-01	9.031340e-02	4.088137e+05	-2.500157e+02	5.080313e+02	7.588045e+00	1.246355e+00	1.316770e+01
left_cerebellum_cortex	1.035791e-01	1.023011e+00	1.080660e-02	8.481439e+03	-1.880056e+02	3.840112e+02	7.588045e+00	1.174145e-01	4.402263e+00
left_thalamus	1.035791e-01	9.346347e-01	2.063104e+00	1.747444e+06	-2.732509e+02	5.545018e+02	7.588045e+00	1.258754e+00	2.515559e+00
left_caudate	1.035791e-01	1.389243e+00	2.279629e+00	3.353592e+06	-2.839026e+02	5.758053e+02	7.588045e+00	1.232358e+00	1.683355e+00
left_putamen	1.035791e-01	1.549756e+00	2.596773e+00	2.182859e+06	-2.768109e+02	5.616217e+02	7.588045e+00	8.994210e-01	1.163808e+00
left_pallidum	1.035791e-01	4.402125e-01	2.796779e+00	6.303635e+06	-2.937906e+02	5.955812e+02	7.588045e+00	4.708949e+00	2.377523e+01
brain_stem	1.035791e-01	5.547826e-01	2.949085e+00	2.639418e+06	-2.798638e+02	5.677277e+02	7.588045e+00	2.378702e+00	9.663997e+00
left_hippocampus	1.035791e-01	8.847486e-01	5.217506e-01	1.233297e+06	-2.676800e+02	5.433601e+02	7.588045e+00	1.291207e+00	2.587540e+00
left_amygdala	1.035791e-01	5.875695e-01	7.118936e+00	3.553392e+06	-2.846089e+02	5.772179e+02	7.588045e+00	2.436028e+00	1.665300e+01
csf	1.035791e-01	1.204765e-01	-7.414048e-01	1.330610e+06	-2.689999e+02	5.459999e+02	7.588045e+00	1.097311e+01	-3.397146e+00
left_accumbens_area	1.035791e-01	1.169274e+00	5.782899e+00	2.346880e+07	-3.148102e+02	6.376205e+02	7.588045e+00	3.325914e+00	9.492988e+00
