Logan Ref	Kappa2	BPnd	k2ref	MSE	LogLikelihood	AIC	%Cov Kappa2	%Cov BPnd	%Cov k2ref
highbinding	6.339908e-02	2.188077e+00	1.000000e+06	1.510537e-01	-8.107951e-01	9.621590e+00	3.492425e+00	1.070744e+00	NaN
left_cerebral_white_matter	6.530773e-02	2.179358e-01	1.000000e+06	5.154116e-01	-4.492786e+00	1.698557e+01	7.074721e+00	8.010315e+00	NaN
left_cerebellum_white_matter	1.322649e-01	1.254253e-01	1.000000e+06	2.417053e-01	-2.221046e+00	1.244209e+01	7.990607e+00	6.918057e+00	NaN
left_cerebellum_cortex	6.819705e-01	-3.189109e-02	1.000000e+06	1.480858e-02	6.156492e+00	-4.312983e+00	8.806842e+00	-4.618595e+00	NaN
left_thalamus	4.329743e-02	1.611936e+00	1.000000e+06	6.079294e-01	-4.988065e+00	1.797613e+01	5.848016e+00	2.876191e+00	NaN
left_caudate	7.120780e-02	1.079602e+00	1.000000e+06	9.468431e-02	5.904666e-01	6.819067e+00	2.943643e+00	1.056764e+00	NaN
left_putamen	6.225928e-02	1.732982e+00	1.000000e+06	3.551688e-01	-3.375668e+00	1.475134e+01	5.391277e+00	1.814293e+00	NaN
left_pallidum	3.823590e-02	1.337297e+00	1.000000e+06	1.632901e+00	-7.952229e+00	2.390446e+01	9.160864e+00	5.388952e+00	NaN
brain_stem	3.587330e-02	1.179230e+00	1.000000e+06	1.017778e+00	-6.534020e+00	2.106804e+01	7.117451e+00	4.684340e+00	NaN
left_hippocampus	8.149345e-02	4.987417e-01	1.000000e+06	3.504843e-01	-3.335836e+00	1.467167e+01	6.670413e+00	3.236671e+00	NaN
left_amygdala	3.651929e-02	1.671168e+00	1.000000e+06	1.860075e+00	-8.343004e+00	2.468601e+01	9.568919e+00	5.420406e+00	NaN
csf	5.490355e-02	-3.336003e-01	1.000000e+06	1.469085e-01	-7.273182e-01	9.454636e+00	3.181794e+00	-1.532956e+00	NaN
left_accumbens_area	5.865434e-02	1.640429e+00	1.000000e+06	2.437590e+00	-9.154184e+00	2.630837e+01	1.426436e+01	5.401728e+00	NaN
left_ventraldc	3.335526e-02	1.601954e+00	1.000000e+06	4.516682e-01	-4.096732e+00	1.619346e+01	4.419506e+00	2.710248e+00	NaN
left_choroid_plexus	9.953357e-02	-6.230366e-02	1.000000e+06	1.399889e+00	-7.490334e+00	2.298067e+01	1.618145e+01	-3.270591e+01	NaN
right_cerebral_white_matter	6.749722e-02	1.983715e-01	1.000000e+06	5.126122e-01	-4.476447e+00	1.695289e+01	7.203254e+00	8.525888e+00	NaN
right_cerebellum_white_matter	1.336280e-01	1.187254e-01	1.000000e+06	2.394317e-01	-2.192693e+00	1.238539e+01	8.092824e+00	7.305861e+00	NaN
right_cerebellum_cortex	5.244761e-01	-3.685878e-02	1.000000e+06	2.413894e-02	4.690633e+00	-1.381266e+00	8.693107e+00	-5.133149e+00	NaN
right_thalamus	4.133035e-02	1.754895e+00	1.000000e+06	3.900065e-01	-3.656379e+00	1.531276e+01	4.561531e+00	2.264168e+00	NaN
right_caudate	7.530900e-02	1.039940e+00	1.000000e+06	1.341759e-01	-4.553443e-01	8.910689e+00	3.560756e+00	1.234397e+00	NaN
right_putamen	6.243030e-02	1.595591e+00	1.000000e+06	3.608389e-01	-3.423184e+00	1.484637e+01	5.433272e+00	1.889974e+00	NaN
right_pallidum	3.021528e-02	1.426606e+00	1.000000e+06	1.295912e+00	-7.258798e+00	2.251760e+01	7.587188e+00	5.226625e+00	NaN
right_hippocampus	6.978573e-02	5.878361e-01	1.000000e+06	3.542701e-01	-3.368067e+00	1.473613e+01	5.861621e+00	3.007227e+00	NaN
right_amygdala	3.434306e-02	1.722416e+00	1.000000e+06	5.644441e-01	-4.765413e+00	1.753083e+01	5.021856e+00	2.925065e+00	NaN
right_accumbens_area	4.249762e-02	1.638993e+00	1.000000e+06	7.545339e-01	-5.636189e+00	1.927238e+01	6.668695e+00	3.274147e+00	NaN
right_ventraldc	3.279795e-02	1.554855e+00	1.000000e+06	3.399033e-01	-3.243872e+00	1.448774e+01	3.901200e+00	2.441204e+00	NaN
right_choroid_plexus	1.035222e-01	-1.213725e-01	1.000000e+06	1.914532e+00	-8.429575e+00	2.485915e+01	1.795925e+01	-1.686069e+01	NaN
aircavity	6.375012e-02	-7.207888e-01	1.000000e+06	1.630903e+00	-7.948556e+00	2.389711e+01	1.331454e+01	-1.076887e+00	NaN
skull	5.414231e-02	-7.207912e-01	1.000000e+06	1.109670e+00	-6.793343e+00	2.158669e+01	9.970238e+00	-9.292611e-01	NaN
vermis	2.542852e-01	-7.339986e-02	1.000000e+06	6.274974e-02	1.824648e+00	4.350703e+00	7.271413e+00	-4.423935e+00	NaN
pons	5.898751e-02	8.573454e-01	1.000000e+06	6.060528e-01	-4.978790e+00	1.795758e+01	6.973746e+00	3.429197e+00	NaN
csf_extracerebral	1.534495e-01	-2.447402e-01	1.000000e+06	2.237584e-01	-1.989589e+00	1.197918e+01	8.875249e+00	-2.261490e+00	NaN
head_extracerebral	2.500982e-02	-6.283114e-01	1.000000e+06	1.667718e+00	-8.015523e+00	2.403105e+01	8.440205e+00	-2.287851e+00	NaN
ctx_lh_bankssts	1.518297e-01	4.931803e-01	1.000000e+06	5.280552e-02	2.342264e+00	3.315472e+00	4.126734e+00	1.031049e+00	NaN
