SRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	7.282301e-02	1.360850e+00	2.415885e+00	1.311716e+06	-3.026177e+02	6.132353e+02	4.859493e+00	6.700368e-01	9.029598e-01
left_cerebral_white_matter	7.282301e-02	5.778511e-01	2.342340e-01	7.409621e+05	-2.922600e+02	5.925199e+02	4.859493e+00	1.290603e+00	5.794840e+00
left_cerebellum_white_matter	7.282301e-02	7.593140e-01	1.213689e-01	5.011090e+05	-2.852041e+02	5.784082e+02	4.859493e+00	1.015330e+00	6.551855e+00
left_cerebellum_cortex	7.282301e-02	9.025747e-01	-3.597707e-02	5.015701e+04	-2.437742e+02	4.955484e+02	4.859493e+00	3.435234e-01	-5.662713e+00
left_thalamus	7.282301e-02	8.667297e-01	1.902180e+00	1.142415e+06	-3.000375e+02	6.080750e+02	4.859493e+00	8.632510e-01	1.590198e+00
left_caudate	7.282301e-02	9.338904e-01	1.232561e+00	2.765324e+06	-3.160816e+02	6.401632e+02	4.859493e+00	1.452909e+00	2.420793e+00
left_putamen	7.282301e-02	1.176237e+00	1.892283e+00	1.819540e+06	-3.084206e+02	6.248412e+02	4.859493e+00	9.224389e-01	1.323577e+00
left_pallidum	7.282301e-02	7.074992e-01	1.643677e+00	2.844631e+06	-3.164652e+02	6.409303e+02	4.859493e+00	1.600122e+00	3.434926e+00
brain_stem	7.282301e-02	6.296039e-01	1.481145e+00	8.101553e+05	-2.938582e+02	5.957164e+02	4.859493e+00	9.414454e-01	2.213231e+00
left_hippocampus	7.282301e-02	7.874940e-01	5.279574e-01	1.411108e+06	-3.038397e+02	6.156794e+02	4.859493e+00	1.380479e+00	3.208897e+00
left_amygdala	7.282301e-02	7.424999e-01	2.238593e+00	2.454529e+06	-3.138172e+02	6.356344e+02	4.859493e+00	1.342818e+00	3.007697e+00
csf	7.282301e-02	2.791817e-01	-3.144980e-01	5.395635e+05	-2.866656e+02	5.813312e+02	4.859493e+00	2.117871e+00	-4.329043e+00
left_accumbens_area	7.282301e-02	1.046101e+00	1.922381e+00	9.558431e+06	-3.382786e+02	6.845572e+02	4.859493e+00	2.235917e+00	3.518959e+00
