Logan Ref	Kappa2	BPnd	k2ref	MSE	LogLikelihood	AIC	%Cov Kappa2	%Cov BPnd	%Cov k2ref
highbinding	6.339908e-02	2.188077e+00	1.000000e+06	1.510537e-01	-8.107951e-01	9.621590e+00	3.492425e+00	1.070744e+00	NaN
left_cerebral_white_matter	3.003505e-02	4.875366e-02	1.000000e+06	7.093126e-01	-5.450777e+00	1.890155e+01	5.434334e+00	4.809257e+01	NaN
left_cerebellum_white_matter	1.064013e-01	1.504450e-01	1.000000e+06	3.371469e-01	-3.219445e+00	1.443889e+01	7.945081e+00	7.402603e+00	NaN
left_cerebellum_cortex	-4.455979e+00	8.508453e-03	1.000000e+06	9.382391e-04	1.443336e+01	-2.086673e+01	-1.377119e+01	4.167554e+00	NaN
left_thalamus	4.490809e-02	2.030750e+00	1.000000e+06	5.449696e-01	-4.660078e+00	1.732016e+01	5.594762e+00	2.457281e+00	NaN
left_caudate	8.135126e-02	2.117194e+00	1.000000e+06	4.644673e-02	2.727193e+00	2.545614e+00	2.204238e+00	5.258926e-01	NaN
left_putamen	7.070648e-02	2.574582e+00	1.000000e+06	2.799906e-01	-2.662156e+00	1.332431e+01	5.093758e+00	1.324786e+00	NaN
left_pallidum	2.847628e-02	1.641856e+00	1.000000e+06	3.280780e+00	-1.004540e+01	2.809080e+01	1.189166e+01	8.197511e+00	NaN
brain_stem	2.937628e-02	2.086246e+00	1.000000e+06	9.746500e-01	-6.404124e+00	2.080825e+01	6.394922e+00	3.940017e+00	NaN
left_hippocampus	1.513198e-01	5.060925e-01	1.000000e+06	1.052357e-01	2.735051e-01	7.452990e+00	5.841942e+00	1.450971e+00	NaN
left_amygdala	3.222486e-02	2.873312e+00	1.000000e+06	2.249163e+00	-8.912828e+00	2.582566e+01	1.000791e+01	5.302295e+00	NaN
csf	6.713984e-02	-7.938776e-01	1.000000e+06	1.352905e+00	-7.387916e+00	2.277583e+01	9.598760e+00	-4.880514e-01	NaN
left_accumbens_area	4.196680e-02	4.672746e+00	1.000000e+06	6.423037e+00	-1.206083e+01	3.212166e+01	2.030044e+01	8.019599e+00	NaN
left_ventraldc	3.048659e-02	2.207317e+00	1.000000e+06	4.445523e-01	-4.049092e+00	1.609818e+01	4.244041e+00	2.493968e+00	NaN
left_choroid_plexus	-7.035949e-01	2.545522e-01	1.000000e+06	1.048503e-01	2.845102e-01	7.430980e+00	-2.684251e+01	2.235481e+00	NaN
right_cerebral_white_matter	3.195512e-02	2.044972e-02	1.000000e+06	6.561360e-01	-5.216993e+00	1.843399e+01	5.353258e+00	1.046564e+02	NaN
