SRTM	R1	k2	BPnd	MSE	LogLikelihood	AIC	%Cov R1	%Cov k2	%Cov BPnd
highbinding	1.360850e+00	9.910119e-02	2.415885e+00	1.311716e+06	-3.026177e+02	6.132353e+02	1.406876e+00	3.691129e+00	1.743062e+00
left_cerebral_white_matter	2.722548e-01	1.613567e-02	4.933557e-01	1.351387e+05	-2.616862e+02	5.313724e+02	1.893935e+00	4.048900e+00	1.551073e+01
left_cerebellum_white_matter	7.515417e-01	3.115728e-02	2.487522e-01	3.264674e+05	-2.774913e+02	5.629826e+02	1.221432e+00	9.472464e+00	1.069977e+01
left_cerebellum_cortex	1.020214e+00	4.713693e-02	7.404668e-03	1.565636e+04	-2.228224e+02	4.536448e+02	2.440033e-01	6.252657e+01	3.338793e+01
left_thalamus	1.085746e+00	6.457693e-02	2.635441e+00	8.149472e+05	-2.939607e+02	5.959215e+02	1.245986e+00	3.257792e+00	2.848355e+00
left_caudate	1.315444e+00	1.509769e-01	2.134824e+00	5.857784e+06	-3.294677e+02	6.669353e+02	3.709465e+00	7.186804e+00	2.174228e+00
left_putamen	1.684433e+00	1.151367e-01	2.797486e+00	3.718505e+06	-3.213189e+02	6.506378e+02	1.938400e+00	6.005592e+00	2.372405e+00
left_pallidum	6.324097e-01	4.058859e-02	2.733407e+00	5.543015e+06	-3.284724e+02	6.649449e+02	5.225136e+00	9.948785e+00	1.772157e+01
brain_stem	7.775894e-01	4.918211e-02	3.154207e+00	7.251622e+05	-2.918626e+02	5.917251e+02	1.551125e+00	3.095613e+00	4.728465e+00
left_hippocampus	9.731515e-01	9.871866e-02	4.914367e-01	2.277450e+06	-3.124608e+02	6.329217e+02	3.705210e+00	1.636844e+01	4.546515e+00
left_amygdala	8.556760e-01	8.159079e-02	3.437440e+00	5.182684e+06	-3.272588e+02	6.625176e+02	4.010959e+00	5.172894e+00	5.180436e+00
csf	1.313183e-01	-9.459829e-06	-9.985863e-01	4.193009e+05	-2.820212e+02	5.720424e+02	6.095116e+00	-4.710902e+04	-6.577613e+01
left_accumbens_area	1.877317e+00	9.481429e-02	7.807991e+00	4.539383e+07	-3.663247e+02	7.406495e+02	5.032069e+00	1.373327e+01	1.809046e+01
left_ventraldc	8.712572e-01	4.979150e-02	3.448153e+00	1.712028e+06	-3.073197e+02	6.226394e+02	2.114208e+00	4.827265e+00	7.387451e+00
left_choroid_plexus	1.509914e+00	1.643808e-01	2.649278e-01	1.989018e+07	-3.514669e+02	7.109338e+02	1.130057e+01	1.484656e+02	2.461012e+01
right_cerebral_white_matter	2.848508e-01	1.616004e-02	4.287682e-01	1.182100e+05	-2.592895e+02	5.265791e+02	1.701083e+00	3.940910e+00	1.530766e+01
right_cerebellum_white_matter	7.489050e-01	3.369818e-02	2.523026e-01	2.311683e+05	-2.712779e+02	5.505559e+02	1.051341e+00	7.374407e+00	7.869504e+00
right_cerebellum_cortex	9.797856e-01	4.644340e-02	-7.404624e-03	1.565636e+04	-2.228224e+02	4.536448e+02	2.540623e-01	6.210159e+01	-3.339094e+01
right_thalamus	1.156296e+00	6.695548e-02	3.032795e+00	8.790731e+05	-2.953276e+02	5.986553e+02	1.201677e+00	3.166146e+00	2.901120e+00
right_caudate	1.303299e+00	1.379661e-01	2.032723e+00	3.908026e+06	-3.221998e+02	6.523995e+02	2.979944e+00	6.267530e+00	1.979896e+00
right_putamen	1.510409e+00	1.028622e-01	2.507632e+00	2.412484e+06	-3.134944e+02	6.349888e+02	1.724319e+00	5.196168e+00	2.240699e+00
right_pallidum	6.214205e-01	3.161711e-02	4.858738e+00	4.299678e+06	-3.239006e+02	6.558011e+02	4.450716e+00	1.024782e+01	3.403377e+01
right_hippocampus	9.689348e-01	6.368606e-02	6.968784e-01	2.841239e+06	-3.164471e+02	6.408943e+02	3.161732e+00	1.424961e+01	6.188631e+00
right_amygdala	8.432841e-01	7.920608e-02	3.413558e+00	5.534723e+06	-3.284499e+02	6.648998e+02	4.188068e+00	5.464114e+00	5.627577e+00
right_accumbens_area	1.269060e+00	8.010755e-02	6.185740e+00	2.686673e+07	-3.568862e+02	7.217724e+02	5.747473e+00	1.129456e+01	1.644008e+01
right_ventraldc	8.446813e-01	5.541181e-02	3.100652e+00	1.495769e+06	-3.048884e+02	6.177769e+02	2.083508e+00	4.118056e+00	5.395315e+00
right_choroid_plexus	1.697616e+00	1.694241e-01	6.055790e-02	4.222457e+07	-3.650197e+02	7.380395e+02	1.564795e+01	9.850704e+01	1.847727e+02
aircavity	1.803723e-01	4.008023e-03	-5.332467e-01	8.640657e+04	-2.536509e+02	5.153018e+02	2.238917e+00	2.458451e+01	-1.780613e+01
skull	6.781567e-02	-7.251321e-04	-9.588837e-01	1.877020e+05	-2.677891e+02	5.435782e+02	6.974228e+00	-1.285785e+02	-3.161781e+00
vermis	7.185750e-01	1.530315e-03	3.081748e+06	2.637321e+06	-3.151789e+02	6.383578e+02	1.997549e+00	2.491669e+01	1.498022e-24
pons	9.064685e-01	5.177625e-02	1.090248e+00	1.383842e+06	-3.035505e+02	6.151010e+02	2.081275e+00	7.514181e+00	5.085632e+00
csf_extracerebral	1.057473e-01	-1.062041e-05	-9.988947e-01	3.942770e+05	-2.812505e+02	5.705009e+02	7.927639e+00	-5.879341e+04	-6.409660e+01
head_extracerebral	1.189900e-01	3.146792e-03	1.211647e+09	1.415845e+05	-2.628637e+02	5.337274e+02	2.795024e+00	2.807562e+00	2.764353e-33
ctx_lh_bankssts	1.307092e+00	3.767087e-01	8.751010e-01	3.057226e+06	-3.177578e+02	6.435155e+02	4.546045e+00	2.221419e+01	3.710671e+00
