SRTM	R1	k2	BPnd	MSE	LogLikelihood	AIC	%Cov R1	%Cov k2	%Cov BPnd
highbinding	1.360850e+00	9.910119e-02	2.415885e+00	1.311716e+06	-3.026177e+02	6.132353e+02	1.406876e+00	3.691129e+00	1.743062e+00
left_cerebral_white_matter	6.423059e-01	2.469767e-02	4.601271e-01	4.257106e+04	-2.408229e+02	4.896458e+02	4.774825e-01	2.740511e+00	4.069471e+00
left_cerebellum_white_matter	8.078082e-01	2.949912e-02	2.139628e-01	1.535792e+05	-2.639172e+02	5.358344e+02	7.744731e-01	8.421299e+00	8.906603e+00
left_cerebellum_cortex	9.172354e-01	1.668293e-02	7.089645e-04	1.327560e+04	-2.198480e+02	4.476961e+02	1.862837e-01	2.117674e+01	1.513859e+03
left_thalamus	9.232699e-01	5.347463e-02	2.177127e+00	5.948802e+05	-2.882955e+02	5.845910e+02	1.240738e+00	3.291807e+00	3.243812e+00
left_caudate	8.571133e-01	8.530759e-02	1.120135e+00	2.108526e+06	-3.110734e+02	6.301468e+02	3.161845e+00	6.482584e+00	3.039460e+00
left_putamen	1.201501e+00	8.004563e-02	1.950371e+00	1.730077e+06	-3.075551e+02	6.231102e+02	1.796623e+00	5.235262e+00	2.749357e+00
left_pallidum	7.475513e-01	4.515543e-02	1.874368e+00	2.568322e+06	-3.146239e+02	6.372478e+02	3.150066e+00	7.533852e+00	8.867705e+00
brain_stem	6.831101e-01	3.755311e-02	1.874484e+00	2.968044e+05	-2.757817e+02	5.595633e+02	1.142756e+00	2.930786e+00	4.233074e+00
left_hippocampus	8.223739e-01	4.668707e-02	5.919222e-01	1.261424e+06	-3.018634e+02	6.117267e+02	2.290070e+00	1.015827e+01	6.863433e+00
left_amygdala	7.139849e-01	5.820153e-02	2.083096e+00	2.325237e+06	-3.128298e+02	6.336596e+02	3.235013e+00	5.298645e+00	5.466473e+00
csf	3.210532e-01	1.082343e-02	-8.236612e-02	1.840567e+05	-2.671787e+02	5.423574e+02	1.891892e+00	1.085414e+01	-9.187397e+01
left_accumbens_area	1.132141e+00	5.906279e-02	2.260708e+00	8.347029e+06	-3.358415e+02	6.796831e+02	3.837109e+00	1.276154e+01	1.026475e+01
left_ventraldc	7.616566e-01	4.317787e-02	2.481504e+00	1.047849e+06	-2.984830e+02	6.049660e+02	1.913719e+00	4.583142e+00	6.621314e+00
left_choroid_plexus	6.507155e-01	7.753113e-03	1.014198e+00	2.206129e+06	-3.118897e+02	6.317795e+02	3.001640e+00	7.999283e+01	2.270474e+02
right_cerebral_white_matter	6.456966e-01	2.434318e-02	4.329144e-01	2.972538e+04	-2.343573e+02	4.767146e+02	3.971776e-01	2.388196e+00	3.586129e+00
right_cerebellum_white_matter	7.974743e-01	3.073004e-02	2.022228e-01	1.233966e+05	-2.599788e+02	5.279575e+02	7.119059e-01	7.229061e+00	7.782844e+00
right_cerebellum_cortex	8.908726e-01	2.438366e-02	-1.296712e-02	9.483509e+03	-2.138001e+02	4.356003e+02	1.751977e-01	9.780118e+00	-3.555072e+01
right_thalamus	9.528763e-01	5.332431e-02	2.438078e+00	4.995593e+05	-2.851551e+02	5.783102e+02	1.087839e+00	2.928611e+00	3.077509e+00
right_caudate	8.637286e-01	8.314134e-02	1.106800e+00	1.625234e+06	-3.063963e+02	6.207926e+02	2.733877e+00	5.834746e+00	2.765777e+00
right_putamen	1.150765e+00	7.251383e-02	1.854178e+00	1.065914e+06	-2.987952e+02	6.055904e+02	1.447794e+00	4.416543e+00	2.519180e+00
right_pallidum	6.981438e-01	3.452403e-02	2.630895e+00	1.690899e+06	-3.071024e+02	6.222047e+02	2.580980e+00	6.997245e+00	1.312751e+01
right_hippocampus	7.908816e-01	4.501469e-02	7.273686e-01	1.333217e+06	-3.028271e+02	6.136542e+02	2.371050e+00	9.082599e+00	6.896246e+00
right_amygdala	7.072610e-01	5.775803e-02	2.097333e+00	2.391499e+06	-3.133414e+02	6.346828e+02	3.304652e+00	5.367566e+00	5.626066e+00
right_accumbens_area	1.033830e+00	4.550939e-02	2.434613e+00	6.678202e+06	-3.318221e+02	6.716441e+02	3.588023e+00	1.342915e+01	1.505814e+01
right_ventraldc	7.182586e-01	4.514838e-02	2.207593e+00	6.077164e+05	-2.886760e+02	5.853521e+02	1.570163e+00	3.363436e+00	4.479008e+00
right_choroid_plexus	6.289053e-01	4.143484e-03	4.354045e+06	3.864526e+06	-3.219792e+02	6.519585e+02	2.762810e+00	1.113966e+01	1.665907e-24
