MRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	7.272355e-02	1.360934e+00	2.416837e+00	1.373088e+06	-3.034784e+02	6.149568e+02	4.419244e+00	5.278568e-01	6.734186e-01
left_cerebral_white_matter	7.272355e-02	5.746351e-01	2.372974e-01	9.802199e+05	-2.973061e+02	6.026123e+02	4.419244e+00	1.121895e+00	4.536077e+00
left_cerebellum_white_matter	7.272355e-02	7.534216e-01	1.250109e-01	7.452967e+05	-2.923497e+02	5.926994e+02	4.419244e+00	8.483413e-01	4.101438e+00
left_cerebellum_cortex	7.272355e-02	8.990772e-01	-3.476384e-02	9.688313e+04	-2.556244e+02	5.192489e+02	4.419244e+00	2.959865e-01	-3.211891e+00
left_thalamus	7.272355e-02	8.666500e-01	1.899594e+00	1.229588e+06	-3.013619e+02	6.107239e+02	4.419244e+00	7.332327e-01	1.363079e+00
left_caudate	7.272355e-02	9.350546e-01	1.236744e+00	3.061903e+06	-3.179819e+02	6.439638e+02	4.419244e+00	1.158264e+00	1.791538e+00
left_putamen	7.272355e-02	1.175506e+00	1.896202e+00	1.920102e+06	-3.093909e+02	6.267818e+02	4.419244e+00	7.288155e-01	9.854462e-01
left_pallidum	7.272355e-02	7.073557e-01	1.645191e+00	2.884492e+06	-3.167153e+02	6.414305e+02	4.419244e+00	1.342046e+00	2.946332e+00
brain_stem	7.272355e-02	6.297171e-01	1.479177e+00	8.695865e+05	-2.951388e+02	5.982777e+02	4.419244e+00	8.223600e-01	1.989217e+00
left_hippocampus	7.272355e-02	7.846471e-01	5.308574e-01	1.628977e+06	-3.064241e+02	6.208482e+02	4.419244e+00	1.086867e+00	2.193808e+00
left_amygdala	7.272355e-02	7.428159e-01	2.239336e+00	2.519387e+06	-3.142958e+02	6.365916e+02	4.419244e+00	1.151935e+00	2.665937e+00
csf	7.272355e-02	2.773847e-01	-3.128822e-01	6.585534e+05	-2.903273e+02	5.886547e+02	4.419244e+00	1.827932e+00	-3.597674e+00
left_accumbens_area	7.272355e-02	1.045500e+00	1.911172e+00	9.872285e+06	-3.388594e+02	6.857188e+02	4.419244e+00	1.808237e+00	2.785304e+00
left_ventraldc	7.272355e-02	7.055130e-01	2.018435e+00	1.709423e+06	-3.072938e+02	6.225876e+02	4.419244e+00	1.009447e+00	2.376262e+00
left_choroid_plexus	7.272355e-02	5.639192e-01	-6.406019e-02	4.491666e+06	-3.246811e+02	6.573622e+02	4.419244e+00	2.702542e+00	-2.373009e+01
right_cerebral_white_matter	7.272355e-02	5.776972e-01	2.147979e-01	9.818250e+05	-2.973422e+02	6.026844e+02	4.419244e+00	1.125389e+00	4.818275e+00
right_cerebellum_white_matter	7.272355e-02	7.461824e-01	1.215605e-01	6.309040e+05	-2.893503e+02	5.867007e+02	4.419244e+00	7.858514e-01	3.920371e+00
right_cerebellum_cortex	7.272355e-02	8.704605e-01	-3.944801e-02	1.052459e+05	-2.571261e+02	5.222521e+02	4.419244e+00	3.144480e-01	-3.070848e+00
right_thalamus	7.272355e-02	8.856181e-01	2.068572e+00	1.416558e+06	-3.039304e+02	6.158608e+02	4.419244e+00	7.646978e-01	1.433529e+00
right_caudate	7.272355e-02	9.326812e-01	1.205397e+00	2.370851e+06	-3.134465e+02	6.348930e+02	4.419244e+00	1.022916e+00	1.584648e+00
right_putamen	7.272355e-02	1.111402e+00	1.760334e+00	1.353610e+06	-3.030962e+02	6.141923e+02	4.419244e+00	6.459638e-01	9.050809e-01
right_pallidum	7.272355e-02	6.236303e-01	1.776564e+00	2.867299e+06	-3.166138e+02	6.412276e+02	4.419244e+00	1.478538e+00	3.796479e+00
right_hippocampus	7.272355e-02	7.503355e-01	6.450691e-01	1.662292e+06	-3.067914e+02	6.215829e+02	4.419244e+00	1.102851e+00	2.215928e+00
right_amygdala	7.272355e-02	7.364176e-01	2.261220e+00	2.586721e+06	-3.148111e+02	6.376222e+02	4.419244e+00	1.172517e+00	2.747266e+00
right_accumbens_area	7.272355e-02	9.177101e-01	1.775481e+00	9.434482e+06	-3.380466e+02	6.840933e+02	4.419244e+00	1.980732e+00	3.399783e+00
right_ventraldc	7.272355e-02	6.860261e-01	1.966660e+00	8.148310e+05	-2.939615e+02	5.959231e+02	4.419244e+00	7.151944e-01	1.713846e+00
right_choroid_plexus	7.272355e-02	5.393783e-01	-1.244566e-01	7.361622e+06	-3.335796e+02	6.751591e+02	4.419244e+00	3.658146e+00	-1.520018e+01
aircavity	7.272355e-02	1.361384e-01	-7.235915e-01	2.873937e+05	-2.756923e+02	5.593846e+02	4.419244e+00	2.656876e+00	-7.452828e-01
skull	7.272355e-02	1.306742e-01	-7.329037e-01	4.467656e+05	-2.836786e+02	5.753573e+02	4.419244e+00	3.472244e+00	-9.377375e-01
vermis	7.272355e-02	7.787492e-01	-8.596405e-02	1.490397e+06	-3.048664e+02	6.177327e+02	4.419244e+00	1.292468e+00	-5.861254e+00
pons	7.272355e-02	7.795467e-01	9.617955e-01	1.473918e+06	-3.046291e+02	6.172582e+02	4.419244e+00	9.617687e-01	1.780969e+00
csf_extracerebral	7.272355e-02	5.405191e-01	-2.492498e-01	3.986358e+05	-2.811349e+02	5.702698e+02	4.419244e+00	8.929829e-01	-1.347363e+00
head_extracerebral	7.272355e-02	8.735806e-02	-6.028540e-01	2.885641e+05	-2.764507e+02	5.609014e+02	4.419244e+00	3.415632e+00	-3.795060e+00
ctx_lh_bankssts	7.272355e-02	1.024454e+00	5.052895e-01	1.836219e+06	-3.085943e+02	6.251886e+02	4.419244e+00	9.795984e-01	1.537686e+00
ctx_lh_caudalanteriorcingulate	7.272355e-02	1.016529e+00	8.043157e-01	2.736685e+06	-3.157653e+02	6.395306e+02	4.419244e+00	1.127295e+00	1.607164e+00
ctx_lh_caudalmiddlefrontal	7.272355e-02	1.112200e+00	2.547516e-01	7.850626e+05	-2.932902e+02	5.945805e+02	4.419244e+00	6.656406e-01	1.344458e+00
ctx_lh_cuneus	7.272355e-02	1.224115e+00	6.927676e-01	1.706197e+06	-3.072580e+02	6.225160e+02	4.419244e+00	8.113999e-01	9.849369e-01
ctx_lh_entorhinal	7.272355e-02	7.707321e-01	8.038355e-01	2.019509e+06	-3.103919e+02	6.287838e+02	4.419244e+00	1.151157e+00	2.163390e+00
ctx_lh_fusiform	7.272355e-02	9.102458e-01	5.209376e-01	1.495071e+06	-3.049822e+02	6.179644e+02	4.419244e+00	9.447648e-01	1.649465e+00
ctx_lh_inferiorparietal	7.272355e-02	9.990689e-01	2.710371e-01	8.727431e+05	-2.951962e+02	5.983924e+02	4.419244e+00	7.379189e-01	1.588222e+00
ctx_lh_inferiortemporal	7.272355e-02	9.098222e-01	3.562998e-01	8.329178e+05	-2.945781e+02	5.971562e+02	4.419244e+00	7.352277e-01	1.494586e+00
ctx_lh_isthmuscingulate	7.272355e-02	1.083702e+00	4.902639e-01	1.675771e+06	-3.069562e+02	6.219124e+02	4.419244e+00	9.081075e-01	1.366790e+00
ctx_lh_lateraloccipital	7.272355e-02	1.042749e+00	3.547195e-01	1.765945e+06	-3.079419e+02	6.238839e+02	4.419244e+00	9.951733e-01	1.779252e+00
ctx_lh_lateralorbitofrontal	7.272355e-02	1.116699e+00	5.422657e-01	1.619329e+06	-3.065154e+02	6.210308e+02	4.419244e+00	8.624537e-01	1.214542e+00
ctx_lh_lingual	7.272355e-02	1.092520e+00	5.658647e-01	1.707112e+06	-3.072868e+02	6.225735e+02	4.419244e+00	8.963488e-01	1.276978e+00
ctx_lh_medialorbitofrontal	7.272355e-02	1.050185e+00	6.662593e-01	1.449210e+06	-3.043777e+02	6.167553e+02	4.419244e+00	8.234648e-01	1.171514e+00
ctx_lh_middletemporal	7.272355e-02	9.812065e-01	3.818736e-01	9.919236e+05	-2.977432e+02	6.034864e+02	4.419244e+00	7.641866e-01	1.398163e+00
ctx_lh_parahippocampal	7.272355e-02	7.838174e-01	6.747709e-01	2.445534e+06	-3.137680e+02	6.355360e+02	4.419244e+00	1.280034e+00	2.433365e+00
ctx_lh_paracentral	7.272355e-02	1.118602e+00	5.758895e-01	8.781060e+05	-2.953021e+02	5.986041e+02	4.419244e+00	6.304868e-01	8.724213e-01
ctx_lh_parsopercularis	7.272355e-02	1.154052e+00	4.416784e-01	1.372736e+06	-3.033527e+02	6.147054e+02	4.419244e+00	8.078120e-01	1.189507e+00
ctx_lh_parsorbitalis	7.272355e-02	1.151098e+00	3.850183e-01	1.505594e+06	-3.051591e+02	6.183182e+02	4.419244e+00	8.575125e-01	1.339835e+00
ctx_lh_parstriangularis	7.272355e-02	1.178105e+00	5.113128e-01	1.779951e+06	-3.080806e+02	6.241612e+02	4.419244e+00	8.902459e-01	1.217758e+00
ctx_lh_pericalcarine	7.272355e-02	1.337663e+00	6.564094e-01	3.963314e+06	-3.224291e+02	6.528582e+02	4.419244e+00	1.194255e+00	1.350188e+00
ctx_lh_postcentral	7.272355e-02	1.030988e+00	4.800690e-01	7.867618e+05	-2.933487e+02	5.946975e+02	4.419244e+00	6.438227e-01	1.023197e+00
ctx_lh_posteriorcingulate	7.272355e-02	1.132571e+00	7.074318e-01	1.692533e+06	-3.071189e+02	6.222378e+02	4.419244e+00	8.450149e-01	1.104874e+00
ctx_lh_precentral	7.272355e-02	1.167758e+00	3.577772e-01	8.488695e+05	-2.946916e+02	5.973833e+02	4.419244e+00	6.492741e-01	1.037771e+00
ctx_lh_precuneus	7.272355e-02	1.127763e+00	4.548415e-01	8.677551e+05	-2.950877e+02	5.981753e+02	4.419244e+00	6.484928e-01	9.650058e-01
ctx_lh_rostralanteriorcingulate	7.272355e-02	1.045820e+00	7.655834e-01	1.936374e+06	-3.095427e+02	6.270853e+02	4.419244e+00	9.391770e-01	1.312161e+00
ctx_lh_rostralmiddlefrontal	7.272355e-02	1.099952e+00	4.339814e-01	7.452387e+05	-2.924119e+02	5.928237e+02	4.419244e+00	6.115993e-01	9.490604e-01
ctx_lh_superiorfrontal	7.272355e-02	1.119225e+00	3.836477e-01	4.413803e+05	-2.829244e+02	5.738489e+02	4.419244e+00	4.749884e-01	7.652156e-01
ctx_lh_superiorparietal	7.272355e-02	9.803052e-01	2.999128e-01	9.448969e+05	-2.966207e+02	6.012414e+02	4.419244e+00	7.687068e-01	1.591873e+00
ctx_lh_superiortemporal	7.272355e-02	9.495145e-01	6.043430e-01	1.400934e+06	-3.037390e+02	6.154781e+02	4.419244e+00	8.736590e-01	1.402305e+00
ctx_lh_supramarginal	7.272355e-02	1.035105e+00	3.534970e-01	8.268653e+05	-2.942462e+02	5.964924e+02	4.419244e+00	6.842693e-01	1.234722e+00
