SRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	6.807404e-02	1.236757e+00	2.240293e+00	9.595896e+05	-2.969398e+02	6.018796e+02	5.078757e+00	7.085379e-01	1.107452e+00
left_cerebral_white_matter	6.807404e-02	5.724962e-01	1.730110e-01	4.215877e+05	-2.821068e+02	5.722136e+02	5.078757e+00	1.138250e+00	7.089638e+00
left_cerebellum_white_matter	6.807404e-02	7.470612e-01	6.638076e-02	3.161467e+05	-2.769279e+02	5.618558e+02	5.078757e+00	9.274234e-01	1.151146e+01
left_cerebellum_cortex	6.807404e-02	9.087880e-01	-3.946242e-02	2.877235e+04	-2.337712e+02	4.755424e+02	5.078757e+00	2.816260e-01	-4.786976e+00
left_thalamus	6.807404e-02	8.216508e-01	1.592451e+00	9.835318e+05	-2.973434e+02	6.026867e+02	5.078757e+00	1.002149e+00	2.041000e+00
left_caudate	6.807404e-02	8.399203e-01	1.107304e+00	1.521744e+06	-3.053216e+02	6.186433e+02	5.078757e+00	1.338858e+00	2.668575e+00
left_putamen	6.807404e-02	1.037736e+00	1.839469e+00	1.282789e+06	-3.021270e+02	6.122541e+02	5.078757e+00	9.585896e-01	1.651839e+00
left_pallidum	6.807404e-02	6.831735e-01	1.475269e+00	2.026435e+06	-3.103605e+02	6.287210e+02	5.078757e+00	1.647252e+00	3.898660e+00
brain_stem	6.807404e-02	5.731443e-01	1.223860e+00	5.720159e+05	-2.876362e+02	5.832724e+02	5.078757e+00	1.020099e+00	2.782958e+00
left_hippocampus	6.807404e-02	7.243191e-01	4.408495e-01	7.359797e+05	-2.921300e+02	5.922600e+02	5.078757e+00	1.206843e+00	3.562537e+00
left_amygdala	6.807404e-02	6.811765e-01	1.935185e+00	1.335030e+06	-3.028422e+02	6.136845e+02	5.078757e+00	1.270019e+00	3.191580e+00
csf	6.807404e-02	2.434259e-01	-4.264557e-01	5.713325e+05	-2.876282e+02	5.832565e+02	5.078757e+00	2.912222e+00	-3.927848e+00
left_accumbens_area	6.807404e-02	9.327492e-01	1.681315e+00	8.857124e+06	-3.369078e+02	6.818155e+02	5.078757e+00	2.746447e+00	5.080008e+00
