MRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	6.776418e-02	1.238090e+00	2.243427e+00	9.951895e+05	-2.976145e+02	6.032290e+02	4.672814e+00	5.764628e-01	8.469124e-01
left_cerebral_white_matter	6.776418e-02	5.694611e-01	1.756970e-01	5.480864e+05	-2.868377e+02	5.816754e+02	4.672814e+00	1.002295e+00	5.400310e+00
left_cerebellum_white_matter	6.776418e-02	7.422952e-01	6.951940e-02	4.297480e+05	-2.824620e+02	5.729240e+02	4.672814e+00	7.652647e-01	6.662866e+00
left_cerebellum_cortex	6.776418e-02	9.065621e-01	-3.879889e-02	4.401942e+04	-2.414247e+02	4.908495e+02	4.672814e+00	2.268711e-01	-2.388487e+00
left_thalamus	6.776418e-02	8.210982e-01	1.594593e+00	1.058057e+06	-2.986570e+02	6.053140e+02	4.672814e+00	8.615921e-01	1.731768e+00
left_caudate	6.776418e-02	8.431959e-01	1.109219e+00	1.718724e+06	-3.075612e+02	6.231223e+02	4.672814e+00	1.117770e+00	2.050559e+00
left_putamen	6.776418e-02	1.038022e+00	1.841439e+00	1.299480e+06	-3.023596e+02	6.127191e+02	4.672814e+00	7.792590e-01	1.280255e+00
left_pallidum	6.776418e-02	6.827655e-01	1.481771e+00	2.062627e+06	-3.106787e+02	6.293575e+02	4.672814e+00	1.400640e+00	3.338973e+00
brain_stem	6.776418e-02	5.732620e-01	1.226083e+00	6.097322e+05	-2.888075e+02	5.856150e+02	4.672814e+00	9.038901e-01	2.507764e+00
left_hippocampus	6.776418e-02	7.216026e-01	4.438238e-01	8.486621e+05	-2.946940e+02	5.973879e+02	4.672814e+00	9.889301e-01	2.504911e+00
left_amygdala	6.776418e-02	6.827820e-01	1.939010e+00	1.356641e+06	-3.031321e+02	6.142643e+02	4.672814e+00	1.103978e+00	2.828124e+00
csf	6.776418e-02	2.398129e-01	-4.230095e-01	6.958924e+05	-2.912291e+02	5.904582e+02	4.672814e+00	2.598796e+00	-3.357333e+00
left_accumbens_area	6.776418e-02	9.359621e-01	1.677687e+00	9.030876e+06	-3.372568e+02	6.825136e+02	4.672814e+00	2.238783e+00	3.964973e+00
left_ventraldc	6.776418e-02	6.648269e-01	1.532695e+00	8.263088e+05	-2.942068e+02	5.964135e+02	4.672814e+00	9.050940e-01	2.239562e+00
left_choroid_plexus	6.776418e-02	4.625713e-01	-1.641750e-01	7.681981e+06	-3.343573e+02	6.767146e+02	4.672814e+00	4.973178e+00	-1.821273e+01
right_cerebral_white_matter	6.776418e-02	5.668702e-01	1.485038e-01	5.469417e+05	-2.868054e+02	5.816108e+02	4.672814e+00	1.011469e+00	6.181297e+00
right_cerebellum_white_matter	6.776418e-02	7.433079e-01	6.629947e-02	4.015716e+05	-2.812397e+02	5.704793e+02	4.672814e+00	7.403665e-01	6.712863e+00
right_cerebellum_cortex	6.776418e-02	8.695568e-01	-4.816005e-02	8.707765e+04	-2.537200e+02	5.154400e+02	4.672814e+00	3.283237e-01	-2.839521e+00
right_thalamus	6.776418e-02	8.610160e-01	1.766064e+00	2.382631e+06	-3.132686e+02	6.345372e+02	4.672814e+00	1.235625e+00	2.437043e+00
right_caudate	6.776418e-02	8.331076e-01	1.102003e+00	1.301913e+06	-3.025855e+02	6.131709e+02	4.672814e+00	9.860134e-01	1.834095e+00
right_putamen	6.776418e-02	9.738968e-01	1.727199e+00	8.382034e+05	-2.944704e+02	5.969408e+02	4.672814e+00	6.619796e-01	1.136546e+00
right_pallidum	6.776418e-02	5.872860e-01	1.419898e+00	1.106048e+06	-2.994612e+02	6.069224e+02	4.672814e+00	1.172945e+00	3.239707e+00
right_hippocampus	6.776418e-02	7.110863e-01	5.083052e-01	7.046874e+05	-2.913436e+02	5.906872e+02	4.672814e+00	8.981928e-01	2.198660e+00
right_amygdala	6.776418e-02	6.462259e-01	2.179049e+00	1.227861e+06	-3.013627e+02	6.107255e+02	4.672814e+00	1.086115e+00	3.074401e+00
right_accumbens_area	6.776418e-02	8.280616e-01	1.694584e+00	5.720605e+06	-3.290365e+02	6.660730e+02	4.672814e+00	1.973398e+00	3.995436e+00
right_ventraldc	6.776418e-02	6.684852e-01	1.623516e+00	1.436220e+06	-3.041573e+02	6.163147e+02	4.672814e+00	1.185421e+00	2.963238e+00
right_choroid_plexus	6.776418e-02	4.857455e-01	-3.070506e-01	5.792989e+06	-3.292626e+02	6.665251e+02	4.672814e+00	4.402010e+00	-5.676213e+00
aircavity	6.776418e-02	1.789918e-01	-6.953224e-01	3.258639e+05	-2.777596e+02	5.635191e+02	4.672814e+00	2.644112e+00	-7.777377e-01
skull	6.776418e-02	2.036978e-01	-6.660376e-01	6.022451e+05	-2.887214e+02	5.854429e+02	4.672814e+00	3.221103e+00	-1.050229e+00
vermis	6.776418e-02	7.848931e-01	-1.189962e-01	1.307225e+06	-3.025212e+02	6.130423e+02	4.672814e+00	1.391536e+00	-4.605240e+00
pons	6.776418e-02	6.667813e-01	8.269244e-01	2.639467e+05	-2.736705e+02	5.553409e+02	4.672814e+00	5.455470e-01	1.284146e+00
csf_extracerebral	6.776418e-02	5.650996e-01	-2.291873e-01	3.325525e+05	-2.778656e+02	5.637312e+02	4.672814e+00	9.052292e-01	-1.639395e+00
head_extracerebral	6.776418e-02	1.434706e-01	-5.875545e-01	5.465554e+05	-2.873889e+02	5.827777e+02	4.672814e+00	3.719948e+00	-2.970399e+00
ctx_lh_bankssts	6.776418e-02	1.025931e+00	5.035974e-01	1.292353e+06	-3.022582e+02	6.125164e+02	4.672814e+00	9.512105e-01	1.626850e+00
ctx_lh_caudalanteriorcingulate	6.776418e-02	9.462075e-01	8.115708e-01	1.830810e+06	-3.085336e+02	6.250671e+02	4.672814e+00	1.119942e+00	1.853222e+00
ctx_lh_caudalmiddlefrontal	6.776418e-02	1.141223e+00	2.621514e-01	5.885021e+05	-2.881497e+02	5.842995e+02	4.672814e+00	6.458438e-01	1.371421e+00
ctx_lh_cuneus	6.776418e-02	1.161437e+00	5.763573e-01	9.224220e+05	-2.961978e+02	6.003956e+02	4.672814e+00	7.285116e-01	1.058602e+00
ctx_lh_entorhinal	6.776418e-02	7.094034e-01	7.876843e-01	1.209957e+06	-3.011467e+02	6.102934e+02	4.672814e+00	1.115319e+00	2.467261e+00
ctx_lh_fusiform	6.776418e-02	9.016764e-01	4.844447e-01	4.193272e+05	-2.820027e+02	5.720054e+02	4.672814e+00	5.904844e-01	1.158613e+00
