SRTM	R1	k2	BPnd	MSE	LogLikelihood	AIC	%Cov R1	%Cov k2	%Cov BPnd
highbinding	1.236757e+00	8.419106e-02	2.240293e+00	9.595896e+05	-2.969398e+02	6.018796e+02	1.399549e+00	3.944255e+00	2.188159e+00
left_cerebral_white_matter	2.686387e-01	1.344970e-02	5.482312e-01	1.105803e+05	-2.580310e+02	5.240620e+02	1.868860e+00	5.016275e+00	2.176843e+01
left_cerebellum_white_matter	7.181656e-01	2.985188e-02	1.596059e-01	2.005179e+05	-2.687230e+02	5.454460e+02	1.099313e+00	9.354496e+00	1.424718e+01
left_cerebellum_cortex	1.020788e+00	6.423419e-03	-2.290499e-02	2.301510e+04	-2.297573e+02	4.675146e+02	2.202221e-01	2.791261e+02	-4.074551e+02
left_thalamus	1.039596e+00	5.585341e-02	2.291053e+00	9.086944e+05	-2.959184e+02	5.998368e+02	1.491572e+00	4.704466e+00	4.281843e+00
left_caudate	1.170022e+00	1.340085e-01	1.892193e+00	2.843138e+06	-3.164515e+02	6.409030e+02	3.068562e+00	6.008247e+00	2.062167e+00
left_putamen	1.458634e+00	9.195018e-02	2.724556e+00	2.456999e+06	-3.138248e+02	6.356496e+02	1.876280e+00	5.831576e+00	3.123510e+00
left_pallidum	6.781068e-01	3.595400e-02	2.286142e+00	4.527667e+06	-3.248315e+02	6.576630e+02	4.833661e+00	1.274440e+01	2.151813e+01
brain_stem	6.984362e-01	3.978809e-02	2.822684e+00	4.703092e+05	-2.840678e+02	5.761356e+02	1.505333e+00	3.500088e+00	6.173760e+00
left_hippocampus	9.292484e-01	6.418947e-02	4.578914e-01	1.088367e+06	-2.991660e+02	6.063320e+02	2.341309e+00	1.317370e+01	5.568096e+00
left_amygdala	7.713360e-01	6.792302e-02	3.023375e+00	3.373001e+06	-3.195261e+02	6.470522e+02	3.870011e+00	5.626214e+00	6.310377e+00
csf	7.810924e-02	3.218875e-04	-3.485478e+04	4.557254e+05	-2.835290e+02	5.750579e+02	8.691983e+00	5.754979e+01	-6.292083e-19
left_accumbens_area	1.295914e+00	1.321521e-01	4.087790e+00	2.691760e+07	-3.569173e+02	7.218345e+02	7.073576e+00	1.026690e+01	6.354574e+00
left_ventraldc	7.930166e-01	4.493842e-02	2.542983e+00	1.037801e+06	-2.983138e+02	6.046275e+02	2.010054e+00	5.042522e+00	7.018048e+00
left_choroid_plexus	1.069207e+00	-5.656205e-04	1.400939e+08	3.148989e+07	-3.597350e+02	7.274699e+02	5.278291e+00	-2.722437e+02	3.302786e-29
right_cerebral_white_matter	2.711054e-01	1.358038e-02	4.347934e-01	9.927968e+04	-2.561058e+02	5.202116e+02	1.766867e+00	4.855904e+00	2.206676e+01
right_cerebellum_white_matter	7.304946e-01	3.045415e-02	1.727829e-01	2.040291e+05	-2.690366e+02	5.460733e+02	1.092441e+00	9.365369e+00	1.309443e+01
right_cerebellum_cortex	9.792123e-01	6.724600e-03	2.290485e-02	2.301510e+04	-2.297573e+02	4.675146e+02	2.295728e-01	2.604995e+02	4.074307e+02
right_thalamus	1.179050e+00	5.018915e-02	3.229018e+00	1.263631e+06	-3.018537e+02	6.117075e+02	1.480894e+00	5.775561e+00	6.905979e+00
right_caudate	1.187796e+00	1.185509e-01	1.851918e+00	2.707031e+06	-3.155767e+02	6.391533e+02	2.824974e+00	6.283795e+00	2.316960e+00
right_putamen	1.291234e+00	8.760387e-02	2.416726e+00	1.804898e+06	-3.082734e+02	6.245467e+02	1.832639e+00	5.137900e+00	2.840971e+00
right_pallidum	5.652489e-01	3.694601e-02	1.929757e+00	2.223629e+06	-3.120314e+02	6.320627e+02	4.125136e+00	8.308699e+00	1.368399e+01
right_hippocampus	9.107990e-01	5.952467e-02	5.487473e-01	1.215738e+06	-3.011639e+02	6.103279e+02	2.399241e+00	1.202248e+01	5.758828e+00
right_amygdala	6.552037e-01	6.880562e-02	3.028237e+00	2.142505e+06	-3.113576e+02	6.307152e+02	3.637624e+00	4.160790e+00	4.917509e+00
right_accumbens_area	9.092820e-01	8.279056e-02	4.436360e+00	2.492126e+07	-3.555257e+02	7.190513e+02	8.790408e+00	1.174164e+01	1.407639e+01
right_ventraldc	8.661689e-01	4.362106e-02	3.248687e+00	1.463817e+06	-3.045005e+02	6.170010e+02	2.138747e+00	5.980636e+00	9.712654e+00
right_choroid_plexus	1.111703e+00	-6.621828e-03	8.636263e+07	4.052131e+07	-3.642779e+02	7.365559e+02	5.758674e+00	-2.637917e+01	1.727676e-27
aircavity	2.083631e-01	3.064638e-03	-4.434068e-01	9.444591e+04	-2.552629e+02	5.185258e+02	2.165104e+00	4.557204e+01	-6.028633e+01
skull	1.589141e-01	-4.656330e-03	-8.486708e-01	1.549948e+05	-2.641555e+02	5.363111e+02	2.729742e+00	-4.334656e+01	-1.259235e+00
vermis	7.249414e-01	1.628300e-02	-2.277749e-01	3.243328e+06	-3.188298e+02	6.456596e+02	4.195844e+00	5.052537e+02	-5.575102e+01
pons	7.164194e-01	4.825083e-02	8.617292e-01	3.621266e+05	-2.793587e+02	5.667174e+02	1.483305e+00	4.253839e+00	3.508559e+00
csf_extracerebral	1.437006e-01	-1.542110e-03	-9.057314e-01	3.904112e+05	-2.809086e+02	5.698172e+02	5.324048e+00	-1.193157e+02	-6.281113e+00
head_extracerebral	2.006382e-01	1.971360e-03	-1.480101e+00	2.337449e+05	-2.717001e+02	5.514002e+02	3.257235e+00	5.920285e+01	-4.827209e+01
ctx_lh_bankssts	1.347734e+00	3.363100e-01	9.330784e-01	1.617645e+06	-3.063053e+02	6.206107e+02	3.950200e+00	1.957989e+01	2.759567e+00
ctx_lh_caudalanteriorcingulate	1.404136e+00	1.173054e-01	1.735238e+00	6.452139e+06	-3.312025e+02	6.704050e+02	3.733798e+00	1.237817e+01	3.683648e+00
ctx_lh_caudalmiddlefrontal	1.713433e+00	2.401122e-06	-9.973458e-01	1.440268e+06	-3.042709e+02	6.165419e+02	7.132987e-01	2.227772e+01	-1.622125e-04
ctx_lh_cuneus	1.770566e+00	4.152988e-01	1.416671e+00	4.626492e+06	-3.252137e+02	6.584273e+02	5.106019e+00	3.026013e+01	3.052152e+00
ctx_lh_entorhinal	8.774414e-01	8.907479e-02	1.294916e+00	2.068841e+06	-3.107267e+02	6.294534e+02	3.260115e+00	6.535676e+00	3.144929e+00
ctx_lh_fusiform	1.086924e+00	1.111281e-01	8.079713e-01	8.084322e+05	-2.938172e+02	5.956343e+02	2.010150e+00	7.740875e+00	2.014292e+00
ctx_lh_inferiorparietal	1.447058e+00	3.676748e-01	7.449030e-01	9.656970e+05	-2.970440e+02	6.020880e+02	2.392196e+00	2.669111e+01	2.767405e+00
ctx_lh_inferiortemporal	1.216088e+00	1.885325e-01	6.720416e-01	5.122837e+05	-2.856032e+02	5.792065e+02	2.082110e+00	1.171806e+01	1.647209e+00
ctx_lh_isthmuscingulate	1.282545e+00	3.720708e-01	7.372544e-01	3.326523e+06	-3.192796e+02	6.465593e+02	4.908018e+00	3.110986e+01	5.172582e+00
ctx_lh_lateraloccipital	1.906281e+00	-1.442222e-06	-9.966716e-01	5.252943e+06	-3.275636e+02	6.631273e+02	1.201866e+00	-7.446633e+01	-9.255041e-06
ctx_lh_lateralorbitofrontal	1.478087e+00	2.442805e-01	1.012919e+00	4.182413e+05	-2.819524e+02	5.719047e+02	1.627040e+00	9.429486e+00	1.013473e+00
ctx_lh_lingual	1.717155e+00	3.548999e-01	1.150109e+00	1.769961e+06	-3.079209e+02	6.238418e+02	3.281262e+00	2.826082e+01	2.264804e+00
ctx_lh_medialorbitofrontal	1.338165e+00	1.592876e-01	1.184405e+00	3.214147e+06	-3.186588e+02	6.453175e+02	3.576439e+00	1.331821e+01	2.479654e+00
ctx_lh_middletemporal	1.196758e+00	3.250325e-01	6.979351e-01	4.293176e+05	-2.824426e+02	5.728852e+02	2.151079e+00	1.130498e+01	1.971139e+00
ctx_lh_parahippocampal	9.268356e-01	6.445960e-02	1.042350e+00	2.906983e+06	-3.168493e+02	6.416985e+02	3.422362e+00	1.122485e+01	6.105466e+00
ctx_lh_paracentral	1.344396e+00	2.258292e-01	1.033814e+00	1.466369e+06	-3.045379e+02	6.170758e+02	3.153108e+00	1.286731e+01	1.804566e+00
ctx_lh_parsopercularis	1.705643e+00	4.304020e-01	1.013507e+00	2.157227e+06	-3.114965e+02	6.309930e+02	2.977997e+00	3.808128e+01	3.031134e+00
ctx_lh_parsorbitalis	1.528608e+00	3.733057e-01	9.153106e-01	3.335010e+06	-3.193373e+02	6.466746e+02	4.612673e+00	4.109834e+01	4.199966e+00
