Logan Ref	Kappa2	BPnd	k2ref	MSE	LogLikelihood	AIC	%Cov Kappa2	%Cov BPnd	%Cov k2ref
highbinding	5.618383e-02	2.000598e+00	1.000000e+06	2.663388e-01	-2.512197e+00	1.302439e+01	4.503457e+00	1.556575e+00	NaN
left_cerebral_white_matter	6.524913e-02	1.598650e-01	1.000000e+06	5.978065e-01	-4.937690e+00	1.787538e+01	7.941957e+00	1.135644e+01	NaN
left_cerebellum_white_matter	1.363099e-01	7.086329e-02	1.000000e+06	1.204355e-01	-1.312306e-01	8.262461e+00	5.964082e+00	8.166664e+00	NaN
left_cerebellum_cortex	8.289417e-01	-3.711231e-02	1.000000e+06	8.023023e-03	7.995166e+00	-7.990332e+00	8.173708e+00	-2.936153e+00	NaN
left_thalamus	4.239981e-02	1.368035e+00	1.000000e+06	2.296598e-01	-2.067686e+00	1.213537e+01	3.587819e+00	1.862102e+00	NaN
left_caudate	6.907958e-02	9.077576e-01	1.000000e+06	1.910475e-01	-1.515454e+00	1.103091e+01	4.173100e+00	1.655054e+00	NaN
left_putamen	5.232440e-02	1.619464e+00	1.000000e+06	1.063599e+00	-6.666129e+00	2.133226e+01	8.986980e+00	3.600543e+00	NaN
left_pallidum	3.611687e-02	1.213521e+00	1.000000e+06	5.921344e-01	-4.909089e+00	1.781818e+01	5.231812e+00	3.254684e+00	NaN
brain_stem	3.309389e-02	9.768723e-01	1.000000e+06	1.030835e+00	-6.572263e+00	2.114453e+01	7.165730e+00	5.353273e+00	NaN
left_hippocampus	7.056682e-02	4.192819e-01	1.000000e+06	2.820658e-01	-2.684310e+00	1.336862e+01	5.565873e+00	3.402174e+00	NaN
left_amygdala	3.436126e-02	1.429217e+00	1.000000e+06	1.188558e+00	-6.999376e+00	2.199875e+01	7.599412e+00	4.676999e+00	NaN
csf	4.381612e-02	-4.100430e-01	1.000000e+06	9.486574e-01	-6.323032e+00	2.064606e+01	8.168114e+00	-3.361388e+00	NaN
left_accumbens_area	6.930322e-02	1.270136e+00	1.000000e+06	4.164929e+00	-1.076125e+01	2.952250e+01	1.956631e+01	6.841716e+00	NaN
left_ventraldc	3.690191e-02	1.190925e+00	1.000000e+06	1.314554e+00	-7.301647e+00	2.260329e+01	8.041405e+00	5.051189e+00	NaN
