SRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	7.282301e-02	1.360850e+00	2.415885e+00	1.311716e+06	-3.026177e+02	6.132353e+02	4.859493e+00	6.700368e-01	9.029598e-01
left_cerebral_white_matter	7.282301e-02	2.545479e-01	2.958936e-01	1.944008e+05	-2.686318e+02	5.452635e+02	4.859493e+00	1.051890e+00	8.323986e+00
left_cerebellum_white_matter	7.282301e-02	7.030827e-01	1.537901e-01	6.640547e+05	-2.902748e+02	5.885496e+02	4.859493e+00	1.176448e+00	6.476646e+00
left_cerebellum_cortex	7.282301e-02	1.021856e+00	8.716367e-03	1.588382e+04	-2.230795e+02	4.541591e+02	4.859493e+00	1.818417e-01	1.259289e+01
left_thalamus	7.282301e-02	1.026707e+00	2.369283e+00	1.404467e+06	-3.037551e+02	6.155103e+02	4.859493e+00	8.145973e-01	1.373862e+00
left_caudate	7.282301e-02	1.490712e+00	2.336369e+00	8.868526e+06	-3.371362e+02	6.822724e+02	4.859493e+00	1.687310e+00	2.117416e+00
left_putamen	7.282301e-02	1.660644e+00	2.751974e+00	3.794041e+06	-3.216536e+02	6.513073e+02	4.859493e+00	9.857030e-01	1.188540e+00
left_pallidum	7.282301e-02	6.055644e-01	2.405070e+00	5.676256e+06	-3.289012e+02	6.658024e+02	4.859493e+00	2.325573e+00	6.585395e+00
brain_stem	7.282301e-02	7.418937e-01	2.788912e+00	9.578271e+05	-2.968661e+02	6.017322e+02	4.859493e+00	8.003937e-01	1.971086e+00
left_hippocampus	7.282301e-02	1.020446e+00	5.245165e-01	2.382717e+06	-3.133229e+02	6.346459e+02	4.859493e+00	1.634462e+00	3.335081e+00
left_amygdala	7.282301e-02	9.500234e-01	4.071070e+00	6.611296e+06	-3.317427e+02	6.714853e+02	4.859493e+00	1.622128e+00	3.831322e+00
csf	7.282301e-02	1.098559e-01	-8.023715e-01	6.162394e+05	-2.890350e+02	5.860699e+02	4.859493e+00	6.843823e+00	-1.297297e+00
left_accumbens_area	7.282301e-02	1.690946e+00	6.033489e+00	5.174651e+07	-3.686768e+02	7.453536e+02	4.859493e+00	2.750002e+00	4.738639e+00
left_ventraldc	7.282301e-02	8.073570e-01	2.804709e+00	2.473691e+06	-3.139482e+02	6.358964e+02	4.859493e+00	1.210120e+00	2.744068e+00
left_choroid_plexus	7.282301e-02	1.469194e+00	2.505059e-01	2.014163e+07	-3.516943e+02	7.113886e+02	4.859493e+00	5.085161e+00	1.443142e+01
right_cerebral_white_matter	7.282301e-02	2.634823e-01	2.200545e-01	2.039683e+05	-2.695789e+02	5.471578e+02	4.859493e+00	1.070478e+00	9.748683e+00
right_cerebellum_white_matter	7.282301e-02	7.048293e-01	1.724697e-01	5.062437e+05	-2.853895e+02	5.787791e+02	4.859493e+00	1.015688e+00	5.101095e+00
right_cerebellum_cortex	7.282301e-02	9.782442e-01	-8.646860e-03	1.585836e+04	-2.230508e+02	4.541016e+02	4.859493e+00	1.858292e-01	-1.286637e+01
right_thalamus	7.282301e-02	1.084911e+00	2.677863e+00	1.760869e+06	-3.078295e+02	6.236589e+02	4.859493e+00	8.520126e-01	1.428521e+00
right_caudate	7.282301e-02	1.439653e+00	2.196193e+00	5.888792e+06	-3.298580e+02	6.677161e+02	4.859493e+00	1.429887e+00	1.818827e+00
right_putamen	7.282301e-02	1.487168e+00	2.461004e+00	2.488202e+06	-3.140495e+02	6.360991e+02	4.859493e+00	8.775579e-01	1.113949e+00
right_pallidum	7.282301e-02	5.524170e-01	2.760817e+00	5.251902e+06	-3.274966e+02	6.629932e+02	4.859493e+00	2.342337e+00	7.784267e+00
right_hippocampus	7.282301e-02	9.529459e-01	6.758110e-01	2.868229e+06	-3.166098e+02	6.412196e+02	4.859493e+00	1.726247e+00	3.254360e+00
right_amygdala	7.282301e-02	9.307038e-01	4.019732e+00	6.779072e+06	-3.322399e+02	6.724799e+02	4.859493e+00	1.671973e+00	4.001209e+00
right_accumbens_area	7.282301e-02	1.209741e+00	5.497068e+00	2.749191e+07	-3.572913e+02	7.225826e+02	4.859493e+00	2.593368e+00	5.848464e+00
right_ventraldc	7.282301e-02	8.160675e-01	2.861960e+00	1.639950e+06	-3.065503e+02	6.211007e+02	4.859493e+00	9.735506e-01	2.205276e+00
right_choroid_plexus	7.282301e-02	1.618480e+00	2.600028e-02	4.253101e+07	-3.651510e+02	7.383019e+02	4.859493e+00	8.517385e+00	1.724392e+02
aircavity	7.282301e-02	1.566382e-01	-6.939790e-01	2.044396e+05	-2.694034e+02	5.468068e+02	4.859493e+00	2.631054e+00	-9.356314e-01
skull	7.282301e-02	4.871189e-02	-8.646573e-01	3.262451e+05	-2.780685e+02	5.641370e+02	4.859493e+00	8.893337e+00	-1.434815e+00
vermis	7.282301e-02	7.090175e-01	-2.157007e-01	3.480473e+06	-3.201752e+02	6.483504e+02	4.859493e+00	3.544017e+00	-8.027264e+00
pons	7.282301e-02	8.611574e-01	9.802185e-01	1.682259e+06	-3.070035e+02	6.220071e+02	4.859493e+00	1.253971e+00	2.267591e+00
csf_extracerebral	7.282301e-02	7.975533e-02	-7.888473e-01	5.673732e+05	-2.883966e+02	5.847932e+02	4.859493e+00	7.326820e+00	-1.946269e+00
head_extracerebral	7.282301e-02	9.315550e-02	-5.405188e-01	3.205360e+05	-2.781441e+02	5.642882e+02	4.859493e+00	3.724532e+00	-5.540382e+00
ctx_lh_bankssts	7.282301e-02	1.568234e+00	9.676692e-01	5.435920e+06	-3.282372e+02	6.644744e+02	4.859493e+00	1.819245e+00	2.415069e+00
ctx_lh_caudalanteriorcingulate	7.282301e-02	1.624486e+00	1.810393e+00	6.742626e+06	-3.320000e+02	6.720000e+02	4.859493e+00	1.568613e+00	1.835413e+00
ctx_lh_caudalmiddlefrontal	7.282301e-02	1.697849e+00	6.122419e-01	1.345119e+06	-3.030661e+02	6.141322e+02	4.859493e+00	1.039328e+00	1.615907e+00
ctx_lh_cuneus	7.282301e-02	2.236291e+00	1.696083e+00	6.861239e+06	-3.323383e+02	6.726766e+02	4.859493e+00	1.476775e+00	1.509357e+00
ctx_lh_entorhinal	7.282301e-02	1.089993e+00	1.579774e+00	4.645212e+06	-3.254043e+02	6.588086e+02	4.859493e+00	1.621720e+00	2.418796e+00
ctx_lh_fusiform	7.282301e-02	1.199995e+00	9.022181e-01	3.450963e+06	-3.201014e+02	6.482028e+02	4.859493e+00	1.607389e+00	2.445395e+00
ctx_lh_inferiorparietal	7.282301e-02	1.526453e+00	6.735814e-01	1.905273e+06	-3.094111e+02	6.268222e+02	4.859493e+00	1.226433e+00	1.892158e+00
ctx_lh_inferiortemporal	7.282301e-02	1.318911e+00	7.484206e-01	2.706400e+06	-3.158332e+02	6.396664e+02	4.859493e+00	1.465993e+00	2.285014e+00
ctx_lh_isthmuscingulate	7.282301e-02	1.641995e+00	1.028742e+00	5.541126e+06	-3.285438e+02	6.650876e+02	4.859493e+00	1.774479e+00	2.271068e+00
ctx_lh_lateraloccipital	7.282301e-02	1.773576e+00	9.752618e-01	6.066656e+06	-3.302819e+02	6.685637e+02	4.859493e+00	1.860625e+00	2.353262e+00
ctx_lh_lateralorbitofrontal	7.282301e-02	1.682768e+00	1.071067e+00	3.692054e+06	-3.213441e+02	6.506882e+02	4.859493e+00	1.417468e+00	1.776172e+00
ctx_lh_lingual	7.282301e-02	1.904059e+00	1.352992e+00	7.345533e+06	-3.337194e+02	6.754389e+02	4.859493e+00	1.761618e+00	1.988420e+00
ctx_lh_medialorbitofrontal	7.282301e-02	1.608379e+00	1.284692e+00	4.453606e+06	-3.246579e+02	6.573158e+02	4.859493e+00	1.468059e+00	1.792720e+00
ctx_lh_middletemporal	7.282301e-02	1.440910e+00	7.869521e-01	2.742666e+06	-3.161437e+02	6.402873e+02	4.859493e+00	1.418677e+00	2.093670e+00
ctx_lh_parahippocampal	7.282301e-02	1.019477e+00	1.223589e+00	7.082659e+06	-3.329473e+02	6.738946e+02	4.859493e+00	2.235830e+00	3.509798e+00
ctx_lh_paracentral	7.282301e-02	1.737011e+00	1.211394e+00	3.351176e+06	-3.194113e+02	6.468227e+02	4.859493e+00	1.275807e+00	1.529111e+00
ctx_lh_parsopercularis	7.282301e-02	1.726587e+00	8.819010e-01	3.035846e+06	-3.177224e+02	6.434448e+02	4.859493e+00	1.374993e+00	1.818110e+00
ctx_lh_parsorbitalis	7.282301e-02	1.855043e+00	9.975238e-01	4.933083e+06	-3.265513e+02	6.611027e+02	4.859493e+00	1.647001e+00	2.034817e+00
ctx_lh_parstriangularis	7.282301e-02	1.868798e+00	1.130477e+00	4.534311e+06	-3.250486e+02	6.580972e+02	4.859493e+00	1.499244e+00	1.779403e+00
ctx_lh_pericalcarine	7.282301e-02	3.108790e+00	2.027711e+00	1.234585e+07	-3.429622e+02	6.939244e+02	4.859493e+00	1.684652e+00	1.498250e+00
ctx_lh_postcentral	7.282301e-02	1.729754e+00	1.261052e+00	3.358975e+06	-3.196031e+02	6.472062e+02	4.859493e+00	1.258070e+00	1.496535e+00
ctx_lh_posteriorcingulate	7.282301e-02	1.630780e+00	1.286699e+00	4.346300e+06	-3.241072e+02	6.562143e+02	4.859493e+00	1.443423e+00	1.751730e+00
ctx_lh_precentral	7.282301e-02	1.885130e+00	8.518795e-01	2.061633e+06	-3.107396e+02	6.294792e+02	4.859493e+00	1.127386e+00	1.464110e+00
ctx_lh_precuneus	7.282301e-02	1.630604e+00	8.215703e-01	1.452846e+06	-3.044146e+02	6.168292e+02	4.859493e+00	9.880226e-01	1.369473e+00
ctx_lh_rostralanteriorcingulate	7.282301e-02	1.476619e+00	1.363870e+00	2.963078e+06	-3.171957e+02	6.423914e+02	4.859493e+00	1.202580e+00	1.511095e+00
ctx_lh_rostralmiddlefrontal	7.282301e-02	1.694588e+00	9.960416e-01	2.157037e+06	-3.117018e+02	6.314036e+02	4.859493e+00	1.112152e+00	1.420590e+00
ctx_lh_superiorfrontal	7.282301e-02	1.656865e+00	7.897832e-01	7.671173e+05	-2.928933e+02	5.937867e+02	4.859493e+00	7.253544e-01	1.015303e+00
ctx_lh_superiorparietal	7.282301e-02	1.630740e+00	8.282707e-01	2.546038e+06	-3.145286e+02	6.370573e+02	4.859493e+00	1.304198e+00	1.802022e+00
ctx_lh_superiortemporal	7.282301e-02	1.362574e+00	1.165926e+00	3.045336e+06	-3.177495e+02	6.434989e+02	4.859493e+00	1.327373e+00	1.781637e+00
ctx_lh_supramarginal	7.282301e-02	1.572437e+00	7.657252e-01	2.095915e+06	-3.112309e+02	6.304618e+02	4.859493e+00	1.225663e+00	1.770193e+00
ctx_lh_frontalpole	7.282301e-02	1.787049e+00	1.318121e+00	6.435613e+06	-3.312113e+02	6.704226e+02	4.859493e+00	1.695010e+00	1.971668e+00
ctx_lh_temporalpole	7.282301e-02	1.052055e+00	1.797778e+00	4.871398e+06	-3.263594e+02	6.607188e+02	4.859493e+00	1.624085e+00	2.516896e+00
ctx_lh_transversetemporal	7.282301e-02	2.302346e+00	1.782951e+00	9.166699e+06	-3.375267e+02	6.830534e+02	4.859493e+00	1.654721e+00	1.662298e+00
ctx_lh_insula	7.282301e-02	1.349979e+00	1.904095e+00	9.785344e+05	-2.973324e+02	6.026648e+02	4.859493e+00	6.323555e-01	8.256413e-01
ctx_rh_bankssts	7.282301e-02	1.505440e+00	9.051248e-01	5.249519e+06	-3.275287e+02	6.630574e+02	4.859493e+00	1.850580e+00	2.551404e+00
ctx_rh_caudalanteriorcingulate	7.282301e-02	1.613059e+00	1.183787e+00	2.951638e+06	-3.171234e+02	6.422468e+02	4.859493e+00	1.232977e+00	1.530620e+00
ctx_rh_caudalmiddlefrontal	7.282301e-02	1.717557e+00	6.008169e-01	1.429520e+06	-3.041699e+02	6.163397e+02	4.859493e+00	1.075391e+00	1.680825e+00
ctx_rh_cuneus	7.282301e-02	2.106217e+00	1.547932e+00	6.157427e+06	-3.303852e+02	6.687704e+02	4.859493e+00	1.481569e+00	1.570029e+00
ctx_rh_entorhinal	7.282301e-02	1.128237e+00	1.732993e+00	4.253326e+06	-3.237481e+02	6.554963e+02	4.859493e+00	1.481502e+00	2.169596e+00
ctx_rh_fusiform	7.282301e-02	1.170443e+00	8.905891e-01	2.826932e+06	-3.164942e+02	6.409884e+02	4.859493e+00	1.473208e+00	2.277169e+00
ctx_rh_inferiorparietal	7.282301e-02	1.520334e+00	6.598153e-01	1.726988e+06	-3.076453e+02	6.232906e+02	4.859493e+00	1.176243e+00	1.834556e+00
ctx_rh_inferiortemporal	7.282301e-02	1.297045e+00	7.549138e-01	1.828197e+06	-3.087602e+02	6.255203e+02	4.859493e+00	1.207303e+00	1.888181e+00
ctx_rh_isthmuscingulate	7.282301e-02	1.509843e+00	9.969975e-01	4.101521e+06	-3.230671e+02	6.541342e+02	4.859493e+00	1.579085e+00	2.108376e+00
ctx_rh_lateraloccipital	7.282301e-02	1.695339e+00	9.236230e-01	4.971643e+06	-3.266876e+02	6.613752e+02	4.859493e+00	1.736823e+00	2.274159e+00
ctx_rh_lateralorbitofrontal	7.282301e-02	1.579663e+00	1.014816e+00	2.103970e+06	-3.111410e+02	6.302819e+02	4.859493e+00	1.110067e+00	1.448060e+00
ctx_rh_lingual	7.282301e-02	1.938887e+00	1.391598e+00	5.356881e+06	-3.279890e+02	6.639781e+02	4.859493e+00	1.479398e+00	1.649007e+00
ctx_rh_medialorbitofrontal	7.282301e-02	1.603034e+00	1.153445e+00	3.497295e+06	-3.203331e+02	6.486662e+02	4.859493e+00	1.358054e+00	1.700784e+00
ctx_rh_middletemporal	7.282301e-02	1.420678e+00	7.838641e-01	2.087867e+06	-3.111213e+02	6.302426e+02	4.859493e+00	1.243884e+00	1.848591e+00
ctx_rh_parahippocampal	7.282301e-02	1.054411e+00	1.353771e+00	3.706544e+06	-3.212513e+02	6.505025e+02	4.859493e+00	1.544336e+00	2.355491e+00
