MRTM2	k2'	R1	BPnd	MSE	LogLikelihood	AIC	%Cov k2'	%Cov R1	%Cov BPnd
highbinding	7.272355e-02	1.360934e+00	2.416837e+00	1.373088e+06	-3.034784e+02	6.149568e+02	4.419244e+00	5.278568e-01	6.734186e-01
left_cerebral_white_matter	7.272355e-02	2.548232e-01	2.930099e-01	2.044860e+05	-2.696534e+02	5.473067e+02	4.419244e+00	9.401895e-01	7.799759e+00
left_cerebellum_white_matter	7.272355e-02	6.985042e-01	1.570100e-01	8.683461e+05	-2.951013e+02	5.982027e+02	4.419244e+00	9.480880e-01	4.157260e+00
left_cerebellum_cortex	7.272355e-02	1.022179e+00	8.578364e-03	1.706906e+04	-2.243741e+02	4.567483e+02	4.419244e+00	1.137218e-01	4.823091e+00
left_thalamus	7.272355e-02	1.026672e+00	2.365929e+00	1.501752e+06	-3.049603e+02	6.179205e+02	4.419244e+00	6.865435e-01	1.164462e+00
left_caudate	7.272355e-02	1.493058e+00	2.342649e+00	1.005076e+07	-3.394747e+02	6.869495e+02	4.419244e+00	1.337382e+00	1.523807e+00
left_putamen	7.272355e-02	1.658980e+00	2.757052e+00	4.002974e+06	-3.226223e+02	6.532445e+02	4.419244e+00	7.636233e-01	8.451183e-01
left_pallidum	7.272355e-02	6.062141e-01	2.399981e+00	5.678420e+06	-3.289081e+02	6.658161e+02	4.419244e+00	2.048932e+00	6.051809e+00
brain_stem	7.272355e-02	7.423929e-01	2.785314e+00	9.737303e+05	-2.971620e+02	6.023240e+02	4.419244e+00	7.023455e-01	1.801955e+00
left_hippocampus	7.272355e-02	1.018942e+00	5.259608e-01	2.719629e+06	-3.157358e+02	6.394717e+02	4.419244e+00	1.188415e+00	1.851926e+00
left_amygdala	7.272355e-02	9.500966e-01	4.076884e+00	6.897569e+06	-3.325372e+02	6.730745e+02	4.419244e+00	1.434184e+00	3.528653e+00
csf	7.272355e-02	1.044424e-01	-7.977109e-01	7.741371e+05	-2.932968e+02	5.945937e+02	4.419244e+00	5.814567e+00	-1.036929e+00
left_accumbens_area	7.272355e-02	1.693133e+00	5.995254e+00	5.254341e+07	-3.689513e+02	7.459026e+02	4.419244e+00	2.368945e+00	4.213443e+00
left_ventraldc	7.272355e-02	8.070237e-01	2.804058e+00	2.583232e+06	-3.147271e+02	6.374542e+02	4.419244e+00	1.066407e+00	2.519417e+00
left_choroid_plexus	7.272355e-02	1.441061e+00	2.483544e-01	2.316635e+07	-3.542129e+02	7.164258e+02	4.419244e+00	3.212908e+00	5.217410e+00
right_cerebral_white_matter	7.272355e-02	2.637063e-01	2.178173e-01	2.177835e+05	-2.708962e+02	5.497924e+02	4.419244e+00	9.532022e-01	9.083094e+00
right_cerebellum_white_matter	7.272355e-02	7.009623e-01	1.752148e-01	6.535725e+05	-2.899860e+02	5.879720e+02	4.419244e+00	8.149640e-01	3.290644e+00
right_cerebellum_cortex	7.272355e-02	9.779500e-01	-8.517311e-03	1.694090e+04	-2.242386e+02	4.564773e+02	4.419244e+00	1.168431e-01	-5.032803e+00
right_thalamus	7.272355e-02	1.084852e+00	2.673861e+00	1.906831e+06	-3.092687e+02	6.265374e+02	4.419244e+00	7.271772e-01	1.232348e+00
right_caudate	7.272355e-02	1.442061e+00	2.195334e+00	6.638577e+06	-3.321230e+02	6.722459e+02	4.419244e+00	1.128442e+00	1.300750e+00
right_putamen	7.272355e-02	1.486955e+00	2.461595e+00	2.541230e+06	-3.144289e+02	6.368578e+02	4.419244e+00	6.728683e-01	7.907424e-01
right_pallidum	7.272355e-02	5.527362e-01	2.759150e+00	5.325460e+06	-3.277482e+02	6.634964e+02	4.419244e+00	2.138593e+00	7.439405e+00
right_hippocampus	7.272355e-02	9.494558e-01	6.784629e-01	3.066342e+06	-3.178140e+02	6.436281e+02	4.419244e+00	1.271112e+00	1.992591e+00
right_amygdala	7.272355e-02	9.305820e-01	4.034133e+00	7.034809e+06	-3.329446e+02	6.738891e+02	4.419244e+00	1.474914e+00	3.677812e+00
right_accumbens_area	7.272355e-02	1.210400e+00	5.497900e+00	2.779651e+07	-3.574900e+02	7.229800e+02	4.419244e+00	2.291661e+00	5.394796e+00
right_ventraldc	7.272355e-02	8.167949e-01	2.859083e+00	1.650878e+06	-3.066698e+02	6.213397e+02	4.419244e+00	8.416265e-01	1.979259e+00
right_choroid_plexus	7.272355e-02	1.590826e+00	1.667280e-02	4.621002e+07	-3.666444e+02	7.412889e+02	4.419244e+00	4.816454e+00	7.189060e+01
aircavity	7.272355e-02	1.552185e-01	-6.929505e-01	2.502683e+05	-2.731758e+02	5.543516e+02	4.419244e+00	2.179019e+00	-6.891870e-01
skull	7.272355e-02	4.653815e-02	-8.592907e-01	3.773464e+05	-2.811319e+02	5.702638e+02	4.419244e+00	8.345588e+00	-1.521580e+00
vermis	7.272355e-02	6.845018e-01	-2.064335e-01	5.079004e+06	-3.270389e+02	6.620779e+02	4.419244e+00	2.760774e+00	-4.488225e+00
pons	7.272355e-02	8.595076e-01	9.810328e-01	1.831402e+06	-3.085326e+02	6.250653e+02	4.419244e+00	9.959252e-01	1.667580e+00
csf_extracerebral	7.272355e-02	7.802962e-02	-7.855328e-01	6.445440e+05	-2.912199e+02	5.904397e+02	4.419244e+00	6.491348e+00	-1.778659e+00
head_extracerebral	7.272355e-02	9.284906e-02	-5.381786e-01	3.482730e+05	-2.799157e+02	5.678314e+02	4.419244e+00	3.477268e+00	-5.526089e+00
ctx_lh_bankssts	7.272355e-02	1.575383e+00	9.672796e-01	6.530281e+06	-3.316118e+02	6.712236e+02	4.419244e+00	1.280454e+00	1.168718e+00
ctx_lh_caudalanteriorcingulate	7.272355e-02	1.617488e+00	1.824330e+00	7.537856e+06	-3.340068e+02	6.760137e+02	4.419244e+00	1.179328e+00	1.139944e+00
ctx_lh_caudalmiddlefrontal	7.272355e-02	1.706021e+00	6.077595e-01	1.766888e+06	-3.080408e+02	6.240817e+02	4.419244e+00	7.077416e-01	6.470394e-01
ctx_lh_cuneus	7.272355e-02	2.244658e+00	1.695787e+00	8.188392e+06	-3.355534e+02	6.791068e+02	4.419244e+00	1.026507e+00	7.062532e-01
ctx_lh_entorhinal	7.272355e-02	1.092345e+00	1.581664e+00	5.137967e+06	-3.272816e+02	6.625632e+02	4.419244e+00	1.289313e+00	1.778432e+00
ctx_lh_fusiform	7.272355e-02	1.199578e+00	9.054110e-01	4.065661e+06	-3.231368e+02	6.542736e+02	4.419244e+00	1.202682e+00	1.437358e+00
ctx_lh_inferiorparietal	7.272355e-02	1.532428e+00	6.720881e-01	2.439504e+06	-3.139565e+02	6.359129e+02	4.419244e+00	8.597860e-01	8.462709e-01
ctx_lh_inferiortemporal	7.272355e-02	1.326328e+00	7.460899e-01	3.616911e+06	-3.211034e+02	6.502067e+02	4.419244e+00	1.103509e+00	1.219348e+00
ctx_lh_isthmuscingulate	7.272355e-02	1.640365e+00	1.028014e+00	6.132333e+06	-3.304262e+02	6.688525e+02	4.419244e+00	1.198200e+00	1.054551e+00
ctx_lh_lateraloccipital	7.272355e-02	1.785713e+00	9.717676e-01	8.239704e+06	-3.358562e+02	6.797123e+02	4.419244e+00	1.344828e+00	1.090010e+00
ctx_lh_lateralorbitofrontal	7.272355e-02	1.693973e+00	1.069253e+00	5.265095e+06	-3.277517e+02	6.635033e+02	4.419244e+00	1.078887e+00	9.167763e-01
ctx_lh_lingual	7.272355e-02	1.915378e+00	1.350290e+00	9.510713e+06	-3.384517e+02	6.849034e+02	4.419244e+00	1.282488e+00	9.855034e-01
ctx_lh_medialorbitofrontal	7.272355e-02	1.610036e+00	1.284892e+00	5.202455e+06	-3.275450e+02	6.630899e+02	4.419244e+00	1.062388e+00	9.619361e-01
ctx_lh_middletemporal	7.272355e-02	1.445122e+00	7.869925e-01	3.495607e+06	-3.206474e+02	6.492947e+02	4.419244e+00	1.027805e+00	1.038805e+00
ctx_lh_parahippocampal	7.272355e-02	1.020796e+00	1.221027e+00	7.649996e+06	-3.343737e+02	6.767473e+02	4.419244e+00	1.716882e+00	2.429397e+00
ctx_lh_paracentral	7.272355e-02	1.745468e+00	1.211535e+00	4.095145e+06	-3.230284e+02	6.540568e+02	4.419244e+00	9.114406e-01	7.572859e-01
ctx_lh_parsopercularis	7.272355e-02	1.736876e+00	8.776699e-01	3.979421e+06	-3.226553e+02	6.533106e+02	4.419244e+00	9.738152e-01	8.174238e-01
ctx_lh_parsorbitalis	7.272355e-02	1.868728e+00	9.919306e-01	6.679505e+06	-3.320632e+02	6.721264e+02	4.419244e+00	1.176418e+00	9.136906e-01
ctx_lh_parstriangularis	7.272355e-02	1.872978e+00	1.129189e+00	5.640631e+06	-3.290930e+02	6.661859e+02	4.419244e+00	1.049204e+00	8.140407e-01
ctx_lh_pericalcarine	7.272355e-02	3.137075e+00	2.020391e+00	1.696334e+07	-3.487148e+02	7.054296e+02	4.419244e+00	1.177386e+00	6.185814e-01
ctx_lh_postcentral	7.272355e-02	1.735210e+00	1.260798e+00	4.247063e+06	-3.239104e+02	6.558208e+02	4.419244e+00	9.225326e-01	7.743560e-01
ctx_lh_posteriorcingulate	7.272355e-02	1.629120e+00	1.287982e+00	4.667335e+06	-3.254071e+02	6.588142e+02	4.419244e+00	1.000449e+00	8.968774e-01
ctx_lh_precentral	7.272355e-02	1.900098e+00	8.482854e-01	3.221999e+06	-3.187874e+02	6.455748e+02	4.419244e+00	8.434021e-01	6.522500e-01
ctx_lh_precuneus	7.272355e-02	1.632538e+00	8.221387e-01	1.764387e+06	-3.079611e+02	6.239222e+02	4.419244e+00	6.805098e-01	6.100531e-01
ctx_lh_rostralanteriorcingulate	7.272355e-02	1.474389e+00	1.368533e+00	3.150706e+06	-3.183002e+02	6.446004e+02	4.419244e+00	8.627496e-01	8.592299e-01
ctx_lh_rostralmiddlefrontal	7.272355e-02	1.699360e+00	9.950427e-01	2.745260e+06	-3.161531e+02	6.403061e+02	4.419244e+00	7.941540e-01	6.751862e-01
ctx_lh_superiorfrontal	7.272355e-02	1.660840e+00	7.889468e-01	9.630949e+05	-2.970239e+02	6.020478e+02	4.419244e+00	5.027492e-01	4.459961e-01
ctx_lh_superiorparietal	7.272355e-02	1.637359e+00	8.266190e-01	3.317279e+06	-3.193383e+02	6.466766e+02	4.419244e+00	9.284699e-01	8.287592e-01
ctx_lh_superiortemporal	7.272355e-02	1.361424e+00	1.169403e+00	3.552462e+06	-3.205620e+02	6.491240e+02	4.419244e+00	9.902234e-01	1.047276e+00
ctx_lh_supramarginal	7.272355e-02	1.579031e+00	7.637600e-01	2.755555e+06	-3.162486e+02	6.404972e+02	4.419244e+00	8.752137e-01	8.171723e-01
ctx_lh_frontalpole	7.272355e-02	1.793737e+00	1.319032e+00	7.858803e+06	-3.348541e+02	6.777082e+02	4.419244e+00	1.216675e+00	9.926349e-01
ctx_lh_temporalpole	7.272355e-02	1.051533e+00	1.803441e+00	5.307945e+06	-3.279887e+02	6.639774e+02	4.419244e+00	1.317093e+00	1.961167e+00
ctx_lh_transversetemporal	7.272355e-02	2.297762e+00	1.791676e+00	9.529268e+06	-3.382237e+02	6.844475e+02	4.419244e+00	1.084858e+00	7.409513e-01
ctx_lh_insula	7.272355e-02	1.350488e+00	1.905373e+00	1.050811e+06	-2.986690e+02	6.053379e+02	4.419244e+00	4.872481e-01	5.722278e-01
ctx_rh_bankssts	7.272355e-02	1.511012e+00	9.022447e-01	6.153766e+06	-3.304366e+02	6.688733e+02	4.419244e+00	1.296299e+00	1.239532e+00
ctx_rh_caudalanteriorcingulate	7.272355e-02	1.608263e+00	1.187541e+00	3.292637e+06	-3.190913e+02	6.461827e+02	4.419244e+00	8.656478e-01	7.806101e-01
ctx_rh_caudalmiddlefrontal	7.272355e-02	1.729120e+00	5.955414e-01	2.013196e+06	-3.103783e+02	6.287565e+02	4.419244e+00	7.533776e-01	6.837436e-01
ctx_rh_cuneus	7.272355e-02	2.113233e+00	1.546949e+00	7.397825e+06	-3.337155e+02	6.754311e+02	4.419244e+00	1.035992e+00	7.412930e-01
ctx_rh_entorhinal	7.272355e-02	1.127831e+00	1.730571e+00	4.503743e+06	-3.248039e+02	6.576078e+02	4.419244e+00	1.161902e+00	1.595195e+00
ctx_rh_fusiform	7.272355e-02	1.171069e+00	8.919292e-01	3.281893e+06	-3.192673e+02	6.465347e+02	4.419244e+00	1.099260e+00	1.347105e+00
ctx_rh_inferiorparietal	7.272355e-02	1.525663e+00	6.585129e-01	2.244588e+06	-3.124620e+02	6.329240e+02	4.419244e+00	8.304403e-01	8.247698e-01
ctx_rh_inferiortemporal	7.272355e-02	1.299582e+00	7.556786e-01	2.209285e+06	-3.123057e+02	6.326115e+02	4.419244e+00	8.739488e-01	9.842851e-01
ctx_rh_isthmuscingulate	7.272355e-02	1.510309e+00	9.985372e-01	4.304355e+06	-3.239590e+02	6.559179e+02	4.419244e+00	1.062999e+00	1.012486e+00
ctx_rh_lateraloccipital	7.272355e-02	1.702962e+00	9.204664e-01	6.371018e+06	-3.312362e+02	6.704724e+02	4.419244e+00	1.228535e+00	1.045991e+00
ctx_rh_lateralorbitofrontal	7.272355e-02	1.583277e+00	1.013862e+00	2.511700e+06	-3.144138e+02	6.368277e+02	4.419244e+00	7.855411e-01	7.143742e-01
ctx_rh_lingual	7.272355e-02	1.947559e+00	1.389915e+00	6.942521e+06	-3.327214e+02	6.734428e+02	4.419244e+00	1.077212e+00	8.181028e-01
ctx_rh_medialorbitofrontal	7.272355e-02	1.607859e+00	1.154956e+00	4.291657e+06	-3.240965e+02	6.561930e+02	4.419244e+00	9.863866e-01	8.841799e-01
ctx_rh_middletemporal	7.272355e-02	1.423016e+00	7.846512e-01	2.568921e+06	-3.149719e+02	6.379438e+02	4.419244e+00	8.898059e-01	9.135756e-01
ctx_rh_parahippocampal	7.272355e-02	1.054188e+00	1.355136e+00	3.832168e+06	-3.218708e+02	6.517416e+02	4.419244e+00	1.177408e+00	1.638070e+00
ctx_rh_paracentral	7.272355e-02	1.751529e+00	1.202778e+00	3.634325e+06	-3.209083e+02	6.498167e+02	4.419244e+00	8.590039e-01	7.127241e-01
ctx_rh_parsopercularis	7.272355e-02	1.902941e+00	8.917602e-01	3.950245e+06	-3.224469e+02	6.528939e+02	4.419244e+00	9.254252e-01	7.120789e-01
ctx_rh_parsorbitalis	7.272355e-02	1.753410e+00	9.127824e-01	4.767506e+06	-3.259945e+02	6.599890e+02	4.419244e+00	1.048970e+00	8.678166e-01
ctx_rh_parstriangularis	7.272355e-02	1.839702e+00	1.063871e+00	4.027166e+06	-3.228662e+02	6.537323e+02	4.419244e+00	9.084960e-01	7.163759e-01
ctx_rh_pericalcarine	7.272355e-02	3.097872e+00	2.148990e+00	2.036635e+07	-3.519752e+02	7.119505e+02	4.419244e+00	1.269313e+00	6.881509e-01
ctx_rh_postcentral	7.272355e-02	1.729943e+00	1.151041e+00	3.161413e+06	-3.185711e+02	6.451422e+02	4.419244e+00	8.157661e-01	6.823954e-01
ctx_rh_posteriorcingulate	7.272355e-02	1.654653e+00	1.151378e+00	1.977059e+06	-3.099122e+02	6.278245e+02	4.419244e+00	6.623823e-01	5.795851e-01
ctx_rh_precentral	7.272355e-02	1.893980e+00	7.572161e-01	3.972555e+06	-3.225246e+02	6.530492e+02	4.419244e+00	9.623539e-01	7.587426e-01
ctx_rh_precuneus	7.272355e-02	1.676474e+00	8.872257e-01	2.985357e+06	-3.175843e+02	6.431686e+02	4.419244e+00	8.555984e-01	7.411216e-01
ctx_rh_rostralanteriorcingulate	7.272355e-02	1.550148e+00	1.252834e+00	3.213555e+06	-3.186997e+02	6.453993e+02	4.419244e+00	8.568244e-01	8.026174e-01
ctx_rh_rostralmiddlefrontal	7.272355e-02	1.666587e+00	8.974226e-01	2.661416e+06	-3.156023e+02	6.392045e+02	4.419244e+00	8.084839e-01	7.034453e-01
ctx_rh_superiorfrontal	7.272355e-02	1.650615e+00	7.178985e-01	9.198375e+05	-2.963208e+02	6.006416e+02	4.419244e+00	5.024714e-01	4.553961e-01
ctx_rh_superiorparietal	7.272355e-02	1.561826e+00	7.734022e-01	2.425335e+06	-3.137014e+02	6.354029e+02	4.419244e+00	8.253888e-01	7.773564e-01
